                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02251,                 1.9568,                 1.5851,                0.11099,                0.01736,                0.05727,                0.02735,                0.01854,                    inf,                 1.3579,               0.034419,              0.0010653,              0.0010653
                      2,                0.01731,                 1.5052,                 1.2559,                0.26019,                0.22851,                0.19051,                0.09874,                0.01706,                 1.4715,                 1.2392,                0.01881,              0.0021226,              0.0021226
                      3,                0.01664,                 1.4251,                 1.2233,                0.35042,                0.27984,                0.25986,                0.14193,                0.01555,                 1.2926,                 1.1957,              0.0031911,              0.0031705,              0.0031705
                      4,                0.01615,                  1.366,                 1.1983,                 0.4024,                0.30245,                0.27956,                0.15093,                0.01516,                 1.2534,                 1.1717,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01573,                 1.3152,                 1.1808,                  0.387,                0.29921,                0.28209,                0.15236,                 0.0151,                 1.2323,                  1.177,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01549,                 1.2858,                 1.1661,                0.40112,                0.31417,                0.30547,                0.16867,                0.01441,                  1.195,                 1.1374,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01534,                 1.2698,                 1.1591,                0.39579,                0.31691,                0.30409,                0.16355,                0.01519,                 1.2323,                 1.1524,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01509,                 1.2389,                 1.1473,                0.41833,                 0.3277,                0.31969,                 0.1812,                0.01447,                 1.1843,                 1.1258,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01493,                 1.2279,                 1.1368,                0.43788,                0.34261,                0.34056,                0.18817,                0.01429,                 1.1569,                 1.1179,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01493,                 1.2199,                 1.1396,                0.41579,                0.33527,                0.32622,                0.18493,                0.01422,                 1.1562,                 1.1089,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01487,                 1.1963,                 1.1302,                0.43523,                 0.3471,                0.34524,                0.19818,                0.01395,                 1.1409,                 1.0991,              0.0030733,              0.0030733,              0.0030733
