                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02584,                 2.1053,                 1.5794,                0.29104,                0.16387,                0.12561,                0.05962,                0.01936,                 1.6076,                  1.168,               0.034439,               0.001064,               0.001064
                      2,                0.01931,                 1.5627,                 1.1827,                0.33155,                0.15737,                 0.1502,                0.07281,                0.01838,                 1.5543,                 1.1301,               0.018829,              0.0021213,              0.0021213
                      3,                0.01862,                 1.4876,                 1.1462,                0.25372,                0.19906,                0.16656,                0.08112,                0.01824,                  1.447,                 1.1195,              0.0032104,              0.0031692,              0.0031692
                      4,                0.01818,                 1.4545,                 1.1206,                0.30833,                0.20235,                0.18842,                0.09735,                0.01724,                 1.3864,                  1.077,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01754,                 1.3968,                 1.1041,                0.34568,                0.22835,                 0.2099,                0.10691,                0.01646,                 1.2845,                  1.049,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01729,                  1.368,                 1.0896,                0.28397,                 0.2238,                0.20391,                0.10577,                0.01661,                 1.3175,                 1.0533,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01702,                 1.3371,                 1.0801,                0.32874,                0.23124,                 0.2192,                0.11612,                0.01618,                 1.2739,                  1.037,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01675,                 1.3061,                 1.0702,                0.33079,                 0.2492,                0.22847,                 0.1194,                0.01606,                 1.2445,                 1.0366,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01654,                 1.2886,                  1.064,                 0.3342,                0.23485,                0.22198,                0.11613,                0.01602,                 1.2314,                 1.0271,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01645,                 1.2769,                 1.0587,                0.35012,                0.24632,                0.23083,                0.12224,                0.01566,                 1.2121,                 1.0193,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01628,                 1.2598,                 1.0478,                0.33464,                0.24895,                0.24049,                0.12701,                0.01546,                 1.2088,                  1.016,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01632,                 1.2531,                 1.0504,                0.36134,                0.26194,                0.24631,                0.12775,                0.01549,                 1.1979,                 1.0132,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01616,                 1.2457,                 1.0451,                0.37789,                0.26052,                0.24822,                0.13217,                0.01546,                 1.1762,                 1.0049,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01606,                 1.2311,                 1.0407,                0.38041,                0.26376,                 0.2536,                0.13521,                0.01517,                 1.1687,                0.99976,               0.003031,               0.003031,               0.003031
                     15,                0.01594,                 1.2234,                 1.0379,                0.38305,                0.27416,                0.26427,                0.13861,                 0.0151,                 1.1566,                 1.0003,               0.003017,               0.003017,               0.003017
                     16,                 0.0159,                 1.2152,                 1.0339,                0.38689,                0.26518,                0.25789,                0.13801,                0.01498,                 1.1432,                 0.9938,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01591,                 1.2134,                 1.0347,                0.39237,                0.26405,                0.26393,                0.14415,                0.01483,                 1.1399,                0.99321,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01578,                 1.2004,                 1.0297,                0.38225,                0.26816,                  0.264,                0.14139,                0.01494,                  1.136,                0.99521,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01561,                 1.1925,                 1.0265,                0.37413,                0.27461,                0.26389,                0.14247,                0.01486,                 1.1553,                0.99322,              0.0029606,              0.0029606,              0.0029606
                     20,                 0.0157,                 1.1873,                 1.0282,                0.38378,                0.27771,                0.27409,                0.14799,                0.01464,                 1.1151,                0.98678,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01565,                 1.1886,                 1.0251,                0.36774,                0.27797,                0.26564,                0.14309,                0.01473,                 1.1348,                0.98789,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01549,                 1.1704,                 1.0194,                0.38807,                 0.2808,                0.27406,                0.14703,                0.01471,                 1.1184,                0.98724,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01554,                 1.1789,                 1.0225,                0.38345,                0.27721,                0.27269,                0.14682,                0.01459,                 1.1269,                0.98333,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01548,                 1.1663,                 1.0207,                0.40649,                0.28215,                0.27749,                0.15006,                0.01468,                 1.1282,                0.98437,              0.0028902,              0.0028902,              0.0028902
                     25,                 0.0154,                 1.1596,                 1.0193,                0.35925,                0.29055,                0.27349,                0.14809,                 0.0146,                 1.1031,                0.98092,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01535,                  1.156,                 1.0173,                0.39495,                0.27778,                0.27586,                0.14944,                0.01456,                 1.1091,                0.98609,              0.0028621,              0.0028621,              0.0028621
                     27,                 0.0154,                 1.1617,                 1.0174,                0.40567,                0.28553,                0.28207,                0.15145,                0.01452,                 1.0992,                0.98177,               0.002848,               0.002848,               0.002848
                     28,                0.01522,                 1.1439,                 1.0137,                 0.3929,                0.29143,                0.28171,                0.15227,                0.01441,                 1.0931,                0.97755,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01534,                 1.1463,                 1.0119,                0.40294,                0.29451,                0.28743,                0.15592,                0.01433,                 1.0829,                0.97777,              0.0028198,              0.0028198,              0.0028198
