                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02296,                 2.0089,                 1.6265,                 0.2267,                0.20343,                0.17243,                0.08707,                0.01778,                 1.6499,                  1.289,               0.034419,              0.0010653,              0.0010653
                      2,                0.01748,                 1.5286,                 1.2755,                0.27926,                0.22289,                0.19763,                0.10323,                0.01746,                 1.4334,                 1.2627,                0.01881,              0.0021226,              0.0021226
                      3,                0.01677,                 1.4472,                 1.2392,                0.35773,                0.26569,                0.25099,                0.13512,                0.01541,                 1.3135,                 1.1941,              0.0031911,              0.0031705,              0.0031705
                      4,                0.01633,                 1.3885,                 1.2143,                0.37723,                0.28267,                 0.2688,                0.14499,                0.01558,                 1.2846,                 1.1897,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01597,                 1.3417,                 1.1915,                0.38826,                0.30027,                0.28385,                0.15614,                0.01502,                 1.2569,                 1.1623,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01572,                 1.3142,                 1.1763,                0.38925,                0.30189,                0.29302,                0.16109,                0.01489,                 1.2721,                 1.1515,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01553,                 1.2957,                 1.1697,                0.39885,                0.31497,                0.30864,                 0.1725,                 0.0148,                 1.2225,                 1.1405,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01526,                 1.2559,                 1.1569,                0.41358,                0.31141,                0.31166,                0.17714,                0.01454,                 1.1757,                 1.1328,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01508,                 1.2446,                 1.1454,                0.43275,                0.32258,                 0.3207,                 0.1794,                0.01438,                 1.1707,                 1.1208,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01505,                 1.2354,                 1.1481,                0.43803,                0.31509,                0.32657,                0.18619,                0.01416,                 1.1614,                 1.1098,              0.0030874,              0.0030874,              0.0030874
