                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02656,                 2.0566,                 1.7438,                0.37755,                0.25574,                 0.2165,                0.11427,                 0.0203,                 1.5734,                 1.4574,                0.03441,               0.001066,               0.001066
                      2,                0.01962,                 1.5879,                 1.4128,                0.35492,                0.29139,                0.26252,                0.14206,                0.01802,                 1.4428,                 1.3755,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01866,                    1.5,                 1.3747,                0.34903,                0.31259,                0.27584,                0.15388,                 0.0171,                 1.3836,                 1.3225,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01813,                 1.4337,                 1.3532,                 0.3976,                0.32393,                0.30605,                0.17228,                0.01698,                 1.3122,                 1.3142,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01775,                 1.3877,                 1.3275,                0.37869,                0.34886,                0.31436,                0.17992,                0.01647,                 1.2866,                 1.2951,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01727,                 1.3365,                 1.3101,                0.42701,                0.35959,                0.35152,                0.20139,                0.01619,                 1.2208,                 1.2821,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01701,                 1.3031,                 1.2982,                0.45101,                0.35146,                0.35529,                0.20849,                0.01593,                 1.2116,                 1.2736,              0.0031296,              0.0031296,              0.0031296
                      8,                 0.0167,                 1.2755,                  1.291,                0.48434,                0.36558,                0.37352,                0.21359,                 0.0157,                 1.1568,                 1.2592,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01661,                 1.2551,                 1.2845,                0.44182,                0.36368,                0.35975,                0.20844,                0.01565,                 1.1639,                 1.2564,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01655,                 1.2388,                 1.2798,                0.45347,                 0.3723,                0.36852,                0.21378,                0.01572,                 1.1661,                 1.2585,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01641,                 1.2297,                 1.2694,                0.45583,                0.39558,                0.38932,                0.22868,                0.01544,                 1.1352,                 1.2438,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01629,                 1.2185,                 1.2688,                0.48117,                0.39606,                0.40045,                0.23363,                0.01524,                 1.1122,                 1.2413,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01625,                 1.2128,                 1.2663,                0.47115,                0.39508,                0.39604,                0.23343,                0.01514,                 1.1147,                 1.2361,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01598,                 1.1883,                 1.2569,                0.48766,                0.40399,                0.40948,                0.23995,                0.01502,                 1.1023,                 1.2321,               0.003031,               0.003031,               0.003031
                     15,                0.01598,                 1.1781,                 1.2591,                 0.4941,                0.41451,                0.41856,                0.24641,                0.01492,                   1.08,                 1.2287,               0.003017,               0.003017,               0.003017
                     16,                0.01601,                 1.1726,                 1.2569,                0.50983,                0.40473,                0.41548,                0.24535,                0.01489,                 1.0781,                 1.2283,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01588,                 1.1606,                 1.2533,                0.51455,                0.40943,                0.42506,                0.25054,                 0.0148,                 1.0751,                 1.2237,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01572,                 1.1469,                 1.2439,                0.49661,                0.41261,                0.41909,                 0.2462,                0.01472,                  1.067,                  1.218,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01574,                 1.1499,                 1.2507,                0.51648,                0.41583,                0.42748,                0.25295,                0.01481,                 1.0578,                 1.2226,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01564,                 1.1347,                 1.2407,                0.51394,                0.41678,                0.42774,                 0.2529,                0.01467,                 1.0607,                 1.2173,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01559,                 1.1322,                 1.2442,                0.52723,                0.42286,                0.43566,                0.25801,                0.01466,                 1.0567,                 1.2158,              0.0029325,              0.0029325,              0.0029325
                     22,                 0.0156,                 1.1281,                 1.2423,                0.50777,                0.42606,                0.43451,                0.25768,                0.01459,                 1.0382,                 1.2155,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01547,                 1.1211,                 1.2377,                0.52028,                0.43195,                0.43948,                0.26109,                0.01456,                 1.0422,                  1.214,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01548,                 1.1147,                 1.2353,                0.51028,                 0.4331,                 0.4411,                0.26041,                0.01452,                 1.0338,                 1.2112,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01551,                 1.1139,                 1.2366,                0.50358,                 0.4344,                 0.4433,                0.26118,                0.01454,                 1.0371,                 1.2124,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01552,                 1.1066,                 1.2348,                0.53435,                0.42929,                0.45028,                0.26832,                0.01448,                 1.0223,                 1.2116,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01531,                 1.0978,                 1.2341,                 0.5378,                0.43803,                0.45622,                 0.2718,                0.01433,                 1.0098,                 1.2035,               0.002848,               0.002848,               0.002848
                     28,                0.01541,                 1.1043,                 1.2318,                0.52451,                0.42957,                 0.4478,                0.26786,                0.01438,                 1.0183,                 1.2046,              0.0028339,              0.0028339,              0.0028339
                     29,                 0.0154,                 1.0971,                 1.2314,                0.54777,                0.43809,                0.45858,                0.27451,                0.01439,                 1.0092,                 1.2025,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01527,                 1.0907,                 1.2253,                0.53388,                0.44366,                0.45589,                0.27218,                0.01441,                 1.0112,                 1.2049,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01525,                 1.0868,                 1.2333,                0.53441,                0.43977,                0.45608,                0.27181,                0.01436,                 1.0092,                 1.2046,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01527,                  1.085,                 1.2266,                0.53847,                0.44428,                0.46169,                0.27742,                0.01421,                 1.0004,                  1.198,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01525,                 1.0886,                 1.2279,                0.53866,                0.44388,                 0.4637,                0.27806,                0.01426,                0.99469,                 1.1991,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01522,                 1.0797,                 1.2269,                0.54232,                0.44427,                0.46089,                0.27622,                 0.0142,                0.99421,                 1.1986,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01529,                 1.0792,                  1.232,                0.54078,                0.44364,                0.46223,                0.27872,                 0.0142,                0.99914,                 1.1966,              0.0027354,              0.0027354,              0.0027354
                     36,                0.01519,                 1.0721,                 1.2275,                0.55011,                0.44493,                0.46668,                0.27955,                0.01416,                 0.9878,                 1.1957,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01524,                  1.072,                 1.2257,                0.56032,                0.44257,                0.47022,                0.28091,                0.01422,                0.98984,                 1.1988,              0.0027072,              0.0027072,              0.0027072
                     38,                0.01506,                 1.0609,                 1.2212,                0.55286,                0.44478,                0.46883,                0.28229,                0.01417,                0.98133,                 1.1945,              0.0026931,              0.0026931,              0.0026931
                     39,                0.01511,                 1.0627,                 1.2192,                0.54378,                0.45137,                0.46943,                0.28177,                0.01413,                0.98362,                 1.1956,               0.002679,               0.002679,               0.002679
                     40,                0.01504,                 1.0553,                 1.2161,                0.54413,                0.45054,                0.47134,                0.28293,                 0.0141,                0.98223,                 1.1928,               0.002665,               0.002665,               0.002665
                     41,                0.01502,                 1.0545,                 1.2175,                0.55707,                0.45356,                0.47661,                0.28652,                 0.0141,                0.97732,                 1.1919,              0.0026509,              0.0026509,              0.0026509
                     42,                0.01506,                 1.0496,                 1.2147,                0.55127,                0.45381,                 0.4757,                0.28533,                0.01409,                  0.975,                 1.1899,              0.0026368,              0.0026368,              0.0026368
                     43,                0.01503,                 1.0554,                   1.22,                0.54497,                0.46073,                0.47757,                0.28781,                0.01407,                0.97299,                 1.1902,              0.0026227,              0.0026227,              0.0026227
                     44,                0.01495,                 1.0469,                 1.2163,                0.55857,                0.45402,                0.47771,                0.28745,                0.01406,                0.96951,                 1.1892,              0.0026086,              0.0026086,              0.0026086
                     45,                0.01501,                 1.0423,                 1.2169,                 0.5645,                0.44734,                0.47988,                 0.2903,                0.01404,                0.97119,                 1.1876,              0.0025946,              0.0025946,              0.0025946
                     46,                0.01497,                 1.0436,                 1.2144,                0.55184,                0.46434,                0.48257,                0.29066,                0.01402,                0.96494,                 1.1884,              0.0025805,              0.0025805,              0.0025805
                     47,                  0.015,                  1.042,                 1.2153,                0.55763,                0.45785,                0.48378,                0.29233,                0.01399,                0.96263,                 1.1877,              0.0025664,              0.0025664,              0.0025664
                     48,                 0.0149,                  1.035,                 1.2116,                0.56736,                0.45523,                0.48443,                0.29151,                0.01398,                0.96513,                 1.1868,              0.0025523,              0.0025523,              0.0025523
                     49,                 0.0149,                  1.036,                 1.2146,                0.55292,                0.45954,                0.47937,                0.28876,                0.01394,                0.96466,                 1.1835,              0.0025382,              0.0025382,              0.0025382
                     50,                 0.0149,                 1.0347,                 1.2112,                0.56745,                0.45867,                0.48602,                0.29274,                 0.0139,                0.95368,                 1.1837,              0.0025242,              0.0025242,              0.0025242
                     51,                0.01497,                 1.0392,                 1.2142,                0.56557,                  0.461,                0.48598,                 0.2933,                0.01393,                0.95715,                 1.1846,              0.0025101,              0.0025101,              0.0025101
                     52,                0.01487,                 1.0255,                 1.2082,                0.57029,                0.45742,                0.48842,                0.29537,                0.01391,                0.95234,                 1.1838,               0.002496,               0.002496,               0.002496
                     53,                0.01503,                   1.04,                 1.2149,                0.55227,                0.46801,                0.48687,                0.29365,                0.01391,                0.95812,                 1.1831,              0.0024819,              0.0024819,              0.0024819
                     54,                0.01489,                 1.0329,                 1.2136,                0.55936,                0.46558,                0.48897,                0.29521,                0.01391,                0.95675,                 1.1829,              0.0024678,              0.0024678,              0.0024678
                     55,                0.01489,                 1.0256,                 1.2092,                0.56103,                0.46304,                0.48932,                 0.2961,                0.01384,                0.95281,                 1.1797,              0.0024538,              0.0024538,              0.0024538
                     56,                0.01479,                 1.0225,                 1.2084,                0.56604,                0.46894,                0.49275,                0.29793,                0.01386,                0.94737,                 1.1808,              0.0024397,              0.0024397,              0.0024397
                     57,                0.01483,                 1.0232,                 1.2089,                0.56785,                0.45925,                0.48923,                0.29528,                0.01385,                0.94849,                 1.1806,              0.0024256,              0.0024256,              0.0024256
                     58,                0.01485,                 1.0201,                 1.2078,                0.57006,                0.46389,                0.49211,                0.29775,                0.01386,                0.94975,                 1.1807,              0.0024115,              0.0024115,              0.0024115
                     59,                0.01474,                 1.0154,                 1.2029,                0.57321,                0.46469,                0.49303,                0.29845,                0.01385,                 0.9457,                 1.1798,              0.0023974,              0.0023974,              0.0023974
                     60,                0.01483,                 1.0147,                 1.2066,                0.57501,                0.46356,                0.49519,                0.29884,                0.01376,                0.94443,                 1.1765,              0.0023834,              0.0023834,              0.0023834
                     61,                0.01482,                 1.0166,                 1.2066,                0.56071,                0.46879,                0.49579,                0.29729,                0.01385,                0.94485,                 1.1789,              0.0023693,              0.0023693,              0.0023693
                     62,                0.01478,                 1.0092,                 1.2036,                0.56853,                0.46866,                0.49302,                0.29859,                0.01382,                0.94076,                 1.1779,              0.0023552,              0.0023552,              0.0023552
                     63,                0.01475,                 1.0089,                 1.2052,                0.58189,                0.45744,                0.49528,                0.29995,                0.01381,                0.94096,                 1.1772,              0.0023411,              0.0023411,              0.0023411
                     64,                0.01481,                 1.0087,                 1.2025,                0.57833,                0.46991,                0.49937,                 0.3017,                0.01377,                0.93694,                 1.1753,               0.002327,               0.002327,               0.002327
                     65,                0.01474,                 1.0057,                 1.2034,                0.57905,                0.47022,                0.49909,                0.30193,                0.01381,                0.93713,                 1.1763,               0.002313,               0.002313,               0.002313
                     66,                0.01477,                 1.0127,                 1.2061,                0.59269,                0.46749,                0.50048,                0.30241,                0.01381,                0.93703,                 1.1764,              0.0022989,              0.0022989,              0.0022989
                     67,                 0.0147,                 1.0015,                 1.2033,                0.58215,                0.46901,                0.49884,                0.30191,                0.01379,                0.93532,                  1.177,              0.0022848,              0.0022848,              0.0022848
                     68,                0.01462,                 1.0003,                 1.2009,                0.57367,                0.47213,                0.49982,                0.30293,                0.01375,                0.93564,                  1.175,              0.0022707,              0.0022707,              0.0022707
                     69,                0.01471,                 1.0022,                 1.2016,                0.56897,                0.47196,                0.49884,                0.30175,                0.01375,                0.93386,                 1.1752,              0.0022566,              0.0022566,              0.0022566
                     70,                0.01475,                 1.0034,                 1.2097,                0.57358,                0.47179,                0.50017,                 0.3034,                0.01376,                0.93193,                 1.1758,              0.0022426,              0.0022426,              0.0022426
                     71,                0.01457,                0.99316,                 1.1983,                0.58792,                0.46925,                 0.5022,                0.30403,                0.01377,                0.93202,                 1.1757,              0.0022285,              0.0022285,              0.0022285
                     72,                0.01475,                0.99955,                 1.2008,                0.57187,                0.47523,                0.50075,                0.30376,                0.01374,                0.93177,                 1.1748,              0.0022144,              0.0022144,              0.0022144
                     73,                0.01476,                 1.0028,                 1.2033,                0.58384,                0.46698,                0.50069,                0.30371,                0.01373,                0.93055,                 1.1747,              0.0022003,              0.0022003,              0.0022003
                     74,                0.01462,                 0.9955,                 1.1993,                0.58157,                0.47283,                0.50215,                0.30476,                0.01372,                0.93025,                 1.1739,              0.0021862,              0.0021862,              0.0021862
                     75,                 0.0147,                0.99666,                 1.2008,                0.56733,                0.48278,                0.50179,                0.30436,                0.01372,                0.93032,                 1.1729,              0.0021722,              0.0021722,              0.0021722
                     76,                0.01457,                0.98826,                 1.1982,                0.58001,                0.47593,                0.50325,                0.30486,                 0.0137,                0.92751,                 1.1722,              0.0021581,              0.0021581,              0.0021581
                     77,                0.01457,                0.98476,                 1.1955,                0.57715,                0.47711,                0.50275,                0.30411,                0.01368,                0.92784,                  1.171,               0.002144,               0.002144,               0.002144
                     78,                0.01456,                0.98766,                 1.2004,                0.57317,                0.48276,                0.50327,                0.30493,                0.01368,                0.92329,                 1.1715,              0.0021299,              0.0021299,              0.0021299
                     79,                 0.0146,                0.98943,                 1.2009,                0.58415,                0.47603,                0.50274,                0.30499,                 0.0137,                0.92334,                  1.173,              0.0021158,              0.0021158,              0.0021158
                     80,                0.01465,                 0.9892,                 1.2009,                0.58966,                0.47458,                0.50455,                 0.3069,                0.01369,                0.92329,                 1.1724,              0.0021018,              0.0021018,              0.0021018
                     81,                0.01456,                0.98362,                 1.1984,                0.58825,                0.47395,                0.50594,                0.30777,                0.01365,                0.92108,                 1.1698,              0.0020877,              0.0020877,              0.0020877
                     82,                0.01464,                0.98866,                 1.1973,                0.58872,                0.47408,                0.50553,                0.30746,                0.01363,                0.92081,                 1.1688,              0.0020736,              0.0020736,              0.0020736
                     83,                0.01457,                0.98484,                  1.199,                0.58591,                0.47974,                0.50607,                0.30705,                0.01362,                0.92149,                 1.1692,              0.0020595,              0.0020595,              0.0020595
                     84,                0.01452,                0.97579,                 1.1931,                0.58361,                 0.4816,                0.50716,                0.30842,                0.01363,                 0.9194,                 1.1692,              0.0020454,              0.0020454,              0.0020454
                     85,                0.01448,                0.97656,                 1.1929,                0.58848,                0.47791,                0.50656,                0.30915,                0.01362,                0.92099,                 1.1683,              0.0020314,              0.0020314,              0.0020314
                     86,                0.01453,                0.97696,                 1.1931,                0.58749,                0.48408,                0.50836,                0.30941,                0.01362,                0.91814,                 1.1689,              0.0020173,              0.0020173,              0.0020173
                     87,                0.01459,                0.98179,                 1.1994,                0.58846,                0.48435,                0.50869,                0.30938,                0.01364,                0.91882,                 1.1692,              0.0020032,              0.0020032,              0.0020032
                     88,                0.01456,                0.97792,                 1.1946,                0.58234,                 0.4869,                0.50878,                0.30979,                0.01364,                0.91753,                 1.1682,              0.0019891,              0.0019891,              0.0019891
                     89,                0.01447,                0.97223,                 1.1943,                0.58697,                0.48723,                0.51101,                0.31101,                0.01362,                0.91629,                 1.1677,               0.001975,               0.001975,               0.001975
                     90,                0.01444,                0.97568,                 1.1875,                0.58443,                0.48852,                0.51063,                0.31033,                0.01363,                0.91711,                 1.1687,               0.001961,               0.001961,               0.001961
                     91,                0.01442,                 0.9701,                 1.1942,                0.58766,                0.48213,                0.51078,                0.30954,                0.01363,                0.91589,                 1.1689,              0.0019469,              0.0019469,              0.0019469
                     92,                0.01453,                 0.9758,                 1.1941,                0.59173,                0.47936,                0.51042,                0.31108,                 0.0136,                0.91494,                  1.168,              0.0019328,              0.0019328,              0.0019328
                     93,                0.01437,                0.96542,                 1.1904,                 0.5871,                0.48463,                 0.5119,                0.31141,                 0.0136,                0.91506,                 1.1677,              0.0019187,              0.0019187,              0.0019187
                     94,                0.01446,                0.96317,                 1.1881,                0.58988,                0.48337,                0.51125,                0.31091,                0.01361,                0.91317,                  1.168,              0.0019046,              0.0019046,              0.0019046
                     95,                0.01443,                0.96217,                 1.1921,                0.58932,                 0.4844,                0.51177,                0.31083,                0.01361,                0.91254,                 1.1677,              0.0018906,              0.0018906,              0.0018906
                     96,                0.01438,                0.96137,                 1.1898,                0.59273,                0.48524,                0.51333,                0.31091,                0.01359,                0.91155,                 1.1666,              0.0018765,              0.0018765,              0.0018765
                     97,                0.01441,                0.95991,                 1.1884,                0.59275,                0.48663,                0.51358,                0.31189,                0.01358,                0.90989,                 1.1664,              0.0018624,              0.0018624,              0.0018624
                     98,                0.01443,                0.96293,                 1.1892,                0.59566,                0.48433,                0.51365,                 0.3117,                0.01357,                0.91005,                 1.1663,              0.0018483,              0.0018483,              0.0018483
                     99,                0.01433,                0.95932,                 1.1898,                0.59488,                0.48837,                 0.5148,                0.31286,                0.01356,                  0.909,                 1.1655,              0.0018342,              0.0018342,              0.0018342
                    100,                0.01436,                0.95415,                 1.1852,                0.60079,                0.48331,                0.51575,                0.31312,                0.01355,                 0.9093,                 1.1651,              0.0018202,              0.0018202,              0.0018202
                    101,                0.01438,                0.95618,                 1.1862,                0.59473,                0.48567,                0.51509,                0.31285,                0.01354,                0.90804,                 1.1641,              0.0018061,              0.0018061,              0.0018061
                    102,                0.01434,                0.95402,                 1.1864,                0.60032,                0.48269,                0.51479,                0.31242,                0.01353,                0.90797,                 1.1635,               0.001792,               0.001792,               0.001792
                    103,                0.01434,                0.95656,                 1.1873,                0.59369,                0.48863,                0.51573,                0.31282,                0.01353,                0.90718,                 1.1639,              0.0017779,              0.0017779,              0.0017779
                    104,                0.01428,                0.94384,                 1.1828,                0.59172,                 0.4882,                0.51618,                0.31279,                0.01354,                0.90687,                 1.1641,              0.0017638,              0.0017638,              0.0017638
                    105,                0.01434,                0.95068,                  1.187,                0.59058,                0.49245,                0.51613,                0.31319,                0.01354,                0.90648,                 1.1642,              0.0017498,              0.0017498,              0.0017498
                    106,                0.01434,                0.94912,                 1.1782,                0.59656,                0.48691,                0.51689,                0.31372,                0.01354,                0.90561,                  1.164,              0.0017357,              0.0017357,              0.0017357
                    107,                0.01433,                0.94941,                 1.1858,                0.59141,                 0.4907,                0.51654,                 0.3134,                0.01354,                0.90566,                 1.1638,              0.0017216,              0.0017216,              0.0017216
                    108,                0.01432,                0.94947,                 1.1826,                0.59453,                0.48785,                0.51589,                0.31375,                0.01353,                0.90512,                 1.1632,              0.0017075,              0.0017075,              0.0017075
                    109,                0.01425,                0.94136,                 1.1813,                0.59614,                0.48781,                0.51666,                0.31447,                0.01352,                0.90409,                 1.1623,              0.0016934,              0.0016934,              0.0016934
