                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01884,                 2.0537,                 1.7558,                 0.3564,                0.25173,                0.20969,                0.11114,                0.01449,                 1.6042,                 1.4594,                0.03441,               0.001066,               0.001066
                      2,                0.01395,                 1.5904,                 1.4204,                0.36249,                0.30711,                0.27244,                0.14547,                0.01306,                 1.4075,                 1.4008,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01315,                  1.496,                 1.3755,                0.36117,                0.27712,                0.24912,                0.13521,                0.01253,                 1.3891,                 1.3536,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01276,                 1.4299,                 1.3539,                0.39263,                0.33572,                0.31737,                0.18175,                0.01142,                 1.2859,                 1.3052,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01243,                 1.3807,                 1.3271,                0.39643,                0.35392,                0.32988,                0.18803,                0.01131,                 1.2521,                 1.2885,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01213,                  1.332,                 1.3125,                0.42851,                0.35166,                0.34848,                0.20203,                0.01114,                 1.2191,                 1.2745,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01184,                 1.2961,                 1.2961,                0.46395,                0.35242,                0.36139,                0.20652,                0.01094,                 1.1788,                 1.2615,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01168,                 1.2712,                 1.2918,                0.46549,                0.37312,                0.37336,                0.21361,                0.01103,                 1.1643,                 1.2666,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01158,                 1.2507,                  1.285,                 0.4554,                0.35786,                0.35796,                0.20825,                0.01095,                 1.1762,                 1.2606,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01152,                 1.2359,                 1.2787,                0.45186,                0.38022,                0.37755,                0.21602,                0.01079,                 1.1394,                 1.2535,              0.0030874,              0.0030874,              0.0030874
                     11,                 0.0114,                 1.2213,                 1.2675,                0.46465,                0.38848,                0.39322,                0.23051,                0.01061,                  1.134,                  1.241,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01129,                 1.2077,                 1.2645,                0.48023,                0.39492,                0.39941,                0.23307,                0.01044,                 1.1025,                 1.2359,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01128,                 1.2071,                 1.2652,                0.49311,                0.38994,                0.40132,                0.23529,                0.01044,                 1.1088,                 1.2331,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01114,                 1.1897,                 1.2592,                0.48727,                0.40414,                0.41197,                0.23966,                0.01036,                 1.1026,                 1.2309,               0.003031,               0.003031,               0.003031
                     15,                0.01108,                 1.1746,                 1.2573,                0.50151,                0.40665,                0.41331,                0.24427,                0.01017,                 1.0765,                 1.2233,               0.003017,               0.003017,               0.003017
                     16,                0.01103,                 1.1645,                 1.2523,                0.49303,                0.40866,                0.41125,                 0.2397,                0.01029,                 1.0862,                 1.2303,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01107,                 1.1614,                 1.2551,                0.49903,                0.41661,                0.42434,                0.25144,                0.01008,                 1.0726,                  1.219,              0.0029888,              0.0029888,              0.0029888
                     18,                 0.0109,                 1.1459,                 1.2444,                0.49729,                0.41273,                0.41816,                 0.2466,                 0.0101,                  1.063,                 1.2176,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01089,                 1.1416,                 1.2503,                0.50648,                0.41163,                0.42134,                0.25023,                0.01008,                 1.0539,                  1.218,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01084,                 1.1351,                 1.2413,                0.50455,                0.41675,                0.42195,                0.24893,                0.01008,                  1.063,                 1.2145,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01078,                 1.1301,                 1.2444,                0.50904,                0.42633,                0.43306,                0.25542,                0.01005,                 1.0501,                 1.2168,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01078,                 1.1242,                 1.2415,                0.51376,                0.42247,                0.43132,                 0.2559,                0.01004,                  1.045,                 1.2166,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01071,                 1.1224,                 1.2385,                0.52493,                0.42156,                0.43358,                0.25708,                   0.01,                 1.0508,                 1.2151,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01074,                 1.1142,                 1.2353,                0.51346,                0.42006,                0.43402,                0.25725,                0.00994,                 1.0391,                 1.2082,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01074,                 1.1129,                 1.2361,                0.53164,                 0.4249,                0.44156,                0.26227,                0.00993,                 1.0279,                 1.2082,              0.0028762,              0.0028762,              0.0028762
                     26,                 0.0107,                 1.1052,                 1.2337,                0.51849,                0.42961,                0.44064,                0.26276,                0.00985,                 1.0273,                 1.2044,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01062,                 1.1004,                 1.2364,                0.52527,                0.43266,                0.45111,                0.26888,                 0.0098,                 1.0164,                 1.2036,               0.002848,               0.002848,               0.002848
                     28,                 0.0106,                 1.1032,                 1.2295,                0.53307,                0.42771,                0.44755,                0.26812,                 0.0098,                 1.0192,                 1.2018,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01065,                 1.0966,                 1.2315,                0.55066,                0.42895,                0.45424,                0.27166,                0.00978,                 1.0119,                 1.1996,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01053,                 1.0893,                  1.225,                0.52686,                0.43961,                 0.4564,                0.27183,                0.00983,                 1.0056,                 1.2036,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01056,                 1.0896,                 1.2356,                 0.5335,                0.43359,                0.45591,                0.27134,                0.00976,                 1.0061,                 1.2006,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01055,                 1.0849,                 1.2265,                0.53064,                0.44425,                  0.456,                0.27354,                0.00978,                 1.0095,                 1.2011,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01063,                 1.1011,                 1.2296,                0.54961,                0.43733,                0.46291,                0.27858,                0.00974,                 1.0052,                  1.195,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01061,                 1.0909,                 1.2261,                0.53988,                0.44133,                0.46108,                0.27593,                0.00978,                 1.0049,                 1.1937,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01067,                 1.0963,                 1.2304,                0.53158,                0.44068,                0.45519,                0.27314,                0.00984,                 1.0217,                 1.1952,              0.0027354,              0.0027354,              0.0027354
                     36,                0.01055,                 1.0815,                 1.2223,                0.55689,                0.43803,                0.46299,                0.27927,                0.00979,                 1.0028,                 1.1932,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01065,                 1.0914,                 1.2224,                0.54481,                0.44326,                0.46339,                0.27776,                0.00984,                 1.0106,                 1.1938,              0.0027072,              0.0027072,              0.0027072
                     38,                0.01053,                 1.0805,                  1.217,                0.53544,                0.45364,                0.46495,                 0.2787,                 0.0098,                 1.0031,                   1.19,              0.0026931,              0.0026931,              0.0026931
                     39,                 0.0106,                 1.0843,                 1.2155,                0.53087,                0.45381,                 0.4639,                 0.2781,                0.00981,                 1.0083,                 1.1893,               0.002679,               0.002679,               0.002679
                     40,                0.01053,                 1.0775,                 1.2106,                0.54344,                0.44682,                0.46834,                0.28229,                0.00979,                 1.0074,                 1.1869,               0.002665,               0.002665,               0.002665
                     41,                0.01053,                 1.0803,                 1.2126,                 0.5408,                0.45314,                 0.4701,                0.28342,                0.00982,                 1.0036,                 1.1861,              0.0026509,              0.0026509,              0.0026509
                     42,                0.01059,                 1.0782,                 1.2108,                0.54891,                0.44944,                 0.4677,                0.28213,                0.00974,                 1.0033,                 1.1817,              0.0026368,              0.0026368,              0.0026368
                     43,                0.01049,                 1.0735,                 1.2109,                0.55148,                 0.4551,                0.47068,                 0.2838,                0.00972,                0.99682,                 1.1817,              0.0026227,              0.0026227,              0.0026227
                     44,                0.01048,                 1.0699,                 1.2091,                0.54805,                 0.4555,                 0.4756,                0.28756,                0.00972,                 0.9944,                 1.1802,              0.0026086,              0.0026086,              0.0026086
                     45,                 0.0105,                 1.0694,                 1.2089,                 0.5514,                0.45112,                0.47449,                0.28633,                0.00973,                0.99656,                 1.1803,              0.0025946,              0.0025946,              0.0025946
