                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02466,                 2.0566,                 1.7337,                0.38224,                 0.2499,                0.21759,                0.11503,                0.01713,                 1.5723,                 1.4221,                0.03441,               0.001066,               0.001066
                      2,                0.01677,                 1.5783,                 1.3883,                0.32748,                0.31495,                0.26628,                0.14098,                0.01556,                 1.4122,                 1.3776,                 0.0188,              0.0021233,              0.0021233
                      3,                 0.0159,                  1.497,                  1.355,                0.37234,                0.26448,                0.25308,                0.13437,                0.01533,                 1.4116,                 1.3376,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01531,                 1.4312,                 1.3321,                0.43272,                0.32454,                0.30973,                0.17505,                 0.0136,                 1.2973,                 1.2823,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01491,                 1.3834,                 1.3086,                0.36956,                0.34696,                0.30889,                0.17453,                0.01379,                 1.2957,                 1.2883,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01447,                 1.3353,                 1.2958,                0.42872,                0.35639,                0.35297,                0.20143,                0.01329,                 1.2216,                 1.2688,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01412,                 1.2984,                 1.2802,                0.47654,                0.36335,                0.37132,                0.21239,                0.01286,                 1.1816,                 1.2468,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01392,                 1.2795,                 1.2767,                0.46385,                0.37431,                 0.3768,                0.21447,                0.01298,                 1.1789,                 1.2532,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01383,                 1.2611,                 1.2671,                0.43305,                0.37189,                0.35566,                0.20421,                0.01306,                 1.2032,                 1.2504,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01381,                 1.2518,                 1.2607,                0.46031,                0.38047,                0.37637,                0.21836,                0.01266,                 1.1605,                 1.2329,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01369,                 1.2411,                 1.2505,                0.46136,                0.39377,                0.39355,                0.23064,                0.01252,                  1.146,                 1.2196,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01358,                  1.231,                 1.2494,                0.47845,                0.39335,                 0.4006,                0.23175,                0.01255,                 1.1367,                 1.2244,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01352,                 1.2236,                 1.2452,                0.49704,                0.39447,                 0.4067,                0.23958,                0.01237,                 1.1279,                 1.2182,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01334,                 1.2117,                 1.2389,                0.49553,                0.40387,                 0.4131,                0.24228,                0.01231,                 1.1296,                 1.2145,               0.003031,               0.003031,               0.003031
                     15,                 0.0133,                 1.1957,                 1.2382,                0.50295,                0.41151,                 0.4199,                0.24519,                0.01238,                 1.0984,                 1.2136,               0.003017,               0.003017,               0.003017
                     16,                0.01328,                 1.1885,                 1.2343,                0.50922,                0.40128,                0.41311,                0.24327,                0.01217,                 1.1037,                 1.2075,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01324,                 1.1808,                  1.233,                0.51027,                0.41519,                0.42762,                0.25322,                0.01208,                 1.0918,                 1.1995,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01306,                  1.168,                 1.2233,                0.50153,                0.41202,                0.42219,                0.24912,                0.01201,                 1.0999,                 1.1997,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01306,                 1.1678,                 1.2299,                 0.5231,                0.42188,                0.43474,                 0.2572,                0.01215,                 1.0786,                 1.2071,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01301,                 1.1601,                 1.2218,                0.52009,                0.42058,                0.43135,                0.25595,                0.01193,                 1.0832,                 1.1919,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01295,                 1.1555,                 1.2249,                 0.5136,                0.43292,                0.44347,                0.26114,                0.01192,                 1.0698,                 1.1924,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01291,                 1.1485,                 1.2196,                0.52083,                0.42905,                0.44115,                0.26116,                0.01191,                  1.064,                 1.1959,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01285,                 1.1441,                 1.2196,                0.52175,                0.43697,                0.44398,                0.26336,                 0.0119,                 1.0605,                 1.1966,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01279,                 1.1355,                 1.2121,                0.51681,                0.42866,                0.44278,                0.26249,                 0.0118,                 1.0577,                 1.1871,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01289,                 1.1382,                 1.2148,                 0.5198,                0.42879,                0.44587,                0.26453,                 0.0118,                 1.0572,                 1.1861,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01291,                  1.136,                 1.2166,                0.53908,                0.42475,                0.44655,                0.26832,                0.01163,                 1.0427,                 1.1849,              0.0028621,              0.0028621,              0.0028621
                     27,                 0.0127,                  1.124,                 1.2146,                0.52717,                0.44149,                0.45264,                0.26953,                0.01166,                 1.0442,                 1.1854,               0.002848,               0.002848,               0.002848
                     28,                0.01278,                 1.1267,                 1.2118,                0.53577,                0.43119,                0.45179,                0.27042,                0.01166,                 1.0368,                   1.18,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01273,                 1.1241,                 1.2111,                0.54368,                 0.4404,                0.45871,                0.27326,                0.01165,                 1.0337,                  1.181,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01264,                 1.1161,                 1.2034,                0.54094,                0.44412,                0.45915,                  0.273,                0.01165,                 1.0304,                 1.1808,              0.0028058,              0.0028058,              0.0028058
                     31,                 0.0126,                 1.1112,                 1.2117,                0.54861,                0.43765,                0.46006,                0.27259,                0.01166,                 1.0359,                 1.1812,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01261,                 1.1071,                 1.2045,                0.53076,                0.44977,                0.46322,                0.27612,                0.01153,                 1.0272,                 1.1765,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01264,                 1.1162,                 1.2078,                 0.5463,                0.44173,                0.46169,                0.27704,                0.01151,                  1.026,                 1.1749,              0.0027635,              0.0027635,              0.0027635
