                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01937,                 2.0606,                 1.7407,                0.36719,                0.25091,                0.21056,                0.11168,                0.01408,                 1.5835,                 1.4306,                0.03441,               0.001066,               0.001066
                      2,                0.01418,                 1.5838,                 1.4044,                0.34286,                0.30042,                0.26444,                0.13788,                0.01365,                 1.4342,                 1.4092,                 0.0188,              0.0021233,              0.0021233
                      3,                 0.0135,                 1.5049,                 1.3705,                 0.3494,                0.29562,                0.26953,                  0.149,                0.01267,                 1.3871,                 1.3346,              0.0031815,              0.0031712,              0.0031712
                      4,                  0.013,                 1.4322,                 1.3453,                0.38605,                0.32741,                0.30679,                0.17145,                0.01195,                 1.3438,                 1.3074,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01266,                 1.3843,                 1.3193,                0.33953,                0.33869,                0.28997,                0.16362,                0.01201,                 1.3169,                  1.302,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01233,                 1.3341,                 1.3061,                0.43573,                0.35496,                0.34664,                0.19408,                0.01178,                 1.2495,                 1.2963,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01215,                 1.3078,                 1.2951,                 0.4567,                0.35418,                0.35774,                0.20693,                0.01122,                 1.2069,                 1.2641,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01198,                 1.2853,                 1.2918,                  0.469,                0.36886,                0.36909,                0.21108,                0.01109,                 1.1693,                 1.2509,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01178,                 1.2544,                 1.2786,                0.46095,                0.36919,                0.36987,                0.21342,                0.01119,                 1.1815,                 1.2568,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01177,                 1.2462,                 1.2773,                0.44691,                0.38122,                0.37515,                0.21431,                0.01111,                 1.1501,                 1.2537,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01161,                 1.2279,                 1.2659,                0.45745,                0.40072,                  0.389,                0.22825,                 0.0108,                 1.1317,                 1.2385,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01156,                 1.2178,                 1.2656,                0.46323,                0.39232,                0.39432,                0.22887,                0.01089,                 1.1228,                 1.2442,              0.0030592,              0.0030592,              0.0030592
                     13,                 0.0115,                 1.2128,                 1.2628,                0.48729,                0.39178,                0.40129,                 0.2351,                 0.0106,                 1.1094,                 1.2265,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01133,                 1.1946,                 1.2553,                0.47776,                0.41304,                0.40916,                0.23778,                 0.0105,                 1.1106,                 1.2253,               0.003031,               0.003031,               0.003031
                     15,                0.01131,                  1.183,                 1.2563,                 0.4933,                0.41167,                0.41448,                0.24422,                0.01041,                 1.0831,                 1.2216,               0.003017,               0.003017,               0.003017
                     16,                0.01122,                 1.1696,                 1.2496,                0.50626,                0.41409,                 0.4181,                0.24359,                0.01043,                 1.0821,                  1.226,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01123,                 1.1651,                 1.2507,                0.49514,                 0.4157,                0.41652,                0.24499,                0.01039,                  1.083,                 1.2199,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01109,                 1.1496,                 1.2409,                0.49357,                0.41701,                0.42235,                0.24654,                0.01029,                 1.0639,                 1.2117,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01111,                 1.1498,                 1.2483,                0.51545,                0.41576,                0.43149,                0.25327,                0.01038,                 1.0601,                 1.2185,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01104,                  1.138,                 1.2391,                0.50433,                0.41476,                0.42302,                0.25085,                0.01019,                 1.0654,                 1.2091,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01101,                 1.1354,                 1.2442,                0.51448,                0.42357,                0.43674,                0.25754,                0.01031,                 1.0531,                  1.216,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01095,                 1.1261,                 1.2379,                0.50386,                0.42913,                0.43535,                 0.2569,                0.01024,                 1.0495,                  1.214,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01088,                 1.1242,                 1.2358,                0.53353,                0.42914,                0.44217,                 0.2627,                 0.0101,                 1.0338,                 1.2057,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01088,                 1.1181,                 1.2318,                0.51739,                0.42288,                0.43612,                0.25787,                0.01021,                 1.0445,                 1.2108,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01101,                 1.1243,                 1.2337,                0.51311,                0.43277,                0.44258,                0.26261,                0.01021,                 1.0439,                 1.2081,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01109,                  1.122,                  1.235,                0.53476,                0.42872,                0.44839,                 0.2663,                0.01013,                 1.0309,                 1.2034,              0.0028621,              0.0028621,              0.0028621
