                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01913,                 2.0493,                 1.7178,                0.36271,                 0.2496,                0.20231,                0.10664,                0.01459,                 1.6096,                 1.4341,                0.03441,               0.001066,               0.001066
                      2,                0.01407,                 1.5815,                   1.39,                 0.3556,                0.31221,                0.27614,                0.15142,                0.01279,                 1.4004,                 1.3561,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01333,                 1.5016,                 1.3524,                 0.4162,                0.31734,                0.30784,                0.16934,                0.01205,                 1.3386,                 1.3088,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01291,                 1.4269,                 1.3319,                0.39999,                0.32303,                0.31757,                0.17891,                0.01173,                 1.2894,                  1.292,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01258,                 1.3819,                 1.3079,                0.36706,                0.35099,                 0.3124,                0.17781,                0.01156,                 1.2751,                 1.2783,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01227,                 1.3321,                 1.2961,                0.43716,                0.34723,                0.34848,                0.20227,                0.01122,                 1.2158,                 1.2616,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01196,                 1.2948,                 1.2795,                0.46022,                0.36359,                0.36702,                0.21115,                0.01108,                 1.1805,                 1.2507,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01185,                 1.2741,                 1.2776,                0.46115,                0.37962,                 0.3781,                0.21787,                0.01105,                 1.1557,                 1.2441,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01177,                 1.2582,                 1.2677,                0.45485,                 0.3723,                0.36603,                0.21162,                0.01116,                 1.1798,                  1.247,              0.0031014,              0.0031014,              0.0031014
                     10,                 0.0118,                 1.2498,                 1.2657,                0.43244,                0.38029,                0.36745,                0.21365,                  0.011,                 1.1795,                 1.2429,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01169,                 1.2397,                  1.255,                0.45586,                0.39407,                0.38478,                0.22579,                0.01089,                  1.172,                 1.2326,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01156,                 1.2258,                 1.2489,                0.48516,                0.39501,                0.40294,                0.23537,                0.01066,                 1.1166,                 1.2239,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01153,                 1.2195,                 1.2451,                0.49101,                0.39078,                0.39975,                0.23546,                0.01062,                 1.1236,                 1.2137,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01137,                 1.2023,                 1.2385,                0.48436,                0.40775,                0.41433,                0.24083,                0.01063,                 1.1085,                 1.2115,               0.003031,               0.003031,               0.003031
                     15,                0.01136,                 1.1979,                 1.2402,                0.50622,                 0.4083,                 0.4174,                0.24617,                0.01052,                 1.1025,                 1.2102,               0.003017,               0.003017,               0.003017
                     16,                 0.0113,                 1.1827,                 1.2321,                0.50586,                0.41359,                0.42463,                0.25026,                0.01041,                 1.0924,                  1.204,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01134,                 1.1784,                 1.2335,                0.51355,                0.41699,                0.42842,                0.25361,                0.01043,                 1.0974,                 1.1999,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01116,                 1.1671,                 1.2223,                 0.4998,                0.41047,                0.42119,                0.24821,                0.01042,                  1.086,                 1.2004,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01115,                 1.1636,                 1.2268,                0.52243,                0.40868,                0.43133,                0.25508,                0.01044,                 1.0759,                 1.2013,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01115,                 1.1587,                  1.222,                0.49987,                0.40851,                0.41956,                0.24815,                0.01038,                 1.0971,                 1.1973,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01106,                 1.1492,                 1.2217,                0.50813,                0.42332,                 0.4345,                0.25499,                0.01038,                  1.073,                 1.1957,              0.0029325,              0.0029325,              0.0029325
                     22,                 0.0111,                  1.149,                 1.2211,                0.50235,                0.42457,                 0.4334,                0.25839,                0.01026,                  1.059,                  1.193,              0.0029184,              0.0029184,              0.0029184
                     23,                  0.011,                 1.1457,                 1.2178,                0.50885,                0.42784,                0.43278,                0.25709,                 0.0103,                 1.0732,                 1.1964,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01098,                  1.134,                 1.2132,                0.52928,                 0.4266,                0.44285,                0.26208,                 0.0102,                 1.0576,                 1.1872,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01106,                 1.1374,                 1.2162,                0.51368,                 0.4343,                0.44205,                0.26238,                 0.0103,                 1.0606,                 1.1927,              0.0028762,              0.0028762,              0.0028762
                     26,                  0.011,                 1.1237,                 1.2129,                0.52529,                0.43124,                0.44528,                0.26543,                0.01018,                 1.0439,                 1.1921,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01086,                 1.1186,                 1.2128,                0.52195,                0.44023,                0.44939,                0.26926,                0.01006,                 1.0392,                 1.1827,               0.002848,               0.002848,               0.002848
                     28,                0.01094,                  1.126,                   1.21,                0.52628,                 0.4335,                0.44893,                 0.2701,                 0.0101,                 1.0416,                 1.1796,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01095,                   1.12,                 1.2101,                0.54106,                0.43577,                0.45617,                0.27265,                0.01011,                 1.0308,                 1.1798,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01082,                 1.1111,                 1.2013,                0.53844,                0.44113,                0.45637,                0.27201,                0.01014,                 1.0333,                 1.1803,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01084,                 1.1109,                 1.2119,                0.53945,                0.43426,                0.45357,                0.26939,                0.01009,                 1.0336,                 1.1785,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01085,                  1.108,                 1.2045,                0.53817,                0.44411,                0.45874,                 0.2743,                0.01006,                 1.0283,                 1.1778,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01086,                 1.1184,                 1.2076,                0.53926,                0.44103,                0.46074,                0.27643,                0.00996,                 1.0198,                 1.1744,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01081,                 1.1059,                 1.2052,                0.52757,                0.45045,                0.45985,                0.27559,                0.01005,                 1.0234,                 1.1761,              0.0027494,              0.0027494,              0.0027494
