                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02568,                 2.1568,                 1.5623,                0.26667,                0.14584,                0.11068,                0.05166,                0.01909,                 1.6627,                  1.175,               0.034439,               0.001064,               0.001064
                      2,                0.01872,                 1.5943,                 1.1683,                0.24433,                 0.2029,                0.15925,                0.07638,                0.01737,                 1.4572,                 1.1185,               0.018829,              0.0021213,              0.0021213
                      3,                0.01813,                 1.5163,                 1.1326,                0.24007,                0.20242,                0.16413,                0.08034,                0.01771,                 1.4305,                 1.1233,              0.0032104,              0.0031692,              0.0031692
                      4,                0.01755,                 1.4671,                 1.1111,                 0.3129,                0.20794,                0.18921,                0.09482,                0.01667,                 1.3816,                 1.0734,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01701,                 1.4087,                 1.0969,                0.29457,                 0.1997,                0.17608,                0.08763,                0.01694,                 1.3485,                 1.0614,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01669,                  1.376,                 1.0828,                0.27324,                0.22534,                0.19862,                0.10299,                0.01606,                 1.3193,                 1.0473,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01647,                 1.3513,                 1.0766,                0.32767,                0.23444,                0.21328,                0.11183,                 0.0158,                  1.281,                 1.0383,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01628,                 1.3231,                 1.0684,                0.33751,                0.22701,                0.21881,                0.11039,                0.01603,                 1.2825,                  1.031,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01595,                 1.2981,                 1.0584,                0.37449,                0.23808,                0.23197,                0.12217,                0.01518,                 1.2013,                 1.0134,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01591,                 1.2858,                 1.0556,                0.35824,                0.24162,                0.23045,                0.12167,                0.01501,                 1.2168,                 1.0132,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01573,                  1.268,                 1.0472,                0.33475,                0.26254,                0.24235,                0.12795,                0.01492,                 1.2047,                 1.0094,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01575,                 1.2588,                 1.0468,                0.34145,                0.26859,                0.24746,                0.12896,                 0.0149,                 1.1836,                 1.0051,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01564,                  1.255,                 1.0452,                0.36514,                0.25182,                0.24196,                0.12946,                0.01489,                  1.188,                 1.0098,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01547,                 1.2361,                  1.039,                0.37278,                0.26793,                0.25381,                0.13499,                0.01457,                 1.1735,                0.99818,               0.003031,               0.003031,               0.003031
                     15,                0.01535,                 1.2248,                 1.0362,                0.36742,                0.26745,                 0.2584,                 0.1377,                0.01461,                 1.1609,                0.99892,               0.003017,               0.003017,               0.003017
                     16,                0.01534,                 1.2204,                 1.0327,                0.38268,                0.26747,                0.25716,                0.14072,                0.01444,                 1.1496,                0.99485,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01532,                 1.2143,                 1.0333,                0.38362,                0.27068,                0.26232,                0.14274,                0.01423,                 1.1389,                0.99039,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01521,                 1.2027,                 1.0283,                0.39294,                0.26901,                0.26573,                0.14299,                0.01439,                 1.1284,                0.99451,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01501,                 1.1919,                 1.0257,                0.36285,                0.27092,                0.26082,                0.14098,                 0.0143,                 1.1425,                0.99035,              0.0029606,              0.0029606,              0.0029606
                     20,                 0.0151,                 1.1886,                 1.0273,                0.38032,                0.27947,                0.26801,                0.14393,                0.01415,                 1.1312,                0.98914,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01508,                 1.1912,                  1.025,                0.38494,                0.27949,                0.27461,                0.14865,                  0.014,                 1.1176,                0.98214,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01492,                 1.1759,                 1.0199,                0.36825,                0.27819,                0.27158,                0.14628,                0.01421,                 1.1258,                0.98592,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01498,                  1.186,                 1.0239,                0.37457,                0.27825,                0.27006,                0.14662,                0.01402,                 1.1109,                0.98115,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01486,                 1.1664,                 1.0198,                0.41564,                0.28368,                0.28639,                0.15469,                0.01397,                 1.0978,                0.98167,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01479,                 1.1604,                 1.0191,                0.36766,                0.27918,                0.27345,                0.14789,                0.01406,                 1.1167,                0.98192,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01478,                 1.1578,                  1.018,                0.40047,                0.28788,                0.28337,                0.15424,                0.01392,                 1.0946,                0.98093,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01477,                  1.162,                 1.0159,                0.38666,                 0.2873,                0.27807,                0.15095,                0.01396,                 1.1002,                0.98045,               0.002848,               0.002848,               0.002848
                     28,                0.01465,                 1.1488,                 1.0142,                0.42013,                0.28793,                0.28532,                 0.1563,                0.01389,                  1.091,                0.97787,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01472,                  1.148,                 1.0111,                0.38143,                0.29314,                0.28362,                 0.1542,                0.01372,                 1.0797,                0.97589,              0.0028198,              0.0028198,              0.0028198
                     30,                 0.0146,                 1.1442,                  1.012,                0.39104,                0.29307,                0.28778,                0.15571,                0.01382,                 1.0772,                 0.9774,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01469,                 1.1456,                 1.0146,                0.38015,                0.28492,                 0.2783,                0.15076,                0.01395,                 1.0859,                0.97521,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01455,                 1.1382,                 1.0116,                0.40765,                0.29279,                0.29115,                 0.1579,                0.01372,                 1.0784,                0.97589,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01454,                 1.1391,                 1.0103,                 0.4034,                0.29436,                0.28989,                0.15694,                0.01376,                 1.0738,                0.97364,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01449,                 1.1248,                 1.0118,                0.39179,                0.29925,                0.29069,                0.15741,                0.01365,                 1.0653,                 0.9704,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01458,                 1.1312,                 1.0109,                0.41618,                0.29123,                0.29211,                0.15824,                0.01372,                 1.0544,                0.97063,              0.0027354,              0.0027354,              0.0027354
                     36,                0.01443,                 1.1171,                 1.0045,                0.39081,                0.30208,                0.29259,                 0.1589,                0.01358,                 1.0581,                0.97106,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01444,                 1.1165,                 1.0036,                0.39432,                0.30326,                0.29451,                0.16035,                0.01354,                 1.0559,                0.96812,              0.0027072,              0.0027072,              0.0027072
                     38,                0.01448,                 1.1193,                 1.0044,                0.40458,                0.28956,                0.28786,                0.15858,                0.01363,                 1.0661,                 0.9704,              0.0026931,              0.0026931,              0.0026931
                     39,                 0.0144,                 1.1161,                  1.005,                0.39582,                0.30225,                0.29465,                0.16018,                0.01353,                 1.0569,                0.96687,               0.002679,               0.002679,               0.002679
