                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01827,                 2.0569,                 1.7363,                 0.3859,                0.25231,                0.22158,                0.11506,                0.01422,                 1.5643,                 1.4257,                0.03441,               0.001066,               0.001066
                      2,                0.01402,                 1.5841,                 1.3906,                0.34565,                0.31097,                0.27418,                 0.1459,                0.01322,                 1.4305,                  1.376,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01342,                 1.4967,                 1.3566,                0.38593,                0.30362,                0.28859,                0.15886,                 0.0127,                 1.3565,                 1.3293,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01311,                 1.4322,                 1.3381,                 0.4019,                0.33363,                0.31853,                0.17927,                 0.0123,                 1.2967,                 1.3009,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01282,                 1.3821,                 1.3122,                0.37403,                0.33929,                0.30905,                0.17323,                0.01223,                 1.2937,                 1.2979,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01259,                 1.3338,                    1.3,                0.44893,                0.34689,                 0.3482,                0.20021,                0.01183,                 1.2233,                 1.2662,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01241,                 1.2995,                 1.2882,                0.46777,                0.35452,                0.36243,                0.21147,                0.01168,                 1.1954,                 1.2572,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01224,                 1.2784,                 1.2818,                0.45976,                0.36871,                0.36772,                0.20992,                0.01163,                 1.1657,                  1.253,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01217,                 1.2521,                 1.2753,                0.45714,                0.36048,                0.36121,                0.20746,                0.01169,                 1.1889,                 1.2526,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01218,                  1.246,                 1.2696,                0.46083,                0.39062,                0.38398,                 0.2216,                0.01152,                 1.1599,                 1.2395,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01211,                 1.2415,                  1.259,                0.44827,                0.38262,                0.37613,                0.22202,                0.01158,                 1.1707,                 1.2401,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01202,                 1.2259,                 1.2549,                0.48687,                0.40479,                0.40649,                0.23782,                0.01134,                 1.1174,                 1.2261,              0.0030592,              0.0030592,              0.0030592
                     13,                  0.012,                 1.2231,                 1.2529,                0.47751,                0.39605,                0.40127,                0.23947,                0.01128,                 1.1276,                 1.2207,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01187,                  1.203,                 1.2459,                0.49231,                0.41187,                0.41193,                0.24136,                0.01125,                 1.1272,                 1.2217,               0.003031,               0.003031,               0.003031
                     15,                0.01185,                 1.1947,                 1.2462,                 0.5048,                0.41375,                0.42402,                0.25063,                0.01116,                 1.0906,                 1.2139,               0.003017,               0.003017,               0.003017
                     16,                0.01181,                 1.1814,                 1.2406,                0.49825,                0.41407,                0.41668,                0.24388,                0.01123,                 1.1094,                 1.2192,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01181,                 1.1746,                 1.2391,                0.50056,                0.41979,                0.42709,                0.25357,                 0.0111,                 1.0946,                 1.2061,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01174,                 1.1713,                 1.2315,                0.48416,                0.41797,                0.41954,                0.24971,                0.01106,                 1.0923,                 1.2043,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01171,                 1.1638,                 1.2352,                0.49482,                0.41788,                0.42337,                0.25054,                0.01119,                 1.0846,                   1.21,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01166,                 1.1527,                 1.2249,                0.48444,                0.41792,                0.41652,                 0.2482,                  0.011,                 1.0958,                 1.1999,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01168,                 1.1555,                 1.2323,                0.51672,                0.41109,                0.42532,                0.25145,                0.01115,                 1.0975,                 1.2067,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01161,                 1.1441,                 1.2247,                0.51392,                0.42041,                0.43532,                0.25838,                0.01105,                 1.0723,                 1.2041,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01156,                 1.1446,                 1.2223,                0.51863,                0.42885,                0.44147,                0.26315,                  0.011,                 1.0634,                 1.1995,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01158,                  1.136,                 1.2196,                0.51194,                0.42685,                0.43861,                0.26156,                0.01094,                 1.0582,                 1.1936,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01158,                 1.1373,                 1.2192,                0.52253,                0.42495,                0.44255,                 0.2644,                0.01096,                 1.0598,                 1.1951,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01157,                 1.1255,                  1.218,                 0.5195,                0.43742,                0.44791,                0.26892,                0.01088,                 1.0415,                 1.1931,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01149,                 1.1237,                   1.22,                 0.5314,                0.43122,                0.45209,                0.26998,                0.01087,                 1.0483,                 1.1907,               0.002848,               0.002848,               0.002848
                     28,                0.01154,                 1.1272,                  1.215,                 0.5374,                0.42337,                0.44567,                0.26956,                0.01087,                 1.0415,                  1.188,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01151,                 1.1208,                 1.2153,                0.54093,                0.44184,                0.45659,                0.27325,                0.01084,                 1.0334,                 1.1848,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01146,                 1.1161,                 1.2093,                0.54784,                 0.4364,                0.45795,                 0.2736,                0.01088,                 1.0342,                 1.1871,              0.0028058,              0.0028058,              0.0028058
