                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02633,                 2.0542,                  1.726,                0.37581,                 0.2469,                0.20878,                0.10932,                0.01929,                 1.6176,                 1.4273,                0.03441,               0.001066,               0.001066
                      2,                0.01889,                 1.5869,                 1.3954,                0.33666,                 0.2974,                0.26593,                0.14086,                0.01793,                 1.4588,                 1.3837,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01791,                 1.4967,                 1.3562,                0.35693,                0.32072,                0.28441,                0.15811,                0.01641,                 1.3619,                 1.3086,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01747,                 1.4319,                 1.3396,                0.43166,                0.34468,                0.33347,                 0.1872,                0.01596,                 1.2663,                 1.2898,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01707,                 1.3872,                  1.315,                0.38488,                0.34006,                0.31297,                0.18059,                0.01583,                 1.2974,                 1.2809,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01664,                  1.338,                 1.2995,                0.43561,                0.35287,                0.35299,                0.20159,                0.01578,                  1.246,                 1.2781,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01641,                 1.3057,                  1.287,                0.45815,                0.36434,                0.36781,                0.21145,                0.01541,                 1.2001,                 1.2582,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01624,                  1.291,                 1.2817,                0.47256,                  0.374,                0.37591,                  0.213,                0.01532,                 1.1784,                 1.2518,              0.0031155,              0.0031155,              0.0031155
                      9,                 0.0161,                 1.2671,                 1.2703,                0.47066,                0.37219,                0.37083,                0.21249,                 0.0154,                  1.202,                 1.2518,              0.0031014,              0.0031014,              0.0031014
                     10,                 0.0161,                 1.2567,                 1.2666,                 0.4561,                0.38116,                0.37829,                 0.2169,                0.01536,                 1.1757,                 1.2465,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01592,                 1.2453,                 1.2543,                0.46753,                0.38866,                 0.3896,                0.22891,                0.01486,                 1.1516,                 1.2293,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01582,                 1.2343,                 1.2519,                 0.4834,                0.39493,                0.40599,                 0.2353,                0.01476,                 1.1393,                 1.2198,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01583,                 1.2344,                 1.2504,                0.48978,                0.39447,                 0.4035,                0.23855,                0.01464,                 1.1322,                  1.218,              0.0030451,              0.0030451,              0.0030451
