                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02103,                 2.0508,                 1.7317,                0.36472,                 0.2593,                0.21641,                0.11578,                0.01653,                 1.5838,                 1.4243,                0.03441,               0.001066,               0.001066
                      2,                0.01623,                 1.5842,                 1.4018,                0.35419,                0.28569,                0.26502,                0.14334,                 0.0153,                 1.4355,                 1.3802,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01553,                  1.498,                 1.3638,                0.35634,                0.28354,                0.26524,                0.14604,                0.01482,                 1.4074,                 1.3297,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01514,                  1.429,                 1.3423,                0.39151,                0.32424,                0.30748,                 0.1735,                0.01412,                 1.3245,                 1.2928,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01479,                 1.3782,                 1.3138,                0.38169,                  0.345,                0.31295,                0.17973,                0.01395,                 1.2759,                 1.2928,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01449,                 1.3298,                 1.3002,                0.44438,                0.35139,                0.35303,                0.20543,                0.01364,                 1.2175,                 1.2699,              0.0031437,              0.0031437,              0.0031437
                      7,                 0.0143,                 1.2993,                 1.2885,                0.46471,                0.36281,                0.36672,                 0.2114,                0.01353,                 1.1805,                  1.257,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01413,                 1.2792,                 1.2839,                0.46856,                0.38097,                0.38231,                0.21757,                0.01354,                  1.157,                 1.2574,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01402,                 1.2511,                 1.2759,                0.46124,                0.36447,                0.36214,                0.20972,                0.01355,                 1.1793,                 1.2593,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01397,                 1.2397,                 1.2713,                0.47721,                0.38374,                0.38282,                0.22107,                 0.0133,                 1.1498,                 1.2457,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01384,                 1.2256,                 1.2589,                0.46784,                0.38421,                  0.387,                0.22767,                0.01317,                 1.1461,                 1.2327,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01378,                 1.2135,                 1.2586,                 0.4856,                0.39427,                0.40428,                0.23442,                0.01306,                 1.1093,                 1.2301,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01376,                 1.2132,                 1.2559,                0.48428,                0.38975,                0.39728,                0.23585,                0.01295,                 1.1202,                 1.2219,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01363,                 1.1935,                 1.2464,                0.48508,                0.40781,                0.41327,                0.24013,                0.01303,                 1.1208,                 1.2238,               0.003031,               0.003031,               0.003031
                     15,                0.01366,                 1.1895,                 1.2486,                 0.5094,                0.41134,                0.42288,                0.25171,                0.01285,                 1.0824,                 1.2156,               0.003017,               0.003017,               0.003017
                     16,                0.01361,                 1.1788,                 1.2432,                0.50421,                0.41238,                0.42012,                0.24793,                0.01286,                 1.0945,                 1.2162,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01362,                 1.1735,                 1.2429,                0.50153,                0.41641,                0.42903,                0.25321,                 0.0128,                 1.0861,                 1.2077,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01348,                 1.1671,                 1.2317,                0.49103,                0.40982,                0.41481,                0.24469,                0.01285,                 1.0887,                 1.2069,              0.0029747,              0.0029747,              0.0029747
                     19,                 0.0135,                  1.161,                 1.2388,                0.51555,                0.40911,                  0.427,                0.25091,                0.01288,                 1.0837,                 1.2123,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01346,                 1.1562,                 1.2288,                0.51148,                 0.4158,                0.42654,                0.25392,                0.01271,                 1.0832,                 1.2032,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01343,                 1.1546,                 1.2335,                0.51205,                0.42394,                0.43308,                0.25705,                0.01277,                 1.0735,                 1.2016,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01345,                 1.1494,                 1.2299,                0.53015,                0.41993,                0.43898,                0.26105,                0.01271,                 1.0625,                 1.2024,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01334,                  1.145,                 1.2251,                0.53698,                0.42665,                0.44157,                0.26264,                0.01262,                 1.0559,                 1.1959,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01334,                 1.1376,                 1.2207,                0.51658,                0.42737,                0.43921,                0.26113,                0.01266,                 1.0599,                 1.1954,              0.0028902,              0.0028902,              0.0028902
                     25,                 0.0134,                 1.1385,                 1.2225,                0.51961,                0.43226,                0.44466,                0.26516,                0.01263,                 1.0544,                 1.1954,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01337,                 1.1272,                 1.2202,                0.53791,                0.42534,                0.44708,                0.26763,                0.01263,                 1.0448,                  1.198,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01322,                 1.1191,                  1.219,                0.53966,                0.43613,                0.45735,                0.27357,                0.01251,                 1.0347,                  1.187,               0.002848,               0.002848,               0.002848
                     28,                 0.0133,                 1.1277,                 1.2164,                 0.5338,                0.43393,                0.45059,                0.27214,                0.01254,                 1.0384,                 1.1862,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01328,                 1.1236,                  1.217,                0.53965,                0.43559,                0.45558,                0.27435,                0.01252,                 1.0307,                 1.1868,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01322,                 1.1177,                 1.2107,                0.53146,                0.43812,                0.45285,                0.27027,                 0.0126,                 1.0385,                 1.1884,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01319,                 1.1124,                 1.2179,                0.52735,                 0.4366,                0.45522,                0.27138,                0.01258,                 1.0341,                 1.1882,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01322,                  1.112,                 1.2111,                0.52683,                0.44883,                 0.4618,                0.27723,                0.01248,                 1.0268,                 1.1834,              0.0027776,              0.0027776,              0.0027776
                     33,                 0.0132,                 1.1164,                 1.2125,                0.54492,                0.44465,                0.46702,                0.27988,                 0.0125,                  1.022,                 1.1834,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01318,                 1.1094,                  1.212,                0.53314,                0.44752,                0.46302,                0.27858,                0.01244,                 1.0216,                 1.1825,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01319,                  1.105,                 1.2146,                0.53883,                0.44328,                0.46106,                0.27701,                0.01246,                 1.0258,                  1.179,              0.0027354,              0.0027354,              0.0027354
                     36,                0.01311,                 1.0998,                   1.21,                0.54906,                0.43782,                0.46417,                0.27852,                0.01249,                 1.0147,                 1.1825,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01316,                  1.101,                 1.2086,                0.52953,                0.45441,                0.46669,                0.27931,                0.01245,                 1.0178,                 1.1798,              0.0027072,              0.0027072,              0.0027072
                     38,                0.01308,                 1.0909,                 1.2066,                0.54558,                0.45682,                0.46889,                0.28317,                0.01237,                  1.005,                 1.1768,              0.0026931,              0.0026931,              0.0026931
                     39,                0.01306,                 1.0871,                 1.2002,                0.54393,                0.45064,                0.47023,                0.28199,                 0.0124,                 1.0086,                 1.1766,               0.002679,               0.002679,               0.002679
                     40,                0.01304,                 1.0819,                 1.1997,                0.54873,                0.44577,                0.47115,                0.28426,                0.01239,                 1.0122,                 1.1765,               0.002665,               0.002665,               0.002665
                     41,                0.01299,                 1.0838,                 1.2018,                0.56072,                0.44875,                 0.4758,                0.28568,                0.01239,                 1.0064,                 1.1763,              0.0026509,              0.0026509,              0.0026509
                     42,                0.01308,                 1.0833,                 1.2004,                0.55334,                0.45377,                0.47713,                0.28801,                0.01234,                0.99982,                 1.1751,              0.0026368,              0.0026368,              0.0026368
                     43,                0.01299,                 1.0766,                 1.2025,                 0.5511,                0.45678,                 0.4779,                0.28803,                0.01235,                0.99551,                 1.1748,              0.0026227,              0.0026227,              0.0026227
                     44,                0.01301,                 1.0747,                  1.201,                0.55259,                 0.4617,                0.48069,                0.29025,                0.01231,                0.99339,                 1.1716,              0.0026086,              0.0026086,              0.0026086
                     45,                0.01297,                 1.0703,                 1.1988,                0.54805,                0.45995,                0.47733,                0.28806,                0.01232,                0.99532,                 1.1726,              0.0025946,              0.0025946,              0.0025946
                     46,                0.01298,                 1.0746,                 1.1978,                0.55194,                 0.4627,                0.48103,                0.29015,                 0.0123,                0.99355,                 1.1702,              0.0025805,              0.0025805,              0.0025805
                     47,                0.01306,                 1.0736,                 1.2013,                0.55178,                0.46481,                0.48433,                0.29337,                0.01235,                0.99155,                 1.1742,              0.0025664,              0.0025664,              0.0025664
                     48,                0.01296,                 1.0636,                 1.1951,                0.55152,                0.45965,                0.48122,                0.29016,                 0.0123,                0.99173,                 1.1694,              0.0025523,              0.0025523,              0.0025523
                     49,                0.01292,                 1.0631,                 1.1979,                0.54843,                0.45787,                0.47997,                0.28998,                0.01227,                0.99514,                  1.169,              0.0025382,              0.0025382,              0.0025382
                     50,                0.01292,                 1.0633,                 1.1954,                0.55636,                0.45641,                0.48375,                0.29135,                0.01226,                0.98538,                 1.1698,              0.0025242,              0.0025242,              0.0025242
                     51,                0.01301,                 1.0705,                 1.1979,                0.56099,                0.45495,                0.48413,                 0.2926,                0.01226,                0.98563,                 1.1685,              0.0025101,              0.0025101,              0.0025101
                     52,                 0.0129,                 1.0559,                 1.1909,                0.55468,                0.46271,                0.48559,                0.29335,                0.01223,                0.98295,                 1.1668,               0.002496,               0.002496,               0.002496
                     53,                0.01296,                  1.066,                 1.1946,                0.55536,                0.46613,                0.48504,                0.29276,                0.01225,                0.98624,                 1.1678,              0.0024819,              0.0024819,              0.0024819
                     54,                0.01292,                 1.0655,                 1.1964,                0.56784,                0.45718,                0.48588,                0.29382,                0.01224,                0.98485,                 1.1677,              0.0024678,              0.0024678,              0.0024678
                     55,                0.01296,                 1.0605,                 1.1933,                0.55081,                0.47007,                0.48818,                0.29424,                0.01219,                0.97819,                 1.1662,              0.0024538,              0.0024538,              0.0024538
                     56,                0.01283,                 1.0514,                 1.1904,                0.56433,                0.46758,                0.49227,                0.29709,                0.01219,                0.97587,                 1.1633,              0.0024397,              0.0024397,              0.0024397
                     57,                0.01284,                 1.0466,                 1.1897,                0.55898,                 0.4709,                0.49036,                0.29651,                0.01218,                0.97601,                 1.1654,              0.0024256,              0.0024256,              0.0024256
                     58,                0.01289,                 1.0496,                 1.1906,                0.56266,                0.46688,                0.49049,                0.29693,                0.01218,                0.97534,                 1.1635,              0.0024115,              0.0024115,              0.0024115
                     59,                0.01283,                 1.0445,                 1.1876,                0.55456,                0.47505,                0.49299,                0.29769,                0.01217,                0.97312,                 1.1632,              0.0023974,              0.0023974,              0.0023974
                     60,                0.01289,                 1.0445,                 1.1904,                0.56298,                0.47276,                0.49492,                0.30019,                0.01213,                0.97012,                 1.1613,              0.0023834,              0.0023834,              0.0023834
                     61,                0.01282,                  1.042,                 1.1871,                0.56647,                 0.4715,                0.49579,                0.29888,                0.01218,                0.96862,                 1.1624,              0.0023693,              0.0023693,              0.0023693
                     62,                0.01288,                 1.0426,                 1.1873,                0.57574,                 0.4668,                0.49656,                0.30032,                0.01214,                0.96932,                 1.1606,              0.0023552,              0.0023552,              0.0023552
                     63,                 0.0128,                 1.0333,                 1.1856,                0.55835,                  0.473,                0.49297,                0.29844,                0.01216,                 0.9678,                 1.1613,              0.0023411,              0.0023411,              0.0023411
                     64,                 0.0128,                 1.0372,                 1.1831,                0.56263,                0.47418,                0.49539,                0.29961,                0.01215,                0.96682,                   1.16,               0.002327,               0.002327,               0.002327
                     65,                0.01279,                 1.0356,                 1.1857,                0.56361,                0.47941,                 0.4982,                0.30197,                0.01213,                0.96335,                 1.1601,               0.002313,               0.002313,               0.002313
                     66,                0.01286,                  1.039,                 1.1898,                0.57563,                0.47551,                0.49921,                0.30303,                0.01214,                0.96385,                 1.1609,              0.0022989,              0.0022989,              0.0022989
                     67,                 0.0128,                  1.034,                 1.1877,                0.56395,                0.48121,                0.49889,                0.30262,                0.01215,                0.96097,                 1.1613,              0.0022848,              0.0022848,              0.0022848
                     68,                0.01271,                 1.0272,                 1.1831,                0.57441,                 0.4763,                0.50057,                0.30364,                0.01211,                0.96151,                 1.1588,              0.0022707,              0.0022707,              0.0022707
                     69,                 0.0128,                 1.0327,                 1.1847,                0.56495,                0.48227,                0.50114,                0.30481,                0.01207,                0.95892,                 1.1581,              0.0022566,              0.0022566,              0.0022566
                     70,                0.01281,                 1.0324,                 1.1917,                0.56974,                0.47932,                0.50095,                0.30367,                 0.0121,                0.96027,                  1.159,              0.0022426,              0.0022426,              0.0022426
                     71,                0.01267,                 1.0234,                 1.1801,                0.58227,                0.47152,                0.50242,                0.30596,                0.01207,                0.95989,                 1.1572,              0.0022285,              0.0022285,              0.0022285
                     72,                0.01277,                 1.0235,                 1.1816,                0.57602,                 0.4743,                0.50094,                0.30374,                0.01209,                0.95741,                 1.1577,              0.0022144,              0.0022144,              0.0022144
                     73,                0.01282,                 1.0309,                 1.1844,                0.58186,                0.47622,                0.50254,                0.30547,                0.01208,                0.95925,                 1.1576,              0.0022003,              0.0022003,              0.0022003
                     74,                0.01272,                 1.0252,                 1.1821,                0.58041,                0.47634,                0.50329,                0.30582,                0.01207,                0.95786,                  1.157,              0.0021862,              0.0021862,              0.0021862
                     75,                0.01279,                 1.0271,                 1.1833,                 0.5649,                0.47762,                0.50295,                0.30563,                0.01208,                0.95714,                 1.1563,              0.0021722,              0.0021722,              0.0021722
                     76,                0.01269,                 1.0221,                 1.1811,                0.57596,                0.47899,                0.50423,                 0.3064,                0.01207,                0.95432,                 1.1561,              0.0021581,              0.0021581,              0.0021581
                     77,                0.01266,                 1.0131,                 1.1774,                0.57928,                0.48211,                0.50467,                0.30623,                0.01206,                0.95353,                 1.1562,               0.002144,               0.002144,               0.002144
                     78,                0.01269,                 1.0204,                 1.1833,                0.57632,                0.47911,                0.50424,                0.30619,                0.01204,                0.95003,                 1.1557,              0.0021299,              0.0021299,              0.0021299
                     79,                 0.0127,                 1.0199,                 1.1836,                0.57686,                0.48194,                 0.5054,                0.30682,                0.01205,                0.95178,                 1.1551,              0.0021158,              0.0021158,              0.0021158
                     80,                0.01273,                 1.0156,                  1.181,                0.58476,                0.48083,                0.50702,                0.30776,                0.01206,                0.95166,                 1.1556,              0.0021018,              0.0021018,              0.0021018
                     81,                0.01269,                  1.018,                 1.1818,                0.59069,                0.48017,                 0.5096,                0.30979,                0.01203,                0.95129,                 1.1544,              0.0020877,              0.0020877,              0.0020877
