                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02113,                  2.063,                 1.7353,                0.39819,                 0.2443,                0.21686,                 0.1139,                0.01654,                 1.6064,                 1.4349,                0.03441,               0.001066,               0.001066
                      2,                0.01619,                 1.5888,                 1.4004,                0.36047,                0.30568,                0.27718,                0.15213,                0.01512,                 1.3959,                 1.3644,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01549,                 1.5044,                 1.3614,                0.37363,                0.30525,                0.28862,                0.16245,                 0.0143,                 1.3598,                 1.3072,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01516,                 1.4326,                 1.3434,                0.39432,                0.33622,                0.31756,                0.18041,                0.01407,                 1.3153,                 1.2928,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01474,                 1.3817,                 1.3111,                0.37483,                0.34755,                0.31576,                0.17969,                 0.0139,                  1.275,                 1.2866,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01445,                 1.3342,                 1.2977,                0.43654,                0.34569,                0.34247,                0.19589,                0.01376,                 1.2462,                 1.2801,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01424,                 1.3025,                 1.2861,                 0.4546,                0.36535,                0.37141,                  0.213,                 0.0134,                 1.1818,                 1.2536,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01409,                 1.2825,                 1.2832,                 0.4417,                0.37058,                0.36351,                0.20626,                0.01349,                 1.1768,                 1.2596,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01394,                 1.2584,                 1.2729,                0.44997,                0.36594,                0.36481,                0.21186,                0.01324,                 1.1679,                 1.2461,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01389,                 1.2401,                 1.2685,                0.45958,                 0.3692,                0.37196,                0.21409,                0.01333,                 1.1699,                 1.2488,              0.0030874,              0.0030874,              0.0030874
                     11,                 0.0138,                 1.2328,                 1.2602,                 0.4705,                0.39109,                0.39164,                0.23138,                0.01301,                 1.1415,                 1.2335,              0.0030733,              0.0030733,              0.0030733
                     12,                 0.0137,                 1.2139,                 1.2573,                0.49007,                 0.4005,                0.40744,                 0.2358,                  0.013,                 1.1122,                 1.2308,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01373,                 1.2152,                 1.2579,                0.50725,                0.39487,                0.40985,                0.24113,                0.01281,                 1.1019,                 1.2212,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01349,                 1.1915,                 1.2484,                0.48144,                0.41449,                0.41102,                0.23971,                0.01286,                 1.1138,                 1.2218,               0.003031,               0.003031,               0.003031
                     15,                0.01349,                 1.1828,                 1.2472,                0.50247,                0.40983,                0.42369,                0.24863,                0.01291,                 1.0886,                 1.2248,               0.003017,               0.003017,               0.003017
                     16,                0.01353,                  1.182,                 1.2434,                0.51202,                0.41323,                0.42197,                0.24686,                0.01281,                  1.091,                 1.2198,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01355,                 1.1766,                 1.2428,                 0.5114,                0.40984,                0.42416,                0.25029,                0.01269,                 1.0976,                 1.2078,              0.0029888,              0.0029888,              0.0029888
                     18,                 0.0134,                 1.1653,                 1.2326,                 0.4907,                0.41131,                 0.4201,                0.24925,                0.01272,                 1.0888,                 1.2084,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01344,                 1.1654,                 1.2395,                0.52519,                0.41229,                0.43199,                0.25408,                 0.0128,                 1.0747,                 1.2174,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01336,                 1.1547,                  1.229,                0.50403,                0.41609,                0.42724,                0.25317,                0.01271,                 1.0866,                 1.2058,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01336,                 1.1545,                 1.2331,                0.51458,                0.41773,                0.43187,                0.25237,                0.01282,                 1.0817,                 1.2095,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01332,                 1.1501,                 1.2271,                0.52893,                0.42245,                 0.4403,                0.26035,                0.01265,                 1.0632,                 1.2044,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01326,                 1.1439,                  1.224,                0.52682,                0.43271,                0.44259,                0.26305,                0.01254,                 1.0635,                  1.199,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01327,                 1.1396,                 1.2204,                0.53189,                 0.4224,                0.44252,                0.26298,                0.01256,                  1.062,                 1.1964,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01331,                 1.1422,                 1.2209,                0.51508,                0.44152,                0.44815,                0.26421,                0.01257,                 1.0588,                 1.1966,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01332,                 1.1332,                 1.2204,                0.53575,                0.43273,                0.44787,                0.26878,                0.01251,                 1.0458,                 1.1941,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01318,                 1.1269,                 1.2199,                0.54503,                0.42995,                0.45301,                0.26892,                0.01249,                 1.0539,                 1.1926,               0.002848,               0.002848,               0.002848
