                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01418,                 2.0578,                 1.7323,                0.31468,                 0.2453,                 0.2159,                0.11224,                0.00643,                  1.571,                 1.4167,                0.03441,               0.001066,               0.001066
                      2,                0.01067,                 1.5869,                 1.3906,                0.35062,                 0.3127,                0.27647,                0.14643,                 0.0072,                  1.421,                  1.375,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01013,                  1.505,                 1.3561,                0.36357,                0.32018,                0.28929,                0.15671,                0.00803,                 1.3506,                 1.3143,              0.0031815,              0.0031712,              0.0031712
                      4,                0.00985,                 1.4406,                 1.3384,                0.39221,                0.33153,                0.30857,                0.17446,                0.00824,                 1.3151,                 1.2865,              0.0031578,              0.0031578,              0.0031578
                      5,                0.00959,                 1.3893,                 1.3112,                0.39927,                0.32777,                0.31205,                0.17769,                 0.0087,                 1.3149,                 1.2902,              0.0031578,              0.0031578,              0.0031578
                      6,                0.00936,                 1.3391,                  1.297,                0.44421,                0.34378,                0.35111,                0.20165,                0.00844,                 1.2171,                 1.2651,              0.0031437,              0.0031437,              0.0031437
                      7,                0.00918,                 1.3061,                  1.284,                0.45695,                0.35182,                0.35561,                0.20656,                 0.0085,                 1.2059,                 1.2527,              0.0031296,              0.0031296,              0.0031296
                      8,                0.00905,                 1.2855,                 1.2813,                0.48075,                0.36979,                0.37855,                0.21284,                0.00864,                 1.1784,                 1.2597,              0.0031155,              0.0031155,              0.0031155
                      9,                  0.009,                  1.258,                 1.2747,                0.44012,                0.36875,                0.35281,                0.20323,                0.00866,                 1.2037,                 1.2543,              0.0031014,              0.0031014,              0.0031014
                     10,                0.00913,                 1.2517,                 1.2666,                0.46004,                0.37578,                0.37863,                0.21833,                0.00861,                 1.1619,                 1.2406,              0.0030874,              0.0030874,              0.0030874
                     11,                0.00917,                 1.2456,                 1.2581,                 0.4673,                 0.3897,                0.38999,                0.22851,                0.00857,                 1.1595,                 1.2315,              0.0030733,              0.0030733,              0.0030733
                     12,                0.00913,                  1.231,                  1.254,                 0.4763,                0.38653,                0.39402,                 0.2294,                 0.0086,                 1.1347,                  1.232,              0.0030592,              0.0030592,              0.0030592
                     13,                0.00918,                 1.2337,                 1.2534,                0.48116,                0.39277,                 0.4008,                0.23684,                0.00851,                 1.1311,                 1.2225,              0.0030451,              0.0030451,              0.0030451
                     14,                0.00905,                 1.2182,                 1.2446,                 0.4847,                0.40586,                 0.4065,                0.23665,                0.00861,                 1.1455,                 1.2197,               0.003031,               0.003031,               0.003031
                     15,                0.00911,                 1.2069,                 1.2459,                0.50786,                0.41896,                0.42341,                0.24693,                 0.0085,                 1.1005,                 1.2145,               0.003017,               0.003017,               0.003017
                     16,                0.00907,                 1.1942,                 1.2384,                  0.515,                0.40026,                0.41942,                 0.2468,                0.00854,                 1.1086,                 1.2155,              0.0030029,              0.0030029,              0.0030029
                     17,                0.00908,                 1.1888,                 1.2369,                 0.5091,                0.41042,                0.42462,                0.24944,                0.00848,                 1.1076,                 1.2033,              0.0029888,              0.0029888,              0.0029888
                     18,                0.00897,                 1.1739,                 1.2277,                0.49414,                0.41474,                0.42199,                0.25002,                0.00842,                 1.0912,                 1.1977,              0.0029747,              0.0029747,              0.0029747
