                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02147,                 2.0536,                 1.7457,                0.36465,                0.25352,                 0.2019,                0.10502,                0.01687,                 1.6147,                 1.4458,                0.03441,               0.001066,               0.001066
                      2,                0.01669,                 1.5833,                 1.4102,                0.34707,                0.30479,                0.27317,                 0.1467,                 0.0158,                 1.4291,                 1.3877,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01601,                 1.4993,                 1.3719,                0.39845,                0.30814,                0.29797,                0.16563,                 0.0148,                 1.3535,                   1.32,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01556,                 1.4236,                 1.3456,                 0.3945,                0.34263,                0.31356,                0.18031,                0.01452,                 1.3105,                 1.3016,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01537,                 1.3825,                  1.325,                 0.3698,                0.34037,                  0.314,                0.18322,                0.01449,                 1.3018,                 1.2951,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01501,                 1.3319,                 1.3085,                 0.4285,                0.36058,                0.35342,                0.20251,                0.01401,                 1.2055,                 1.2705,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01477,                 1.2961,                 1.2941,                0.44806,                0.36571,                0.36828,                0.21416,                0.01382,                  1.183,                 1.2617,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01459,                 1.2766,                  1.289,                0.45808,                0.38027,                0.37607,                0.21522,                 0.0138,                 1.1547,                  1.258,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01443,                 1.2477,                 1.2786,                0.46374,                0.37035,                0.37171,                0.21504,                0.01378,                 1.1575,                 1.2575,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01444,                 1.2367,                 1.2743,                 0.4561,                0.38587,                0.37725,                0.21627,                0.01391,                 1.1539,                  1.255,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01441,                 1.2337,                  1.264,                0.46886,                0.39032,                0.38657,                0.22818,                0.01361,                 1.1617,                 1.2379,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01435,                 1.2258,                 1.2622,                0.48573,                0.39984,                0.40366,                0.23279,                0.01358,                 1.1272,                 1.2338,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01433,                   1.22,                 1.2595,                 0.5031,                0.39216,                0.40362,                0.23919,                0.01337,                 1.1183,                 1.2266,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01415,                 1.2009,                 1.2514,                0.47948,                0.41256,                 0.4114,                0.24165,                0.01345,                 1.1172,                 1.2268,               0.003031,               0.003031,               0.003031
                     15,                0.01411,                 1.1915,                  1.251,                0.49441,                0.41496,                0.42181,                0.25013,                0.01323,                 1.0936,                 1.2154,               0.003017,               0.003017,               0.003017
                     16,                0.01407,                 1.1806,                 1.2433,                0.51058,                0.40872,                0.41666,                0.24334,                0.01339,                 1.1014,                 1.2266,              0.0030029,              0.0030029,              0.0030029
                     17,                 0.0141,                 1.1779,                 1.2436,                0.51159,                 0.4109,                0.42387,                0.24952,                0.01324,                 1.0957,                 1.2115,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01395,                 1.1645,                 1.2326,                0.48286,                0.41106,                0.41388,                0.24505,                0.01321,                 1.0901,                 1.2092,              0.0029747,              0.0029747,              0.0029747
                     19,                  0.014,                 1.1641,                  1.241,                0.51373,                0.42073,                0.43033,                0.25315,                0.01326,                 1.0748,                 1.2129,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01391,                 1.1523,                 1.2298,                 0.5052,                0.41927,                0.42878,                0.25449,                0.01306,                 1.0749,                 1.2031,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01389,                 1.1512,                  1.234,                0.52881,                  0.414,                0.43083,                0.25414,                0.01318,                 1.0783,                 1.2077,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01387,                  1.144,                 1.2296,                 0.5232,                0.42212,                0.43735,                 0.2583,                0.01312,                 1.0627,                  1.205,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01383,                 1.1447,                 1.2277,                0.52804,                0.42462,                0.43766,                0.25844,                0.01309,                 1.0567,                 1.2031,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01379,                 1.1329,                 1.2223,                0.53434,                 0.4217,                0.44076,                0.26121,                0.01304,                 1.0535,                 1.1965,              0.0028902,              0.0028902,              0.0028902
                     25,                 0.0138,                 1.1346,                  1.222,                0.53019,                0.43293,                0.44742,                0.26407,                0.01305,                 1.0517,                 1.1958,              0.0028762,              0.0028762,              0.0028762
