                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01381,                 2.0506,                 1.7224,                0.34369,                0.24518,                0.19533,                0.10187,                0.00658,                 1.6098,                 1.4278,                0.03441,               0.001066,               0.001066
                      2,                0.01058,                 1.5851,                 1.3925,                0.36429,                0.29324,                0.26585,                0.13892,                0.00758,                 1.4529,                 1.4098,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01004,                 1.4987,                 1.3563,                0.34714,                0.29947,                0.26836,                0.14761,                0.00789,                  1.384,                 1.3257,              0.0031815,              0.0031712,              0.0031712
                      4,                0.00977,                 1.4348,                 1.3391,                0.39994,                0.33893,                0.31617,                0.17686,                0.00822,                 1.3056,                 1.2986,              0.0031578,              0.0031578,              0.0031578
                      5,                0.00954,                 1.3863,                 1.3108,                0.38932,                0.33846,                0.31741,                 0.1811,                0.00842,                 1.2628,                 1.2781,              0.0031578,              0.0031578,              0.0031578
                      6,                0.00932,                 1.3421,                 1.3009,                0.44268,                0.36337,                0.35715,                 0.2047,                0.00839,                 1.2111,                 1.2668,              0.0031437,              0.0031437,              0.0031437
                      7,                0.00912,                 1.3072,                 1.2849,                0.45722,                0.37034,                0.37603,                0.21663,                0.00838,                 1.1924,                 1.2558,              0.0031296,              0.0031296,              0.0031296
                      8,                0.00901,                 1.2848,                 1.2833,                0.46302,                  0.374,                 0.3705,                0.21137,                0.00849,                 1.1743,                 1.2509,              0.0031155,              0.0031155,              0.0031155
                      9,                0.00899,                 1.2628,                 1.2726,                0.45245,                0.37647,                0.37372,                0.21744,                0.00862,                 1.1722,                  1.245,              0.0031014,              0.0031014,              0.0031014
                     10,                0.00911,                 1.2508,                  1.266,                0.44437,                0.37845,                0.37155,                0.21304,                0.00858,                 1.1776,                 1.2431,              0.0030874,              0.0030874,              0.0030874
                     11,                0.00914,                 1.2459,                 1.2582,                0.48424,                0.39143,                 0.3977,                  0.234,                0.00849,                 1.1439,                 1.2265,              0.0030733,              0.0030733,              0.0030733
                     12,                0.00906,                 1.2312,                 1.2517,                0.48931,                0.39654,                0.40659,                0.23985,                0.00845,                 1.1232,                 1.2196,              0.0030592,              0.0030592,              0.0030592
                     13,                0.00907,                 1.2274,                 1.2509,                0.47204,                0.38924,                0.39498,                 0.2355,                0.00851,                 1.1372,                 1.2193,              0.0030451,              0.0030451,              0.0030451
                     14,                0.00897,                 1.2113,                 1.2441,                0.47923,                0.40851,                0.41239,                 0.2419,                0.00854,                 1.1347,                 1.2186,               0.003031,               0.003031,               0.003031
                     15,                0.00902,                 1.2017,                  1.245,                0.49758,                0.41077,                0.41696,                0.24602,                 0.0085,                 1.1058,                 1.2178,               0.003017,               0.003017,               0.003017
