                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02157,                 2.0572,                  1.718,                0.35614,                0.25362,                0.20991,                 0.1101,                0.01698,                  1.556,                 1.4251,                0.03441,               0.001066,               0.001066
                      2,                0.01671,                 1.5848,                 1.3873,                0.35023,                0.29194,                0.26469,                0.14303,                0.01589,                 1.4484,                 1.3827,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01601,                 1.5016,                 1.3514,                0.37038,                0.32455,                0.29652,                0.16625,                0.01482,                  1.341,                 1.3006,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01561,                 1.4315,                 1.3302,                0.39715,                0.32939,                0.31816,                 0.1794,                0.01449,                 1.3155,                 1.2792,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01531,                 1.3863,                 1.3074,                0.40177,                0.33194,                0.31264,                0.17858,                0.01439,                 1.2912,                 1.2777,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01501,                 1.3402,                 1.2954,                0.43117,                0.34767,                0.34447,                 0.1956,                0.01421,                 1.2246,                 1.2763,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01479,                 1.3022,                  1.282,                0.44509,                0.37223,                0.36946,                0.21249,                0.01394,                  1.193,                 1.2514,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01458,                 1.2783,                 1.2752,                0.47205,                0.37314,                0.38089,                0.21802,                0.01379,                 1.1607,                 1.2441,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01446,                  1.253,                 1.2645,                0.45891,                0.37189,                 0.3688,                0.21221,                0.01395,                 1.1704,                 1.2488,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01456,                 1.2507,                 1.2642,                0.47396,                0.37888,                 0.3852,                0.22174,                0.01383,                 1.1553,                 1.2401,              0.0030874,              0.0030874,              0.0030874
                     11,                 0.0144,                 1.2372,                 1.2499,                0.47323,                  0.386,                0.38841,                0.23006,                0.01359,                 1.1649,                 1.2229,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01437,                 1.2328,                 1.2507,                0.49208,                0.39584,                0.40869,                0.24012,                 0.0135,                 1.1292,                 1.2199,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01434,                 1.2296,                 1.2466,                0.49142,                0.38182,                0.39493,                0.23514,                0.01358,                 1.1404,                 1.2186,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01418,                 1.2128,                 1.2398,                0.47439,                0.40572,                0.40756,                0.23742,                0.01357,                   1.14,                 1.2202,               0.003031,               0.003031,               0.003031
                     15,                0.01414,                 1.1978,                 1.2386,                0.49304,                0.41621,                0.42251,                  0.247,                 0.0135,                 1.1008,                 1.2181,               0.003017,               0.003017,               0.003017
                     16,                0.01416,                 1.1928,                 1.2357,                0.51018,                0.40315,                0.41707,                 0.2468,                0.01338,                 1.1132,                 1.2112,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01412,                 1.1838,                 1.2339,                0.51322,                0.41585,                0.43078,                0.25532,                0.01325,                 1.0954,                 1.2025,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01402,                 1.1765,                 1.2256,                0.51067,                0.40847,                0.42138,                0.25012,                0.01321,                 1.0905,                 1.1973,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01397,                 1.1715,                 1.2289,                0.51051,                0.41582,                0.42778,                0.25318,                0.01338,                 1.0854,                 1.2104,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01397,                  1.165,                  1.222,                0.51492,                0.41602,                 0.4285,                0.25482,                0.01322,                 1.0888,                 1.1928,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01389,                 1.1563,                  1.224,                0.51235,                0.42305,                0.43393,                0.25736,                0.01319,                 1.0747,                 1.1939,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01389,                 1.1484,                 1.2199,                0.52494,                0.42078,                0.43779,                0.25994,                0.01318,                 1.0653,                 1.1947,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01382,                 1.1503,                 1.2172,                0.53032,                0.42622,                0.44508,                0.26453,                0.01309,                 1.0607,                 1.1912,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01378,                   1.14,                 1.2111,                0.50593,                 0.4262,                0.43421,                 0.2592,                 0.0131,                 1.0645,                 1.1921,              0.0028902,              0.0028902,              0.0028902
