                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02112,                  1.948,                 1.7698,                0.36143,                 0.2634,                0.20208,                0.10596,                0.01712,                 1.6134,                 1.4894,                0.03441,               0.001066,               0.001066
                      2,                0.01655,                 1.5369,                 1.4258,                0.38524,                0.30843,                 0.2799,                0.15157,                0.01561,                 1.3803,                 1.3953,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01584,                 1.4617,                 1.3816,                0.43497,                0.29581,                0.29422,                0.16476,                0.01476,                 1.3179,                 1.3375,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01544,                 1.3957,                 1.3587,                0.41978,                0.33239,                0.31809,                0.17932,                 0.0146,                 1.3209,                 1.3191,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01518,                 1.3591,                 1.3333,                0.38538,                0.33444,                0.31639,                0.18252,                0.01448,                  1.271,                 1.3111,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01487,                 1.3063,                 1.3172,                0.43664,                0.36087,                0.35475,                 0.2044,                0.01404,                 1.1954,                 1.2885,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01464,                  1.277,                 1.3019,                0.47493,                0.37545,                0.38077,                0.22056,                0.01371,                 1.1491,                 1.2683,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01444,                 1.2506,                 1.2954,                 0.4716,                0.37446,                0.37294,                0.21101,                0.01393,                 1.1508,                 1.2769,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01433,                 1.2285,                  1.286,                0.44972,                0.36852,                0.36478,                0.20968,                0.01387,                 1.1604,                 1.2729,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01434,                 1.2189,                 1.2833,                0.49253,                0.38629,                0.39822,                0.22877,                0.01357,                 1.1213,                 1.2564,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01419,                  1.202,                 1.2701,                0.47093,                 0.3863,                0.38863,                0.23012,                0.01356,                 1.1535,                 1.2498,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01412,                 1.1952,                 1.2698,                0.49765,                 0.3946,                0.40877,                0.23967,                0.01333,                 1.0944,                  1.239,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01411,                 1.1872,                 1.2677,                0.50481,                0.39387,                0.41099,                0.24245,                0.01323,                 1.0865,                 1.2334,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01392,                 1.1682,                 1.2581,                0.49874,                0.41712,                0.41989,                0.24421,                0.01326,                 1.0927,                 1.2346,               0.003031,               0.003031,               0.003031
                     15,                 0.0139,                 1.1591,                   1.26,                0.50242,                  0.412,                0.42309,                0.24785,                0.01318,                 1.0691,                 1.2357,               0.003017,               0.003017,               0.003017
                     16,                0.01387,                 1.1481,                 1.2541,                0.50901,                0.41325,                0.42455,                 0.2502,                0.01317,                 1.0705,                 1.2326,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01387,                  1.145,                 1.2547,                0.53397,                0.41286,                0.43385,                0.25717,                0.01296,                 1.0511,                  1.219,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01372,                 1.1281,                 1.2447,                0.51047,                0.41029,                0.42554,                0.25071,                0.01298,                 1.0514,                 1.2201,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01371,                 1.1264,                   1.25,                0.52784,                0.41705,                0.43689,                0.25753,                0.01307,                 1.0416,                 1.2247,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01368,                 1.1193,                 1.2419,                0.51996,                 0.4172,                0.43225,                0.25566,                0.01299,                 1.0563,                  1.219,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01366,                 1.1162,                 1.2475,                0.52245,                 0.4249,                0.43993,                0.25959,                0.01297,                 1.0386,                 1.2198,              0.0029325,              0.0029325,              0.0029325
                     22,                 0.0136,                 1.1083,                 1.2407,                0.53159,                0.42233,                0.44049,                0.26046,                0.01296,                 1.0406,                 1.2201,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01354,                 1.1063,                 1.2381,                0.53496,                0.42103,                0.44518,                0.26316,                0.01291,                 1.0288,                 1.2133,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01355,                 1.1017,                 1.2347,                0.53152,                0.43164,                0.44728,                 0.2643,                0.01289,                 1.0291,                 1.2133,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01353,                 1.0942,                 1.2326,                0.54145,                0.43019,                0.45096,                0.26594,                0.01285,                 1.0236,                 1.2104,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01356,                 1.0853,                 1.2337,                0.53259,                0.42977,                0.45144,                0.26892,                0.01277,                  1.014,                 1.2082,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01345,                  1.083,                  1.235,                0.55451,                0.42632,                0.45749,                0.27215,                0.01273,                 1.0029,                 1.2063,               0.002848,               0.002848,               0.002848
                     28,                0.01348,                 1.0834,                 1.2296,                 0.5256,                0.44712,                0.45729,                0.27244,                0.01269,                0.99835,                    1.2,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01348,                 1.0802,                 1.2305,                0.55291,                0.43582,                0.46063,                0.27403,                0.01268,                0.99582,                 1.2006,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01338,                 1.0727,                  1.223,                0.54321,                0.44185,                0.46216,                0.27289,                 0.0128,                 1.0028,                 1.2048,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01339,                 1.0753,                 1.2332,                0.55603,                0.44214,                 0.4647,                0.27458,                0.01273,                0.99521,                 1.2017,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01336,                 1.0672,                 1.2234,                0.54424,                0.45186,                 0.4687,                0.27867,                0.01269,                0.99273,                 1.2009,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01342,                 1.0747,                 1.2291,                0.53877,                0.45306,                0.46958,                0.27933,                0.01266,                0.98823,                 1.1984,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01335,                 1.0651,                 1.2247,                0.56251,                0.44315,                0.47015,                 0.2806,                0.01257,                 0.9834,                  1.195,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01338,                 1.0637,                  1.229,                0.54922,                0.44545,                0.46855,                0.27949,                0.01259,                0.99116,                 1.1949,              0.0027354,              0.0027354,              0.0027354
                     36,                 0.0133,                 1.0586,                 1.2251,                0.55959,                0.45184,                0.47148,                0.28022,                0.01265,                0.98086,                 1.1986,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01335,                  1.055,                 1.2237,                0.55811,                0.44993,                0.47368,                0.28275,                0.01262,                0.98335,                  1.197,              0.0027072,              0.0027072,              0.0027072
                     38,                0.01328,                   1.05,                  1.222,                0.55015,                0.45611,                 0.4772,                0.28557,                 0.0126,                0.96945,                 1.1958,              0.0026931,              0.0026931,              0.0026931
                     39,                0.01326,                 1.0451,                 1.2169,                 0.5548,                0.45553,                0.47707,                0.28529,                0.01256,                0.97274,                 1.1918,               0.002679,               0.002679,               0.002679
                     40,                0.01321,                 1.0396,                 1.2143,                0.55177,                 0.4503,                0.47453,                0.28465,                0.01254,                0.97442,                  1.192,               0.002665,               0.002665,               0.002665
                     41,                0.01319,                 1.0441,                 1.2161,                0.55953,                0.45577,                0.47991,                0.28793,                0.01258,                0.96735,                 1.1937,              0.0026509,              0.0026509,              0.0026509
                     42,                0.01324,                 1.0385,                 1.2129,                0.56276,                0.46276,                  0.484,                0.28959,                0.01251,                0.96272,                 1.1894,              0.0026368,              0.0026368,              0.0026368
                     43,                0.01317,                 1.0337,                 1.2163,                0.57269,                0.46192,                0.48631,                0.29167,                0.01247,                0.95971,                 1.1881,              0.0026227,              0.0026227,              0.0026227
                     44,                0.01312,                 1.0264,                 1.2124,                 0.5634,                0.46295,                 0.4856,                0.29046,                0.01252,                0.96043,                 1.1888,              0.0026086,              0.0026086,              0.0026086
                     45,                0.01319,                   1.03,                 1.2152,                0.56577,                0.46528,                0.48744,                0.29174,                0.01252,                0.95979,                 1.1882,              0.0025946,              0.0025946,              0.0025946
                     46,                0.01318,                 1.0316,                 1.2136,                0.57035,                0.47062,                0.49172,                0.29461,                0.01247,                0.95439,                 1.1886,              0.0025805,              0.0025805,              0.0025805
                     47,                0.01318,                  1.029,                 1.2137,                0.57266,                 0.4593,                0.48947,                0.29375,                0.01251,                0.95306,                 1.1909,              0.0025664,              0.0025664,              0.0025664
                     48,                0.01312,                 1.0204,                 1.2108,                0.56611,                0.46321,                0.48908,                0.29269,                0.01244,                0.95386,                 1.1849,              0.0025523,              0.0025523,              0.0025523
                     49,                0.01308,                 1.0226,                 1.2112,                0.56162,                  0.467,                  0.489,                0.29274,                0.01245,                 0.9565,                 1.1853,              0.0025382,              0.0025382,              0.0025382
                     50,                0.01313,                  1.022,                  1.211,                0.56818,                0.46687,                0.49083,                0.29432,                0.01238,                0.94892,                 1.1829,              0.0025242,              0.0025242,              0.0025242
                     51,                0.01321,                 1.0292,                 1.2148,                0.57551,                0.47071,                 0.4943,                0.29734,                0.01242,                0.94451,                 1.1843,              0.0025101,              0.0025101,              0.0025101
                     52,                0.01308,                 1.0138,                 1.2063,                0.57432,                0.46319,                0.49301,                0.29603,                 0.0124,                0.94529,                 1.1831,               0.002496,               0.002496,               0.002496
                     53,                0.01319,                 1.0286,                 1.2126,                0.57908,                0.46107,                0.49082,                0.29536,                0.01241,                0.95035,                 1.1832,              0.0024819,              0.0024819,              0.0024819
                     54,                0.01307,                 1.0215,                 1.2102,                0.56552,                0.47271,                0.49414,                0.29799,                0.01236,                0.94455,                 1.1805,              0.0024678,              0.0024678,              0.0024678
                     55,                0.01309,                 1.0136,                 1.2068,                0.57412,                0.46771,                0.49555,                  0.299,                0.01234,                0.94619,                 1.1792,              0.0024538,              0.0024538,              0.0024538
                     56,                0.01303,                 1.0093,                 1.2065,                0.57826,                0.47109,                0.49686,                 0.3004,                0.01235,                0.94198,                 1.1801,              0.0024397,              0.0024397,              0.0024397
                     57,                0.01303,                 1.0057,                 1.2063,                0.56686,                0.47519,                0.49963,                0.30155,                0.01234,                 0.9388,                 1.1797,              0.0024256,              0.0024256,              0.0024256
                     58,                0.01304,                 1.0051,                 1.2036,                0.58081,                0.46649,                0.49826,                0.29989,                0.01237,                0.94186,                 1.1807,              0.0024115,              0.0024115,              0.0024115
                     59,                0.01299,                      1,                 1.2015,                0.58588,                0.47046,                0.50051,                0.30202,                0.01233,                0.93816,                 1.1794,              0.0023974,              0.0023974,              0.0023974
                     60,                 0.0131,                 1.0066,                 1.2074,                0.59638,                  0.464,                 0.5009,                 0.3031,                0.01231,                0.93772,                 1.1778,              0.0023834,              0.0023834,              0.0023834
                     61,                0.01303,                 1.0012,                 1.2043,                0.59569,                0.46687,                0.50241,                0.30125,                0.01234,                0.93531,                 1.1788,              0.0023693,              0.0023693,              0.0023693
                     62,                  0.013,                0.99382,                 1.2008,                0.58012,                0.47167,                0.49951,                0.30178,                 0.0123,                0.93313,                  1.177,              0.0023552,              0.0023552,              0.0023552
                     63,                0.01302,                0.99611,                 1.2038,                0.58568,                0.47494,                0.50336,                0.30366,                 0.0123,                0.93122,                 1.1763,              0.0023411,              0.0023411,              0.0023411
                     64,                  0.013,                0.99739,                 1.1987,                0.58661,                0.48049,                0.50679,                0.30604,                 0.0123,                0.92868,                 1.1761,               0.002327,               0.002327,               0.002327
                     65,                0.01297,                 0.9926,                 1.2006,                0.58316,                0.48143,                 0.5073,                0.30588,                0.01233,                0.92838,                 1.1769,               0.002313,               0.002313,               0.002313
                     66,                0.01303,                0.99906,                  1.205,                0.58262,                0.48248,                 0.5075,                0.30594,                0.01231,                0.92555,                 1.1768,              0.0022989,              0.0022989,              0.0022989
                     67,                0.01294,                0.99122,                 1.2012,                0.58613,                0.47341,                0.50666,                0.30582,                 0.0123,                0.92716,                  1.176,              0.0022848,              0.0022848,              0.0022848
                     68,                0.01293,                0.99315,                 1.2007,                0.59273,                0.47203,                0.50694,                 0.3059,                0.01229,                 0.9268,                 1.1763,              0.0022707,              0.0022707,              0.0022707
                     69,                0.01297,                0.98892,                 1.1994,                0.58979,                0.48202,                0.50697,                0.30662,                0.01227,                0.92536,                 1.1741,              0.0022566,              0.0022566,              0.0022566
                     70,                0.01295,                0.98915,                 1.2056,                0.57728,                0.48855,                 0.5061,                0.30577,                0.01226,                0.92224,                 1.1746,              0.0022426,              0.0022426,              0.0022426
                     71,                0.01292,                0.98702,                 1.1996,                0.59508,                0.47884,                0.50947,                0.30812,                0.01226,                0.92343,                 1.1748,              0.0022285,              0.0022285,              0.0022285
                     72,                0.01299,                0.98898,                 1.1996,                 0.5878,                0.47739,                0.50818,                0.30763,                0.01226,                0.92381,                 1.1748,              0.0022144,              0.0022144,              0.0022144
                     73,                0.01302,                0.99125,                 1.2022,                0.58609,                0.47995,                0.51004,                0.30816,                0.01225,                0.92445,                 1.1733,              0.0022003,              0.0022003,              0.0022003
