                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02301,                  2.621,                 2.3994,                0.44806,                0.25748,                0.24918,                 0.1344,                0.01726,                 2.0555,                 1.9008,               0.034409,              0.0010661,              0.0010661
                      2,                0.01704,                 1.8601,                 1.8218,                 0.3995,                0.36796,                0.35726,                0.19954,                 0.0157,                 1.6091,                 1.6972,               0.018799,              0.0021233,              0.0021233
                      3,                0.01598,                 1.6572,                 1.6984,                 0.4855,                 0.4054,                0.38238,                0.21249,                0.01538,                 1.4652,                 1.6379,              0.0031807,              0.0031712,              0.0031712
                      4,                0.01528,                 1.5314,                 1.6304,                 0.5226,                0.43919,                0.44023,                0.25948,                0.01404,                  1.286,                 1.5307,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01486,                 1.4427,                 1.5854,                0.58515,                0.49273,                0.50709,                0.29388,                0.01349,                  1.211,                 1.4927,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01435,                  1.358,                 1.5502,                0.58065,                0.51878,                0.52872,                0.31757,                0.01306,                 1.1028,                 1.4529,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01415,                  1.292,                 1.5142,                0.61502,                0.54273,                0.55828,                 0.3312,                0.01285,                 1.0802,                 1.4428,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01398,                 1.2661,                 1.5052,                0.67607,                0.54457,                0.57454,                0.34232,                0.01284,                  1.049,                 1.4239,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01384,                 1.2519,                    1.5,                0.61592,                 0.5553,                0.58751,                0.35633,                0.01271,                  1.031,                 1.4024,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01362,                 1.2078,                 1.4773,                0.66561,                0.58213,                0.61302,                 0.3738,                 0.0126,                0.97753,                 1.3839,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01356,                 1.1864,                 1.4674,                0.69552,                0.55527,                0.60109,                 0.3711,                0.01244,                0.96799,                  1.375,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01337,                 1.1613,                 1.4559,                0.67771,                0.57565,                 0.6201,                0.38189,                 0.0123,                0.95602,                 1.3712,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01335,                 1.1577,                 1.4529,                0.71433,                0.60849,                0.64816,                0.40042,                0.01214,                0.95286,                 1.3567,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01327,                 1.1297,                 1.4368,                0.70263,                0.60968,                0.64834,                0.39916,                0.01215,                0.92784,                  1.353,               0.003031,               0.003031,               0.003031
                     15,                0.01309,                 1.1147,                 1.4353,                0.72923,                 0.6079,                0.65773,                0.41101,                0.01211,                0.89382,                 1.3427,               0.003017,               0.003017,               0.003017
                     16,                0.01313,                 1.1163,                 1.4364,                0.75568,                0.60954,                0.67171,                0.42116,                  0.012,                0.89134,                 1.3357,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01301,                 1.0855,                 1.4168,                0.74401,                0.63442,                0.68001,                0.43019,                0.01194,                0.86309,                 1.3259,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01286,                 1.0692,                 1.4042,                0.75984,                 0.6146,                0.67578,                0.43219,                0.01171,                0.87169,                 1.3199,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01303,                 1.0818,                 1.4172,                0.76961,                0.63806,                0.69304,                0.44413,                0.01166,                0.85262,                 1.3094,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01291,                  1.063,                  1.413,                0.76934,                 0.6476,                0.70546,                0.45236,                0.01176,                0.83053,                 1.3105,              0.0029466,              0.0029466,              0.0029466
                     21,                 0.0127,                 1.0387,                 1.3953,                0.78157,                0.64333,                0.70486,                0.45482,                0.01149,                0.82265,                 1.2984,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01274,                  1.039,                 1.3964,                0.77387,                0.65231,                0.71557,                0.46518,                0.01152,                0.81587,                 1.2949,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01271,                 1.0273,                 1.3922,                 0.7958,                0.64929,                0.71954,                0.46587,                0.01155,                 0.8113,                 1.2968,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01262,                 1.0126,                 1.3817,                0.79583,                0.65627,                0.72484,                 0.4698,                0.01126,                0.79465,                 1.2792,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01262,                 1.0143,                 1.3776,                0.79436,                0.65785,                0.72774,                0.47772,                0.01124,                0.79108,                 1.2743,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01251,                  1.008,                  1.381,                0.79243,                0.66343,                0.73327,                0.48299,                 0.0113,                0.78909,                 1.2752,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01254,                0.99514,                 1.3758,                0.78858,                0.67815,                0.73935,                0.48377,                0.01126,                0.78131,                 1.2709,               0.002848,               0.002848,               0.002848
                     28,                0.01249,                 1.0027,                 1.3809,                0.79365,                0.67439,                0.74022,                0.48953,                0.01122,                0.77898,                 1.2698,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01245,                0.99543,                 1.3705,                0.79961,                 0.6744,                0.74565,                0.49541,                0.01107,                0.77257,                 1.2609,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01233,                0.98459,                 1.3644,                0.81167,                0.68096,                0.75253,                0.49744,                0.01109,                 0.7608,                 1.2591,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01246,                0.98742,                 1.3689,                0.81364,                0.68574,                 0.7541,                0.50429,                0.01098,                0.75491,                 1.2506,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01237,                0.97494,                 1.3594,                0.81047,                0.69179,                0.76016,                0.50711,                0.01099,                0.75267,                 1.2528,              0.0027776,              0.0027776,              0.0027776
                     33,                 0.0123,                0.96828,                  1.355,                0.81747,                0.69172,                0.76385,                0.51056,                0.01097,                0.74697,                 1.2497,              0.0027635,              0.0027635,              0.0027635
                     34,                 0.0123,                0.96203,                  1.354,                0.81203,                0.69591,                0.76871,                 0.5133,                0.01098,                0.74178,                 1.2482,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01227,                  0.955,                 1.3494,                0.82616,                0.68895,                 0.7648,                0.51522,                0.01088,                0.73731,                 1.2416,              0.0027354,              0.0027354,              0.0027354
                     36,                 0.0123,                0.95496,                 1.3496,                0.82904,                0.69358,                0.77093,                 0.5191,                0.01086,                0.73319,                 1.2393,              0.0027213,              0.0027213,              0.0027213
                     37,                 0.0122,                0.95119,                 1.3476,                0.83249,                0.69708,                0.77313,                0.51913,                0.01086,                0.72791,                 1.2376,              0.0027072,              0.0027072,              0.0027072
