                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01587,                 1.8393,                 1.2313,                0.35463,                0.28834,                 0.2629,                0.14702,                0.01446,                 1.4208,                 1.1926,                0.03441,               0.001066,               0.001066
                      2,                0.01499,                 1.4952,                 1.1782,                0.36746,                0.33567,                 0.3026,                0.17207,                0.01421,                 1.3534,                 1.1544,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01479,                 1.4327,                 1.1706,                0.39968,                0.33656,                0.32247,                0.18433,                0.01399,                 1.2823,                 1.1362,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01458,                 1.3789,                 1.1629,                0.40095,                0.34416,                0.33026,                0.19286,                0.01366,                 1.2621,                 1.1436,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01441,                 1.3403,                 1.1492,                0.40914,                0.36351,                0.34172,                0.20359,                0.01364,                 1.2419,                 1.1265,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01423,                  1.292,                 1.1434,                0.45816,                0.37368,                0.37222,                0.22016,                0.01355,                 1.1974,                 1.1276,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01406,                 1.2666,                 1.1355,                0.47216,                0.38693,                0.38916,                 0.2302,                0.01328,                 1.1556,                 1.1189,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01398,                 1.2477,                 1.1366,                0.47174,                0.39576,                0.38919,                0.22861,                0.01339,                 1.1487,                  1.113,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01389,                 1.2246,                 1.1292,                0.47073,                0.38743,                0.38935,                0.22967,                0.01335,                 1.1445,                 1.1116,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01389,                 1.2142,                  1.128,                0.46555,                0.39752,                0.39597,                0.23469,                0.01331,                 1.1345,                 1.1197,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01382,                 1.2056,                 1.1215,                0.47957,                0.41182,                0.40939,                0.24615,                0.01306,                 1.1189,                 1.1018,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01376,                 1.1912,                 1.1198,                0.50846,                0.40771,                0.42418,                0.25486,                0.01315,                 1.0984,                 1.1098,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01369,                 1.1875,                 1.1176,                0.49903,                0.40112,                 0.4091,                 0.2468,                0.01316,                 1.1069,                 1.1083,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01359,                  1.171,                 1.1129,                0.49705,                0.41707,                0.42487,                0.25485,                0.01302,                 1.1063,                 1.0991,               0.003031,               0.003031,               0.003031
                     15,                0.01357,                 1.1601,                 1.1148,                0.52734,                0.43095,                0.44323,                 0.2659,                0.01292,                 1.0657,                 1.0996,               0.003017,               0.003017,               0.003017
                     16,                0.01359,                  1.155,                 1.1142,                0.51939,                0.41629,                0.43328,                0.25946,                0.01287,                 1.0711,                 1.0958,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01359,                  1.148,                 1.1143,                0.51599,                0.43024,                  0.439,                0.26597,                0.01278,                 1.0746,                 1.0955,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01344,                 1.1353,                 1.1065,                 0.5007,                0.42633,                0.43291,                0.26226,                0.01275,                 1.0691,                 1.0871,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01349,                 1.1394,                 1.1119,                0.54223,                0.42288,                0.44511,                0.26891,                0.01279,                 1.0538,                 1.0938,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01344,                 1.1258,                 1.1052,                0.50979,                0.42694,                0.43621,                0.26408,                0.01278,                 1.0659,                 1.0898,              0.0029466,              0.0029466,              0.0029466
                     21,                 0.0134,                 1.1234,                 1.1094,                0.53064,                0.43285,                0.44735,                0.26957,                0.01285,                  1.056,                 1.0946,              0.0029325,              0.0029325,              0.0029325
                     22,                 0.0134,                 1.1219,                 1.1065,                0.52452,                0.43156,                0.44608,                  0.271,                0.01273,                 1.0486,                 1.0894,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01337,                 1.1175,                 1.1062,                0.53721,                0.44299,                0.45639,                0.27605,                0.01271,                 1.0368,                 1.0925,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01333,                 1.1055,                 1.1019,                0.53921,                0.43094,                 0.4493,                0.27178,                0.01272,                 1.0443,                  1.084,              0.0028902,              0.0028902,              0.0028902
                     25,                 0.0134,                  1.111,                 1.1057,                0.53796,                0.43976,                0.46053,                0.27792,                0.01263,                 1.0326,                 1.0876,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01339,                 1.1002,                 1.1041,                0.54578,                0.44141,                0.46151,                0.28199,                0.01258,                 1.0269,                 1.0828,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01327,                 1.0988,                 1.1032,                0.55488,                0.44388,                0.46877,                0.28518,                0.01257,                 1.0193,                 1.0858,               0.002848,               0.002848,               0.002848
                     28,                0.01332,                  1.099,                 1.1014,                0.55137,                0.43377,                0.46091,                0.28076,                0.01263,                  1.022,                 1.0857,              0.0028339,              0.0028339,              0.0028339
                     29,                 0.0133,                 1.0921,                 1.1013,                0.53977,                 0.4444,                0.46291,                0.28165,                0.01256,                 1.0131,                 1.0794,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01325,                 1.0897,                 1.0968,                0.54341,                 0.4483,                0.46649,                0.28311,                 0.0126,                 1.0193,                 1.0838,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01322,                 1.0849,                 1.1023,                0.55259,                0.44003,                0.46685,                0.28058,                0.01259,                 1.0127,                 1.0818,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01324,                 1.0842,                  1.098,                0.56631,                0.44272,                0.46977,                0.28536,                0.01252,                 1.0145,                 1.0827,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01326,                 1.0908,                 1.1004,                0.55909,                 0.4492,                0.47351,                0.28971,                0.01247,                 1.0043,                 1.0783,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01324,                 1.0814,                 1.1001,                0.56317,                 0.4405,                0.47153,                0.28773,                0.01253,                 1.0024,                 1.0818,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01323,                 1.0755,                 1.1017,                0.53797,                0.45339,                0.47315,                0.28805,                0.01249,                 1.0065,                 1.0769,              0.0027354,              0.0027354,              0.0027354
                     36,                0.01314,                 1.0709,                 1.0985,                0.55191,                0.45574,                0.47875,                0.29229,                0.01251,                0.99829,                 1.0801,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01324,                 1.0745,                 1.0995,                0.56464,                0.45253,                0.47871,                0.29295,                0.01248,                0.99712,                 1.0789,              0.0027072,              0.0027072,              0.0027072
