                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01586,                 1.8346,                 1.2296,                0.35355,                0.28917,                0.26597,                0.15245,                0.01447,                 1.4544,                 1.1859,                0.03441,               0.001066,               0.001066
                      2,                  0.015,                  1.497,                 1.1785,                0.38178,                 0.3084,                0.28741,                0.16047,                0.01456,                 1.3994,                 1.1986,               0.018797,              0.0021202,              0.0021202
                      3,                 0.0148,                 1.4413,                 1.1715,                0.40372,                0.34394,                0.32534,                0.18208,                0.01422,                 1.3067,                  1.157,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01456,                 1.3785,                 1.1625,                0.42252,                0.35799,                0.34819,                0.20339,                0.01367,                 1.2415,                 1.1426,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01446,                 1.3401,                 1.1524,                0.44468,                0.35388,                0.35803,                0.21272,                0.01353,                 1.2134,                  1.128,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01418,                 1.2903,                 1.1406,                0.45666,                0.37627,                0.37797,                0.22542,                 0.0135,                 1.1844,                 1.1208,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01405,                 1.2637,                 1.1343,                0.46824,                0.38688,                0.38992,                0.23067,                0.01332,                 1.1678,                 1.1227,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01398,                 1.2474,                 1.1349,                 0.4739,                0.39155,                0.38896,                0.22628,                 0.0135,                 1.1521,                 1.1225,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01389,                 1.2249,                 1.1286,                0.46372,                0.37884,                0.38187,                0.22576,                0.01339,                 1.1563,                 1.1136,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01392,                  1.217,                 1.1278,                0.48474,                0.39418,                0.39838,                0.23672,                0.01334,                 1.1367,                 1.1205,              0.0030498,              0.0030498,              0.0030498
                     11,                 0.0138,                 1.2016,                 1.1193,                0.48216,                0.41462,                0.41091,                0.24615,                0.01309,                 1.1258,                 1.1048,               0.003031,               0.003031,               0.003031
                     12,                0.01377,                 1.1965,                 1.1206,                0.49758,                0.41563,                0.42245,                0.25421,                0.01298,                  1.096,                 1.0981,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01367,                 1.1825,                 1.1155,                0.48134,                0.41447,                0.41233,                0.24868,                0.01305,                 1.1049,                 1.1031,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01359,                 1.1727,                 1.1115,                0.49351,                0.41511,                0.42659,                0.25521,                  0.013,                  1.109,                 1.0988,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01358,                 1.1626,                 1.1143,                0.52366,                0.42611,                0.44011,                0.26499,                0.01282,                 1.0718,                 1.0953,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01357,                 1.1545,                 1.1116,                0.53463,                0.41838,                0.43553,                0.26037,                0.01284,                 1.0731,                 1.0976,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01359,                 1.1465,                 1.1131,                0.52093,                0.42989,                0.44171,                0.26827,                0.01273,                 1.0692,                 1.0919,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01348,                 1.1398,                 1.1074,                0.48747,                0.42234,                0.42838,                0.25996,                0.01283,                 1.0755,                 1.0882,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01347,                 1.1366,                 1.1097,                0.52021,                 0.4323,                 0.4452,                0.26862,                0.01279,                 1.0597,                 1.0937,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01345,                 1.1276,                 1.1073,                0.52126,                0.42509,                0.44338,                0.26963,                0.01274,                 1.0521,                 1.0911,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01343,                 1.1254,                 1.1097,                 0.5323,                0.43859,                0.44791,                0.27112,                0.01278,                 1.0512,                 1.0919,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01342,                 1.1204,                 1.1071,                0.53041,                0.43656,                0.44908,                0.27171,                0.01273,                  1.053,                   1.09,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01331,                 1.1098,                 1.1041,                0.52997,                0.43978,                0.45886,                0.27822,                0.01265,                 1.0424,                 1.0894,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01333,                 1.1071,                 1.1018,                0.53274,                0.43608,                0.45302,                0.27508,                0.01269,                 1.0442,                 1.0848,               0.002787,               0.002787,               0.002787
                     25,                 0.0134,                 1.1102,                 1.1051,                0.53761,                0.44163,                0.46124,                0.27848,                 0.0127,                 1.0382,                 1.0884,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01339,                 1.0991,                 1.1039,                0.53521,                0.44493,                0.46123,                0.28016,                0.01259,                 1.0236,                 1.0832,              0.0027494,              0.0027494,              0.0027494
                     27,                0.01325,                 1.0939,                 1.1018,                0.54165,                0.45048,                0.46553,                0.28355,                0.01249,                 1.0259,                 1.0834,              0.0027307,              0.0027307,              0.0027307
                     28,                0.01333,                 1.1001,                 1.1012,                0.55545,                0.43948,                0.46595,                0.28345,                0.01254,                 1.0209,                 1.0837,              0.0027119,              0.0027119,              0.0027119
                     29,                0.01329,                 1.0882,                 1.1009,                0.54882,                0.45236,                0.47101,                0.28584,                0.01252,                 1.0106,                 1.0802,              0.0026931,              0.0026931,              0.0026931
                     30,                0.01324,                 1.0874,                 1.0977,                0.55119,                0.44187,                0.46742,                0.28156,                0.01263,                 1.0187,                  1.085,              0.0026743,              0.0026743,              0.0026743
                     31,                0.01321,                 1.0811,                 1.1023,                 0.5694,                0.44863,                 0.4726,                0.28596,                0.01258,                 1.0156,                 1.0842,              0.0026556,              0.0026556,              0.0026556
                     32,                0.01321,                 1.0798,                 1.0981,                0.55957,                0.45302,                0.47621,                0.29014,                0.01251,                 1.0177,                 1.0798,              0.0026368,              0.0026368,              0.0026368
                     33,                0.01324,                 1.0842,                 1.0985,                0.56233,                0.45189,                0.47724,                0.29072,                0.01245,                 1.0028,                 1.0767,               0.002618,               0.002618,               0.002618
                     34,                0.01323,                 1.0789,                    1.1,                0.56861,                 0.4492,                0.47741,                0.29143,                0.01248,                 1.0067,                 1.0797,              0.0025993,              0.0025993,              0.0025993
                     35,                0.01323,                 1.0739,                 1.1009,                0.55145,                0.45171,                0.47686,                0.28942,                0.01248,                 1.0068,                 1.0761,              0.0025805,              0.0025805,              0.0025805
                     36,                0.01314,                 1.0665,                  1.097,                 0.5648,                0.45736,                0.48083,                0.29239,                0.01251,                0.99521,                 1.0793,              0.0025617,              0.0025617,              0.0025617
                     37,                0.01322,                 1.0683,                 1.0978,                0.56492,                0.45305,                0.47963,                0.29217,                0.01246,                 0.9983,                 1.0761,              0.0025429,              0.0025429,              0.0025429
                     38,                0.01311,                 1.0587,                 1.0953,                0.56745,                0.46066,                0.48514,                0.29481,                0.01246,                0.99221,                 1.0796,              0.0025242,              0.0025242,              0.0025242
                     39,                0.01312,                 1.0559,                 1.0921,                0.56836,                0.45075,                0.48231,                0.29418,                0.01246,                0.99346,                 1.0757,              0.0025054,              0.0025054,              0.0025054
                     40,                0.01308,                 1.0506,                 1.0901,                0.55391,                0.45814,                0.47903,                0.29173,                0.01242,                0.99357,                 1.0756,              0.0024866,              0.0024866,              0.0024866
                     41,                0.01305,                 1.0503,                 1.0898,                0.56234,                0.46088,                0.48625,                 0.2967,                0.01244,                0.99084,                  1.079,              0.0024678,              0.0024678,              0.0024678
                     42,                0.01311,                 1.0508,                 1.0904,                0.57035,                0.46688,                0.48892,                0.29855,                0.01241,                0.98586,                 1.0749,              0.0024491,              0.0024491,              0.0024491
                     43,                0.01306,                 1.0468,                 1.0904,                0.57042,                0.46642,                0.48761,                0.29757,                0.01237,                0.98665,                 1.0726,              0.0024303,              0.0024303,              0.0024303
                     44,                0.01305,                 1.0462,                 1.0916,                0.57201,                0.47358,                0.49167,                0.29974,                0.01236,                0.98396,                 1.0731,              0.0024115,              0.0024115,              0.0024115
                     45,                0.01305,                 1.0391,                 1.0914,                0.58673,                0.46452,                0.49469,                0.30269,                0.01238,                0.97945,                 1.0745,              0.0023927,              0.0023927,              0.0023927
                     46,                0.01304,                 1.0425,                  1.089,                0.57329,                0.47128,                0.49366,                 0.3027,                0.01237,                0.98088,                 1.0743,               0.002374,               0.002374,               0.002374
                     47,                0.01308,                 1.0426,                 1.0892,                0.57455,                0.46853,                0.49552,                 0.3033,                0.01236,                0.97603,                 1.0742,              0.0023552,              0.0023552,              0.0023552
                     48,                0.01302,                 1.0349,                 1.0881,                0.57607,                 0.4661,                0.49237,                0.30163,                0.01234,                0.97834,                 1.0728,              0.0023364,              0.0023364,              0.0023364
                     49,                0.01295,                 1.0292,                 1.0861,                0.58009,                0.46343,                0.49176,                0.30236,                0.01235,                0.97708,                 1.0714,              0.0023177,              0.0023177,              0.0023177
                     50,                0.01302,                 1.0336,                 1.0874,                0.58658,                0.46495,                0.49747,                0.30503,                 0.0123,                0.96776,                 1.0706,              0.0022989,              0.0022989,              0.0022989
                     51,                 0.0131,                 1.0386,                 1.0906,                0.59366,                0.46281,                 0.4974,                 0.3058,                 0.0123,                0.96883,                 1.0713,              0.0022801,              0.0022801,              0.0022801
                     52,                0.01298,                 1.0236,                 1.0849,                0.58351,                0.47145,                0.49753,                0.30545,                 0.0123,                0.96765,                 1.0692,              0.0022613,              0.0022613,              0.0022613
                     53,                0.01305,                 1.0366,                 1.0891,                0.58651,                0.46612,                0.49682,                0.30393,                0.01232,                0.97353,                 1.0714,              0.0022426,              0.0022426,              0.0022426
                     54,                0.01298,                 1.0312,                 1.0869,                0.58437,                0.46921,                0.49984,                0.30683,                0.01229,                0.96777,                 1.0686,              0.0022238,              0.0022238,              0.0022238
                     55,                0.01302,                 1.0272,                 1.0861,                0.58663,                   0.47,                0.50064,                0.30784,                0.01228,                0.96538,                 1.0692,               0.002205,               0.002205,               0.002205
                     56,                0.01293,                 1.0202,                 1.0835,                0.58524,                 0.4746,                 0.5009,                 0.3082,                0.01226,                0.96496,                  1.068,              0.0021862,              0.0021862,              0.0021862
                     57,                0.01295,                 1.0188,                 1.0826,                0.58946,                0.47335,                0.50178,                0.30865,                0.01225,                0.96117,                 1.0663,              0.0021675,              0.0021675,              0.0021675
                     58,                0.01294,                 1.0152,                 1.0828,                0.58558,                0.47028,                0.50053,                0.30858,                0.01226,                0.96213,                 1.0667,              0.0021487,              0.0021487,              0.0021487
                     59,                0.01289,                 1.0133,                 1.0803,                 0.5807,                0.47452,                 0.5039,                0.30929,                0.01226,                0.96252,                 1.0668,              0.0021299,              0.0021299,              0.0021299
                     60,                0.01294,                 1.0135,                 1.0824,                0.58972,                0.47472,                0.50575,                0.31246,                0.01219,                0.95693,                 1.0641,              0.0021111,              0.0021111,              0.0021111
                     61,                 0.0129,                 1.0102,                 1.0802,                 0.5877,                0.47394,                0.50453,                 0.3105,                0.01223,                 0.9564,                 1.0656,              0.0020924,              0.0020924,              0.0020924
                     62,                0.01293,                   1.01,                 1.0802,                0.59332,                0.47179,                0.50729,                0.31318,                0.01221,                0.95664,                 1.0644,              0.0020736,              0.0020736,              0.0020736
                     63,                 0.0129,                 1.0045,                 1.0816,                0.59774,                0.47657,                0.50735,                0.31229,                0.01221,                 0.9524,                 1.0655,              0.0020548,              0.0020548,              0.0020548
                     64,                0.01287,                  1.004,                 1.0767,                0.59239,                 0.4834,                0.50765,                0.31285,                0.01219,                0.95335,                 1.0628,              0.0020361,              0.0020361,              0.0020361
                     65,                0.01285,                 1.0016,                 1.0778,                0.58925,                 0.4826,                0.50906,                0.31455,                0.01219,                0.95137,                 1.0628,              0.0020173,              0.0020173,              0.0020173
                     66,                 0.0129,                 1.0078,                 1.0807,                0.59065,                0.47966,                0.50849,                0.31279,                0.01222,                0.95059,                 1.0641,              0.0019985,              0.0019985,              0.0019985
                     67,                0.01284,                0.99818,                 1.0769,                0.59385,                0.48038,                0.51052,                0.31506,                0.01221,                0.94785,                 1.0637,              0.0019797,              0.0019797,              0.0019797
                     68,                0.01281,                 0.9965,                 1.0767,                0.58542,                0.48062,                0.50587,                0.31307,                0.01219,                0.95116,                 1.0637,               0.001961,               0.001961,               0.001961
                     69,                0.01288,                0.99877,                 1.0778,                0.59317,                0.47948,                 0.5085,                0.31442,                0.01218,                0.95159,                 1.0631,              0.0019422,              0.0019422,              0.0019422
                     70,                0.01287,                0.99935,                  1.082,                0.59387,                0.48096,                0.51031,                0.31509,                0.01219,                0.94871,                 1.0637,              0.0019234,              0.0019234,              0.0019234
                     71,                0.01275,                0.98873,                 1.0745,                0.59085,                0.48397,                0.50919,                0.31351,                0.01218,                0.94619,                 1.0627,              0.0019046,              0.0019046,              0.0019046
                     72,                0.01285,                0.99075,                 1.0764,                 0.6039,                0.47835,                0.51054,                0.31421,                0.01218,                0.94447,                 1.0625,              0.0018859,              0.0018859,              0.0018859
                     73,                0.01289,                0.99762,                 1.0786,                0.59216,                0.48622,                0.51035,                0.31468,                0.01216,                0.94404,                 1.0616,              0.0018671,              0.0018671,              0.0018671
                     74,                0.01281,                0.99286,                 1.0752,                0.59834,                0.48016,                0.51122,                0.31634,                0.01213,                0.94309,                 1.0596,              0.0018483,              0.0018483,              0.0018483
                     75,                0.01285,                0.99013,                  1.076,                0.58791,                0.49002,                 0.5126,                0.31632,                0.01214,                0.94423,                   1.06,              0.0018295,              0.0018295,              0.0018295
                     76,                0.01277,                0.98491,                 1.0751,                0.60208,                0.48254,                0.51341,                0.31717,                0.01212,                0.94082,                 1.0601,              0.0018108,              0.0018108,              0.0018108
                     77,                0.01275,                0.98119,                 1.0725,                0.59318,                0.48659,                0.51529,                0.31753,                0.01213,                0.94017,                 1.0599,               0.001792,               0.001792,               0.001792
                     78,                0.01275,                0.98273,                 1.0749,                0.60645,                0.47719,                0.51422,                0.31776,                0.01213,                0.93813,                 1.0597,              0.0017732,              0.0017732,              0.0017732
                     79,                0.01278,                0.98284,                 1.0757,                0.60187,                 0.4787,                0.51514,                0.31887,                0.01214,                0.93865,                 1.0609,              0.0017545,              0.0017545,              0.0017545
                     80,                0.01282,                0.98392,                 1.0749,                0.60604,                0.48137,                 0.5159,                0.31859,                0.01214,                 0.9371,                 1.0601,              0.0017357,              0.0017357,              0.0017357
                     81,                0.01276,                0.97711,                 1.0727,                0.60312,                0.48449,                0.51794,                0.32005,                0.01213,                0.93559,                 1.0587,              0.0017169,              0.0017169,              0.0017169
                     82,                0.01279,                  0.981,                 1.0722,                0.60013,                0.48801,                0.51697,                0.31904,                0.01213,                0.93571,                 1.0584,              0.0016981,              0.0016981,              0.0016981
                     83,                0.01274,                0.97549,                 1.0731,                0.60157,                0.48692,                0.51705,                0.31908,                0.01211,                0.93479,                 1.0577,              0.0016794,              0.0016794,              0.0016794
                     84,                0.01269,                0.96984,                 1.0683,                0.60281,                0.48485,                0.51566,                0.31828,                0.01212,                0.93524,                 1.0581,              0.0016606,              0.0016606,              0.0016606
                     85,                0.01268,                0.96899,                 1.0692,                 0.6014,                0.48545,                0.51585,                0.31846,                0.01213,                0.93648,                 1.0594,              0.0016418,              0.0016418,              0.0016418
                     86,                0.01271,                0.96788,                 1.0687,                0.60504,                0.48712,                0.51897,                0.32143,                0.01212,                0.93329,                 1.0587,               0.001623,               0.001623,               0.001623
                     87,                0.01274,                0.96997,                 1.0716,                0.59303,                0.48969,                0.51878,                0.32149,                0.01211,                0.93311,                 1.0577,              0.0016043,              0.0016043,              0.0016043
                     88,                0.01272,                0.96539,                 1.0683,                0.59433,                 0.4909,                0.51891,                0.32097,                0.01211,                0.93269,                 1.0576,              0.0015855,              0.0015855,              0.0015855
                     89,                0.01268,                0.96397,                 1.0697,                0.59431,                0.48984,                0.51879,                0.32111,                 0.0121,                0.93149,                 1.0567,              0.0015667,              0.0015667,              0.0015667
                     90,                0.01269,                0.97046,                 1.0667,                0.60622,                0.48986,                0.51864,                 0.3212,                 0.0121,                 0.9316,                 1.0566,              0.0015479,              0.0015479,              0.0015479
                     91,                0.01263,                 0.9615,                  1.068,                0.60109,                0.49221,                 0.5191,                0.32084,                 0.0121,                0.93074,                 1.0569,              0.0015292,              0.0015292,              0.0015292
