                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0132,                 1.8352,                 1.2262,                0.42459,                0.27322,                0.25664,                 0.1452,                 0.0122,                 1.4542,                 1.1869,                0.03441,               0.001066,               0.001066
                      2,                0.01248,                  1.499,                 1.1772,                0.38846,                0.33059,                0.30836,                0.17485,                0.01192,                 1.3335,                 1.1658,               0.018797,              0.0021202,              0.0021202
                      3,                0.01227,                  1.437,                 1.1702,                0.39753,                0.33588,                0.31845,                0.18149,                0.01162,                 1.2837,                 1.1458,              0.0031721,              0.0031618,              0.0031618
                      4,                 0.0121,                 1.3745,                 1.1628,                0.43088,                0.35687,                0.34908,                0.20511,                0.01138,                 1.2331,                 1.1384,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01197,                 1.3317,                 1.1499,                0.40484,                0.37204,                0.34878,                0.20924,                0.01126,                 1.2408,                  1.125,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01182,                 1.2944,                 1.1435,                0.43689,                0.37417,                0.36673,                0.21929,                0.01116,                 1.1915,                 1.1184,              0.0031249,              0.0031249,              0.0031249
                      7,                 0.0117,                 1.2666,                 1.1358,                0.47843,                0.39473,                0.39587,                0.23437,                0.01103,                 1.1434,                 1.1199,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01159,                 1.2437,                 1.1345,                0.49222,                0.38724,                0.39213,                0.23039,                0.01117,                 1.1457,                 1.1213,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01153,                  1.226,                 1.1287,                0.48168,                0.39142,                0.39383,                0.23239,                0.01115,                 1.1516,                 1.1136,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01153,                 1.2127,                 1.1262,                0.48548,                0.39091,                0.39864,                0.23595,                0.01111,                 1.1347,                 1.1207,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01146,                 1.2014,                 1.1186,                 0.4602,                0.40099,                0.39888,                0.23824,                  0.011,                  1.134,                 1.1109,               0.003031,               0.003031,               0.003031
                     12,                0.01144,                 1.1936,                 1.1204,                0.49372,                0.41125,                0.41819,                0.25109,                0.01082,                 1.0999,                 1.1013,              0.0030123,              0.0030123,              0.0030123
                     13,                 0.0114,                 1.1908,                 1.1186,                0.49846,                0.40406,                0.41429,                0.25176,                0.01079,                 1.0946,                 1.1032,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01129,                 1.1709,                 1.1118,                0.48264,                0.41715,                0.42211,                0.25582,                0.01082,                 1.1146,                 1.0964,              0.0029747,              0.0029747,              0.0029747
                     15,                 0.0113,                 1.1631,                 1.1161,                0.53111,                 0.4265,                0.43802,                0.26448,                0.01075,                 1.0693,                  1.101,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01129,                 1.1553,                 1.1139,                0.52918,                0.41042,                0.42724,                0.25683,                0.01072,                 1.0795,                 1.1005,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01127,                 1.1446,                  1.113,                0.52412,                0.43418,                0.44778,                0.27285,                 0.0106,                 1.0692,                 1.0933,              0.0029184,              0.0029184,              0.0029184
