                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01191,                 1.8413,                 1.2327,                0.36215,                0.29022,                0.26026,                0.14989,                0.01085,                 1.4653,                 1.1819,                0.03441,               0.001066,               0.001066
                      2,                0.01123,                 1.5007,                 1.1803,                0.37517,                0.32759,                0.30159,                0.17257,                0.01072,                 1.3716,                 1.1692,               0.018797,              0.0021202,              0.0021202
                      3,                0.01106,                 1.4364,                 1.1732,                0.40267,                0.34892,                0.33187,                0.19082,                0.01024,                 1.2602,                 1.1353,              0.0031721,              0.0031618,              0.0031618
                      4,                 0.0109,                 1.3796,                 1.1665,                0.41728,                0.36468,                0.34675,                0.20198,                 0.0103,                 1.2559,                 1.1449,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01076,                 1.3354,                 1.1518,                0.39332,                 0.3718,                0.35007,                0.20682,                0.01024,                  1.226,                 1.1349,              0.0031437,              0.0031437,              0.0031437
                      6,                 0.0106,                 1.2887,                 1.1435,                0.45433,                0.37567,                0.37487,                0.22226,                0.01018,                 1.1978,                 1.1321,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01051,                 1.2683,                 1.1382,                0.48623,                0.38623,                0.39356,                0.23144,                0.00999,                 1.1539,                 1.1266,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01041,                  1.244,                 1.1358,                0.50255,                0.38207,                0.39673,                0.23261,                0.00993,                 1.1361,                 1.1153,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01037,                  1.224,                 1.1316,                 0.4844,                0.37259,                0.38287,                0.22712,                0.01007,                 1.1643,                 1.1191,              0.0030686,              0.0030686,              0.0030686
                     10,                 0.0104,                 1.2203,                 1.1311,                  0.481,                0.38999,                0.39099,                0.23081,                0.01003,                 1.1334,                  1.126,              0.0030498,              0.0030498,              0.0030498
