                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01552,                   2.24,                 1.4397,                0.23005,                0.19924,                0.17525,                0.09664,                0.01335,                 1.7344,                 1.2963,                0.03441,               0.001066,               0.001066
                      2,                0.01337,                 1.6886,                 1.2731,                0.31346,                0.28432,                0.23818,                0.13408,                0.01261,                 1.5214,                 1.2429,               0.018797,              0.0021202,              0.0021202
                      3,                0.01298,                 1.5841,                 1.2471,                0.33683,                0.28443,                0.26416,                0.15015,                0.01242,                 1.4314,                 1.2281,              0.0031721,              0.0031618,              0.0031618
                      4,                 0.0127,                    1.5,                 1.2293,                0.36612,                0.30722,                 0.2917,                 0.1672,                0.01195,                  1.374,                 1.2047,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01253,                  1.452,                 1.2118,                0.39118,                 0.3199,                 0.3002,                 0.1748,                0.01192,                 1.3434,                 1.1883,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01235,                 1.3987,                  1.202,                0.39623,                0.33686,                0.32368,                0.18871,                0.01179,                 1.2703,                 1.1861,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01216,                 1.3651,                 1.1895,                0.43238,                0.34896,                0.34165,                0.19756,                0.01158,                 1.2452,                 1.1617,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01207,                 1.3434,                 1.1893,                 0.4559,                0.36304,                0.35836,                0.20648,                0.01159,                 1.2169,                 1.1682,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01199,                 1.3175,                 1.1802,                0.46194,                0.35389,                0.35804,                0.20714,                0.01155,                 1.2098,                 1.1633,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01202,                 1.3048,                 1.1797,                  0.452,                 0.3655,                 0.3609,                0.20942,                0.01156,                 1.2186,                 1.1663,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01191,                 1.2901,                 1.1698,                0.44816,                0.36655,                0.36421,                0.21337,                0.01134,                 1.1992,                 1.1533,               0.003031,               0.003031,               0.003031
                     12,                0.01182,                  1.272,                 1.1654,                0.45363,                0.37955,                0.37482,                0.21871,                0.01131,                 1.1686,                 1.1484,              0.0030123,              0.0030123,              0.0030123
