                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01563,                0.96743,                 1.2197,                0.35735,                0.30521,                 0.2585,                0.13959,                0.01581,                 1.4553,                 1.1859,               0.034405,              0.0010663,              0.0010663
                      2,                0.01221,                0.67081,                 1.0426,                0.39462,                0.36831,                0.30997,                0.17739,                0.01502,                 1.3895,                 1.1594,               0.018796,              0.0021236,              0.0021236
                      3,                0.01154,                0.60941,                 1.0173,                0.39215,                0.36378,                0.31142,                0.17197,                0.01515,                 1.3862,                 1.1528,               0.003177,              0.0031715,              0.0031715
                      4,                0.01114,                0.57474,                 1.0018,                0.38463,                0.33699,                0.30184,                0.17376,                0.01508,                 1.3843,                 1.1612,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01078,                0.54764,                0.99038,                0.40223,                0.35329,                 0.3101,                0.17478,                0.01511,                 1.3517,                  1.165,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01055,                0.53151,                0.98191,                0.37963,                0.35229,                0.31659,                 0.1805,                0.01479,                 1.3556,                 1.1498,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01039,                0.51904,                0.97555,                 0.3891,                0.37572,                0.33658,                0.19244,                0.01471,                 1.2895,                  1.148,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01017,                0.50577,                0.96706,                0.41147,                0.34988,                0.32627,                0.18982,                0.01463,                 1.3181,                 1.1396,              0.0031155,              0.0031155,              0.0031155
                      9,                 0.0101,                0.49806,                0.96519,                0.41487,                0.39526,                 0.3515,                0.20604,                0.01464,                 1.2976,                 1.1467,              0.0031014,              0.0031014,              0.0031014
                     10,                   0.01,                0.49202,                0.96321,                0.40604,                0.36659,                0.32744,                0.19024,                 0.0148,                 1.3314,                  1.156,              0.0030874,              0.0030874,              0.0030874
                     11,                0.00988,                0.48418,                0.95841,                0.37768,                0.37295,                0.32812,                0.19396,                0.01452,                 1.3423,                 1.1458,              0.0030733,              0.0030733,              0.0030733
                     12,                0.00977,                 0.4764,                0.95359,                0.37332,                0.37461,                0.33026,                0.19255,                0.01474,                 1.4142,                 1.1544,              0.0030592,              0.0030592,              0.0030592
                     13,                0.00971,                 0.4716,                0.95081,                0.36696,                0.37273,                0.31969,                 0.1837,                0.01477,                 1.3813,                 1.1545,              0.0030451,              0.0030451,              0.0030451
                     14,                0.00965,                0.46613,                0.94882,                0.38173,                0.35997,                0.31812,                0.18525,                 0.0146,                 1.3483,                 1.1551,               0.003031,               0.003031,               0.003031
                     15,                 0.0096,                0.46283,                0.94843,                0.39915,                  0.367,                0.32494,                0.19072,                0.01458,                 1.3571,                 1.1527,               0.003017,               0.003017,               0.003017
                     16,                0.00951,                0.45835,                0.94412,                0.37407,                0.37985,                0.32916,                0.19394,                0.01456,                 1.3629,                 1.1502,              0.0030029,              0.0030029,              0.0030029
                     17,                0.00951,                0.45808,                0.94426,                0.36581,                0.37037,                0.32527,                0.19212,                0.01474,                 1.3508,                 1.1616,              0.0029888,              0.0029888,              0.0029888
