                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01468,                 0.9623,                  1.369,                0.37747,                0.38426,                0.31475,                0.17726,                0.01544,                 1.4311,                 1.3506,               0.034403,              0.0010665,              0.0010665
                      2,                0.01193,                0.66546,                 1.1883,                0.44773,                0.42624,                0.35023,                0.20101,                0.01545,                 1.4118,                 1.3665,               0.018784,              0.0021144,              0.0021144
                      3,                0.01136,                0.60393,                 1.1548,                0.46397,                0.40827,                0.36515,                0.21648,                0.01487,                 1.3342,                 1.3428,              0.0031463,              0.0031435,              0.0031435
                      4,                0.01099,                0.57001,                  1.136,                0.43116,                0.40984,                0.33583,                0.19785,                0.01486,                  1.397,                 1.3422,              0.0031155,              0.0031155,              0.0031155
                      5,                0.01069,                0.54327,                 1.1189,                0.39179,                0.35385,                0.30611,                0.17985,                0.01482,                  1.352,                 1.3456,              0.0031155,              0.0031155,              0.0031155
                      6,                0.01043,                0.52316,                 1.1089,                0.42158,                0.41059,                0.33248,                0.19704,                0.01485,                 1.3288,                 1.3506,              0.0030874,              0.0030874,              0.0030874
                      7,                0.01024,                0.50754,                 1.0992,                0.43452,                0.40175,                0.34617,                 0.2089,                0.01471,                 1.3358,                 1.3476,              0.0030592,              0.0030592,              0.0030592
                      8,                0.01016,                0.49856,                 1.0946,                0.41694,                0.38352,                0.33749,                0.20142,                0.01477,                 1.3204,                 1.3602,               0.003031,               0.003031,               0.003031
                      9,                0.01001,                0.48995,                 1.0882,                0.42492,                0.39891,                0.35275,                0.21345,                0.01476,                 1.3502,                 1.3598,              0.0030029,              0.0030029,              0.0030029
                     10,                0.00994,                0.48168,                 1.0812,                0.43347,                0.38922,                0.34576,                0.21049,                0.01476,                 1.3387,                  1.362,              0.0029747,              0.0029747,              0.0029747
                     11,                0.00983,                0.47471,                 1.0762,                0.43556,                0.41425,                0.35804,                0.21605,                0.01484,                 1.3218,                 1.3623,              0.0029466,              0.0029466,              0.0029466
                     12,                0.00973,                0.46764,                  1.073,                0.45562,                 0.3981,                0.36168,                  0.222,                 0.0148,                 1.3733,                 1.3661,              0.0029184,              0.0029184,              0.0029184
