                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0214,                  2.054,                  1.721,                0.38064,                0.25486,                0.21187,                0.10989,                0.01703,                 1.5815,                 1.4327,                0.03441,               0.001066,               0.001066
                      2,                0.01671,                 1.5905,                 1.3882,                0.35241,                0.29921,                0.26746,                0.14406,                0.01575,                 1.4274,                  1.365,               0.018797,              0.0021202,              0.0021202
                      3,                0.01597,                 1.4997,                 1.3499,                 0.3562,                0.31673,                0.27908,                0.15436,                0.01506,                 1.4037,                 1.3129,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01563,                 1.4337,                 1.3333,                0.38814,                0.33548,                0.31531,                0.17702,                0.01455,                 1.2955,                 1.2919,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01532,                 1.3795,                 1.3064,                0.39056,                0.34218,                0.31881,                0.18171,                0.01444,                 1.2821,                 1.2776,              0.0031437,              0.0031437,              0.0031437
                      6,                  0.015,                 1.3319,                  1.291,                0.42848,                0.35539,                0.35291,                0.20451,                  0.014,                 1.2112,                 1.2604,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01472,                 1.2962,                 1.2765,                0.45223,                0.37144,                0.37501,                0.21476,                0.01385,                 1.1798,                 1.2463,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01457,                  1.273,                 1.2733,                0.45683,                0.37892,                0.37293,                0.21269,                0.01387,                 1.1608,                 1.2461,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01444,                 1.2502,                 1.2634,                0.45157,                0.36162,                0.35754,                0.20603,                0.01391,                 1.1856,                  1.244,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01448,                  1.248,                 1.2617,                0.46288,                0.37862,                0.38177,                0.21866,                0.01394,                 1.1637,                 1.2492,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01438,                 1.2309,                 1.2502,                0.46669,                0.39276,                0.39276,                0.23102,                0.01365,                 1.1443,                 1.2255,               0.003031,               0.003031,               0.003031
                     12,                0.01429,                 1.2213,                 1.2473,                0.47778,                0.39882,                0.40593,                0.23843,                0.01356,                 1.1208,                 1.2246,              0.0030123,              0.0030123,              0.0030123
                     13,                 0.0143,                 1.2203,                 1.2456,                0.47782,                0.39184,                 0.3954,                0.23458,                 0.0135,                 1.1338,                 1.2173,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01413,                 1.2034,                 1.2376,                0.48976,                0.41066,                0.41478,                0.24155,                0.01346,                 1.1191,                  1.212,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01416,                 1.1984,                 1.2401,                0.51521,                0.40372,                0.41802,                0.24713,                0.01331,                 1.1025,                 1.2083,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01414,                 1.1877,                  1.235,                0.49777,                0.41207,                0.41501,                0.24318,                 0.0134,                 1.1105,                 1.2141,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01408,                  1.178,                 1.2308,                 0.4922,                  0.417,                0.42525,                0.25327,                0.01325,                 1.0925,                 1.2016,              0.0029184,              0.0029184,              0.0029184
                     18,                  0.014,                  1.172,                 1.2242,                0.50842,                0.40604,                0.41941,                0.24745,                0.01319,                 1.0922,                 1.1979,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01396,                 1.1667,                 1.2276,                0.51378,                0.41758,                 0.4304,                0.25425,                0.01329,                 1.0816,                 1.2019,              0.0028809,              0.0028809,              0.0028809
                     20,                 0.0139,                 1.1564,                 1.2181,                0.50805,                0.41728,                0.42537,                0.25245,                0.01313,                 1.0868,                  1.192,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01387,                 1.1493,                 1.2222,                0.52291,                0.43316,                0.43788,                0.25742,                0.01317,                 1.0698,                 1.1933,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01384,                 1.1443,                 1.2163,                0.51247,                0.42284,                0.43577,                 0.2592,                0.01315,                 1.0697,                  1.193,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01381,                 1.1422,                 1.2166,                0.52218,                0.42489,                0.43703,                0.25967,                0.01308,                 1.0631,                 1.1921,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01376,                 1.1334,                 1.2101,                0.52102,                 0.4308,                0.44032,                0.26191,                0.01306,                 1.0582,                 1.1876,               0.002787,               0.002787,               0.002787
                     25,                0.01381,                 1.1389,                 1.2128,                0.52172,                0.43658,                0.44593,                0.26498,                0.01304,                 1.0514,                 1.1887,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01379,                 1.1244,                 1.2107,                0.53667,                0.42334,                0.44395,                0.26641,                0.01299,                  1.052,                 1.1879,              0.0027494,              0.0027494,              0.0027494
                     27,                0.01367,                 1.1174,                 1.2112,                0.53447,                0.43442,                  0.455,                0.27151,                0.01292,                 1.0416,                 1.1808,              0.0027307,              0.0027307,              0.0027307
                     28,                0.01373,                 1.1273,                  1.208,                0.53375,                0.42318,                0.44477,                0.26877,                0.01294,                 1.0411,                 1.1782,              0.0027119,              0.0027119,              0.0027119
                     29,                0.01369,                 1.1187,                 1.2063,                 0.5349,                 0.4442,                0.45529,                0.27252,                 0.0129,                 1.0341,                 1.1779,              0.0026931,              0.0026931,              0.0026931
