                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01812,                 2.0569,                 1.7559,                0.38389,                 0.2442,                0.20641,                0.10956,                0.01449,                 1.6043,                 1.4618,                0.03441,               0.001066,               0.001066
                      2,                0.01408,                 1.5881,                 1.4182,                0.34718,                0.30722,                 0.2736,                0.14894,                0.01293,                 1.4078,                 1.3657,               0.018797,              0.0021202,              0.0021202
                      3,                0.01346,                 1.4944,                 1.3762,                0.35584,                0.29971,                0.27409,                0.14873,                0.01284,                  1.383,                 1.3496,              0.0031721,              0.0031618,              0.0031618
                      4,                 0.0131,                 1.4206,                  1.352,                0.38964,                0.34188,                0.32038,                0.17799,                0.01225,                  1.296,                 1.3125,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01283,                 1.3754,                  1.326,                0.36395,                0.33995,                0.30272,                0.17277,                0.01216,                 1.2903,                 1.2976,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01265,                 1.3317,                 1.3159,                0.42894,                0.36455,                0.35415,                0.20022,                 0.0119,                 1.2073,                 1.2829,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01239,                 1.2944,                 1.2996,                0.44838,                0.36916,                0.37054,                0.21268,                0.01168,                 1.1792,                 1.2705,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01223,                 1.2684,                 1.2943,                0.45422,                0.37589,                0.36986,                0.20772,                0.01174,                 1.1593,                 1.2722,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01216,                 1.2468,                 1.2859,                0.46314,                0.37685,                 0.3741,                0.21521,                0.01166,                 1.1625,                 1.2677,              0.0030686,              0.0030686,              0.0030686
                     10,                 0.0121,                 1.2302,                 1.2808,                0.44676,                0.37627,                0.37169,                0.21369,                0.01151,                 1.1467,                 1.2567,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01201,                 1.2206,                 1.2713,                 0.4603,                0.39203,                0.38912,                0.22791,                 0.0114,                 1.1389,                  1.247,               0.003031,               0.003031,               0.003031
                     12,                0.01194,                 1.2037,                  1.269,                0.48322,                0.40254,                0.40675,                0.23568,                0.01127,                 1.0964,                 1.2417,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01189,                 1.1992,                 1.2678,                0.47963,                0.39865,                0.40109,                0.23503,                0.01121,                 1.1112,                  1.238,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01174,                 1.1755,                 1.2584,                0.47295,                0.41869,                0.41308,                 0.2409,                0.01116,                 1.0938,                 1.2323,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01172,                 1.1704,                 1.2596,                0.50116,                0.40966,                 0.4204,                0.24656,                0.01107,                 1.0675,                 1.2311,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01171,                 1.1588,                 1.2553,                0.50574,                0.40553,                0.41765,                0.24394,                0.01106,                  1.071,                 1.2318,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01173,                 1.1574,                 1.2584,                0.50856,                0.40822,                0.42488,                0.25107,                0.01093,                  1.062,                 1.2225,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01158,                 1.1416,                 1.2462,                0.49525,                0.41464,                0.42234,                0.24777,                0.01097,                 1.0605,                 1.2213,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01157,                 1.1338,                 1.2506,                0.52925,                0.40922,                 0.4256,                0.24997,                0.01107,                 1.0548,                 1.2284,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01156,                 1.1292,                 1.2444,                0.50796,                0.41503,                 0.4278,                0.25261,                0.01093,                 1.0599,                 1.2188,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01153,                 1.1245,                 1.2489,                0.51723,                0.42013,                0.43257,                0.25343,                0.01089,                  1.046,                 1.2168,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01149,                 1.1167,                 1.2429,                0.51483,                0.42505,                0.43681,                0.25772,                0.01093,                 1.0372,                 1.2203,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01141,                 1.1157,                 1.2391,                0.51514,                0.43584,                0.44349,                 0.2618,                0.01083,                 1.0307,                 1.2143,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01147,                  1.107,                 1.2382,                0.52095,                0.42569,                0.43928,                0.25796,                0.01083,                 1.0374,                  1.214,               0.002787,               0.002787,               0.002787
                     25,                0.01146,                 1.1097,                  1.238,                0.50848,                0.43377,                0.44212,                0.26243,                0.01081,                  1.027,                 1.2123,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01144,                 1.0956,                 1.2359,                0.52188,                0.42988,                0.44433,                0.26448,                0.01075,                 1.0218,                 1.2087,              0.0027494,              0.0027494,              0.0027494
