                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02089,                 1.9679,                 1.7292,                0.37176,                0.24496,                0.21694,                0.11512,                0.01688,                 1.6017,                 1.4562,                0.03441,               0.001066,               0.001066
                      2,                0.01655,                 1.5418,                 1.4105,                0.35459,                 0.3091,                0.28068,                0.15241,                0.01563,                  1.389,                 1.3964,                 0.0188,              0.0021233,              0.0021233
                      3,                0.01585,                 1.4649,                 1.3692,                 0.3918,                0.30662,                0.28651,                0.15848,                0.01503,                 1.3217,                 1.3328,              0.0031815,              0.0031712,              0.0031712
                      4,                0.01551,                 1.4018,                 1.3511,                0.43876,                0.33652,                0.33136,                0.18901,                0.01428,                 1.2714,                  1.298,              0.0031578,              0.0031578,              0.0031578
                      5,                0.01512,                 1.3489,                 1.3187,                0.40073,                0.34292,                0.32357,                0.18582,                0.01425,                 1.2635,                 1.2886,              0.0031578,              0.0031578,              0.0031578
                      6,                0.01497,                  1.314,                  1.313,                0.42978,                0.35401,                 0.3495,                0.20279,                0.01396,                 1.2175,                 1.2779,              0.0031437,              0.0031437,              0.0031437
                      7,                0.01463,                  1.274,                 1.2936,                0.47974,                0.35871,                0.36842,                0.21428,                0.01379,                 1.1688,                  1.265,              0.0031296,              0.0031296,              0.0031296
                      8,                0.01446,                 1.2509,                 1.2895,                0.48432,                0.38807,                0.38866,                0.22361,                0.01371,                 1.1376,                 1.2622,              0.0031155,              0.0031155,              0.0031155
                      9,                0.01442,                 1.2329,                 1.2829,                0.47518,                0.37963,                 0.3801,                0.21963,                0.01372,                 1.1442,                 1.2586,              0.0031014,              0.0031014,              0.0031014
                     10,                0.01435,                 1.2147,                 1.2769,                0.46143,                0.39233,                0.38549,                0.22228,                 0.0137,                 1.1437,                 1.2575,              0.0030874,              0.0030874,              0.0030874
                     11,                0.01423,                 1.2016,                 1.2669,                0.44095,                0.38034,                0.37453,                0.22246,                0.01358,                 1.1541,                 1.2481,              0.0030733,              0.0030733,              0.0030733
                     12,                0.01415,                 1.1947,                 1.2656,                0.47467,                0.40256,                0.40473,                0.23666,                0.01337,                 1.0989,                 1.2366,              0.0030592,              0.0030592,              0.0030592
                     13,                0.01415,                 1.1932,                 1.2621,                0.49707,                 0.3875,                0.40049,                0.23757,                 0.0134,                 1.1066,                 1.2346,              0.0030451,              0.0030451,              0.0030451
                     14,                0.01407,                   1.18,                 1.2561,                0.49074,                0.41515,                0.42067,                0.24517,                0.01335,                 1.1032,                 1.2309,               0.003031,               0.003031,               0.003031
                     15,                0.01399,                 1.1671,                 1.2529,                0.51124,                0.40295,                0.42053,                0.24928,                0.01329,                 1.0843,                 1.2303,               0.003017,               0.003017,               0.003017
                     16,                0.01401,                 1.1673,                 1.2483,                0.50659,                0.41102,                0.42469,                0.24976,                0.01325,                 1.0845,                 1.2259,              0.0030029,              0.0030029,              0.0030029
                     17,                0.01402,                  1.161,                 1.2473,                0.51532,                0.41309,                0.43142,                0.25402,                0.01315,                 1.0771,                 1.2121,              0.0029888,              0.0029888,              0.0029888
                     18,                0.01388,                 1.1508,                 1.2373,                0.48727,                0.42028,                0.42638,                0.25282,                0.01309,                 1.0697,                 1.2133,              0.0029747,              0.0029747,              0.0029747
                     19,                0.01391,                 1.1466,                  1.243,                0.51599,                0.41945,                0.42794,                0.25341,                0.01321,                 1.0669,                 1.2153,              0.0029606,              0.0029606,              0.0029606
                     20,                0.01389,                 1.1429,                 1.2345,                0.51197,                0.41672,                0.42897,                0.25607,                0.01304,                 1.0705,                 1.2086,              0.0029466,              0.0029466,              0.0029466
                     21,                0.01385,                  1.141,                 1.2381,                0.53237,                0.42495,                0.44258,                0.26063,                0.01329,                 1.0653,                 1.2171,              0.0029325,              0.0029325,              0.0029325
                     22,                0.01381,                 1.1343,                 1.2322,                0.50913,                0.42299,                0.43457,                0.25917,                 0.0131,                 1.0511,                 1.2094,              0.0029184,              0.0029184,              0.0029184
                     23,                0.01373,                 1.1278,                 1.2283,                0.52857,                0.42786,                0.44315,                0.26523,                0.01305,                 1.0547,                 1.2058,              0.0029043,              0.0029043,              0.0029043
                     24,                0.01371,                  1.121,                 1.2226,                0.51492,                0.42714,                 0.4381,                0.26081,                0.01305,                 1.0511,                 1.2041,              0.0028902,              0.0028902,              0.0028902
                     25,                0.01379,                  1.126,                 1.2266,                0.52259,                0.43309,                0.44798,                0.26494,                0.01309,                 1.0447,                 1.2037,              0.0028762,              0.0028762,              0.0028762
                     26,                0.01379,                 1.1168,                  1.225,                0.53288,                0.43097,                0.45122,                0.27005,                0.01297,                 1.0312,                  1.199,              0.0028621,              0.0028621,              0.0028621
                     27,                0.01366,                  1.108,                 1.2253,                0.54029,                0.42781,                0.45326,                0.27197,                0.01289,                 1.0287,                 1.1924,               0.002848,               0.002848,               0.002848
                     28,                0.01368,                 1.1109,                  1.219,                 0.5457,                0.42903,                 0.4554,                0.27563,                0.01292,                 1.0281,                 1.1918,              0.0028339,              0.0028339,              0.0028339
                     29,                0.01366,                 1.1031,                 1.2189,                0.54175,                0.43374,                0.45745,                0.27362,                0.01292,                 1.0275,                 1.1919,              0.0028198,              0.0028198,              0.0028198
                     30,                0.01361,                 1.1036,                 1.2142,                 0.5415,                0.43877,                0.45865,                0.27143,                0.01303,                 1.0226,                 1.1964,              0.0028058,              0.0028058,              0.0028058
                     31,                0.01363,                 1.1014,                 1.2234,                0.53511,                0.43764,                0.45733,                0.27284,                0.01294,                 1.0256,                 1.1919,              0.0027917,              0.0027917,              0.0027917
                     32,                0.01363,                 1.0966,                  1.215,                0.53937,                 0.4433,                0.46139,                0.27609,                0.01287,                 1.0222,                 1.1884,              0.0027776,              0.0027776,              0.0027776
                     33,                0.01364,                 1.1073,                 1.2196,                0.53511,                0.43863,                0.46012,                0.27728,                0.01285,                 1.0184,                 1.1885,              0.0027635,              0.0027635,              0.0027635
                     34,                0.01358,                 1.0969,                 1.2147,                0.53756,                0.45194,                0.46553,                0.28061,                 0.0128,                 1.0159,                 1.1859,              0.0027494,              0.0027494,              0.0027494
                     35,                0.01365,                 1.0983,                 1.2212,                0.53678,                 0.4478,                0.46426,                0.27771,                0.01284,                 1.0201,                 1.1853,              0.0027354,              0.0027354,              0.0027354
                     36,                0.01352,                 1.0865,                 1.2139,                0.55285,                0.44245,                0.46575,                0.27917,                 0.0129,                   1.01,                 1.1876,              0.0027213,              0.0027213,              0.0027213
                     37,                0.01357,                 1.0873,                 1.2124,                0.54555,                0.45169,                0.47119,                0.28298,                0.01283,                 1.0103,                 1.1855,              0.0027072,              0.0027072,              0.0027072
                     38,                0.01352,                 1.0814,                 1.2121,                0.54278,                0.45489,                0.47155,                0.28286,                 0.0128,                 1.0015,                 1.1837,              0.0026931,              0.0026931,              0.0026931
                     39,                0.01345,                 1.0707,                 1.2031,                0.53948,                0.46431,                0.47436,                0.28397,                 0.0128,                 1.0019,                 1.1835,               0.002679,               0.002679,               0.002679
                     40,                0.01346,                 1.0733,                 1.2043,                0.54062,                0.45415,                0.47231,                0.28403,                0.01276,                 1.0037,                 1.1797,               0.002665,               0.002665,               0.002665
                     41,                0.01341,                 1.0757,                 1.2052,                0.55371,                  0.451,                0.47551,                0.28716,                0.01278,                0.99808,                  1.181,              0.0026509,              0.0026509,              0.0026509
                     42,                 0.0135,                 1.0713,                 1.2045,                0.55171,                0.45385,                0.47459,                0.28568,                 0.0127,                0.99613,                 1.1777,              0.0026368,              0.0026368,              0.0026368
                     43,                0.01341,                 1.0683,                 1.2069,                0.53805,                0.45745,                0.47385,                0.28543,                 0.0127,                0.99573,                 1.1783,              0.0026227,              0.0026227,              0.0026227
                     44,                0.01339,                 1.0648,                 1.2035,                0.55357,                0.45545,                0.47813,                0.28832,                0.01269,                0.99143,                 1.1751,              0.0026086,              0.0026086,              0.0026086
                     45,                0.01342,                 1.0596,                 1.2047,                0.55107,                0.46647,                0.48041,                0.29047,                0.01268,                0.99004,                 1.1744,              0.0025946,              0.0025946,              0.0025946
                     46,                0.01341,                 1.0649,                 1.2017,                0.55423,                0.45784,                0.47985,                0.28926,                0.01268,                0.99205,                 1.1751,              0.0025805,              0.0025805,              0.0025805
                     47,                0.01347,                  1.065,                 1.2047,                0.57228,                0.44722,                0.48023,                0.29096,                0.01272,                0.98986,                 1.1782,              0.0025664,              0.0025664,              0.0025664
                     48,                0.01338,                 1.0524,                 1.1995,                0.55803,                0.45837,                0.48309,                0.29153,                0.01266,                0.98477,                 1.1734,              0.0025523,              0.0025523,              0.0025523
                     49,                0.01334,                  1.053,                 1.2019,                0.56753,                0.45291,                0.48403,                0.29192,                0.01261,                0.98785,                 1.1718,              0.0025382,              0.0025382,              0.0025382
                     50,                0.01332,                 1.0526,                 1.1983,                0.56661,                0.46568,                0.48828,                0.29602,                0.01259,                0.97754,                  1.171,              0.0025242,              0.0025242,              0.0025242
                     51,                0.01339,                 1.0583,                 1.1999,                0.55426,                0.46594,                0.48818,                0.29627,                0.01261,                0.97937,                 1.1715,              0.0025101,              0.0025101,              0.0025101
                     52,                0.01334,                  1.047,                 1.1961,                0.55744,                0.46136,                0.48676,                 0.2943,                0.01261,                0.97803,                 1.1717,               0.002496,               0.002496,               0.002496
                     53,                 0.0134,                 1.0536,                  1.199,                0.56479,                0.45659,                0.48547,                 0.2939,                0.01261,                0.98052,                 1.1699,              0.0024819,              0.0024819,              0.0024819
                     54,                0.01335,                 1.0482,                 1.2005,                 0.5617,                0.47105,                0.48912,                0.29629,                0.01257,                0.98016,                 1.1684,              0.0024678,              0.0024678,              0.0024678
                     55,                0.01334,                 1.0438,                 1.1941,                0.56603,                0.46647,                 0.4896,                0.29677,                0.01254,                0.97734,                 1.1661,              0.0024538,              0.0024538,              0.0024538
                     56,                0.01326,                 1.0401,                 1.1944,                0.56359,                0.47652,                0.49295,                0.29921,                0.01254,                0.97033,                 1.1667,              0.0024397,              0.0024397,              0.0024397
                     57,                0.01324,                 1.0361,                 1.1933,                0.56989,                0.46214,                0.49104,                0.29916,                0.01253,                0.97039,                 1.1655,              0.0024256,              0.0024256,              0.0024256
                     58,                0.01328,                 1.0373,                 1.1925,                0.56675,                0.46434,                0.49077,                0.29815,                0.01254,                0.97019,                  1.166,              0.0024115,              0.0024115,              0.0024115
                     59,                0.01321,                 1.0307,                 1.1885,                0.56972,                0.46734,                0.49339,                0.29983,                0.01253,                 0.9659,                  1.165,              0.0023974,              0.0023974,              0.0023974
                     60,                0.01331,                 1.0376,                 1.1952,                0.57522,                0.46629,                0.49387,                0.29862,                0.01251,                 0.9702,                 1.1655,              0.0023834,              0.0023834,              0.0023834
                     61,                0.01326,                 1.0345,                 1.1922,                0.57336,                0.46849,                0.49477,                0.29994,                0.01257,                0.96485,                 1.1667,              0.0023693,              0.0023693,              0.0023693
                     62,                0.01326,                 1.0291,                 1.1897,                0.57097,                0.47011,                0.49748,                0.30217,                0.01251,                0.96384,                 1.1641,              0.0023552,              0.0023552,              0.0023552
                     63,                0.01325,                 1.0268,                 1.1906,                0.57781,                  0.466,                0.49557,                0.30107,                0.01251,                0.96304,                 1.1642,              0.0023411,              0.0023411,              0.0023411
                     64,                0.01324,                 1.0302,                 1.1867,                 0.5745,                0.46947,                0.49819,                 0.3017,                0.01249,                0.96102,                 1.1619,               0.002327,               0.002327,               0.002327
                     65,                0.01319,                 1.0254,                 1.1878,                0.57246,                0.47574,                0.49978,                0.30384,                0.01253,                0.96099,                 1.1645,               0.002313,               0.002313,               0.002313
                     66,                0.01327,                 1.0332,                 1.1933,                0.58054,                0.47471,                0.50213,                0.30466,                0.01251,                0.95826,                  1.164,              0.0022989,              0.0022989,              0.0022989
                     67,                0.01322,                 1.0277,                 1.1911,                0.58431,                0.47214,                0.50266,                0.30434,                 0.0125,                 0.9599,                 1.1633,              0.0022848,              0.0022848,              0.0022848
                     68,                0.01318,                 1.0238,                 1.1892,                0.56766,                0.47578,                0.50048,                0.30356,                0.01249,                0.96173,                 1.1626,              0.0022707,              0.0022707,              0.0022707
                     69,                 0.0132,                 1.0212,                 1.1863,                0.57616,                  0.476,                0.50175,                0.30434,                0.01245,                 0.9551,                 1.1605,              0.0022566,              0.0022566,              0.0022566
                     70,                0.01326,                 1.0285,                 1.1969,                0.56856,                0.48071,                0.50233,                0.30555,                0.01248,                0.95616,                 1.1627,              0.0022426,              0.0022426,              0.0022426
                     71,                0.01309,                 1.0142,                 1.1838,                0.57439,                0.47473,                0.50221,                0.30529,                0.01246,                0.95581,                 1.1614,              0.0022285,              0.0022285,              0.0022285
                     72,                 0.0132,                 1.0171,                 1.1846,                0.57918,                 0.4759,                0.50177,                0.30489,                0.01245,                0.95414,                 1.1611,              0.0022144,              0.0022144,              0.0022144
                     73,                0.01326,                 1.0254,                 1.1896,                0.57737,                0.47186,                0.50154,                0.30532,                0.01245,                0.95565,                 1.1608,              0.0022003,              0.0022003,              0.0022003
                     74,                0.01315,                 1.0209,                 1.1858,                0.58276,                0.47231,                0.50284,                0.30635,                0.01243,                0.95298,                 1.1587,              0.0021862,              0.0021862,              0.0021862
                     75,                0.01319,                 1.0196,                 1.1856,                0.57562,                0.47932,                0.50152,                0.30446,                0.01244,                0.95375,                 1.1591,              0.0021722,              0.0021722,              0.0021722
                     76,                0.01313,                 1.0143,                 1.1846,                 0.5803,                0.48013,                0.50505,                0.30677,                0.01243,                0.95109,                 1.1586,              0.0021581,              0.0021581,              0.0021581
                     77,                0.01314,                 1.0104,                 1.1832,                0.57752,                0.48172,                0.50597,                0.30776,                0.01243,                0.95086,                 1.1582,               0.002144,               0.002144,               0.002144
                     78,                 0.0131,                 1.0123,                 1.1858,                0.58391,                0.47973,                0.50608,                0.30791,                0.01241,                0.94756,                 1.1565,              0.0021299,              0.0021299,              0.0021299
                     79,                0.01311,                 1.0091,                 1.1863,                0.58133,                0.48438,                0.50569,                0.30819,                0.01243,                0.94847,                 1.1578,              0.0021158,              0.0021158,              0.0021158
                     80,                0.01319,                 1.0142,                 1.1867,                0.58457,                 0.4856,                0.50754,                0.30932,                0.01242,                0.94639,                 1.1577,              0.0021018,              0.0021018,              0.0021018
                     81,                0.01311,                 1.0063,                 1.1843,                0.57916,                0.48364,                0.50885,                0.31048,                 0.0124,                0.94384,                 1.1563,              0.0020877,              0.0020877,              0.0020877
                     82,                0.01311,                 1.0059,                 1.1798,                0.58549,                0.48268,                0.50757,                0.31024,                 0.0124,                0.94447,                 1.1553,              0.0020736,              0.0020736,              0.0020736
                     83,                 0.0131,                 1.0073,                 1.1851,                0.58451,                0.48242,                0.50864,                0.31016,                0.01239,                0.94415,                 1.1553,              0.0020595,              0.0020595,              0.0020595
