                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01812,                 2.0626,                 1.7171,                 0.3608,                0.26486,                0.21388,                0.11369,                0.01375,                 1.5344,                 1.3927,                0.03441,               0.001066,               0.001066
                      2,                0.01407,                    1.6,                 1.3877,                0.33706,                0.28469,                0.24876,                0.13568,                0.01332,                 1.4887,                 1.3646,               0.018797,              0.0021202,              0.0021202
                      3,                0.01351,                 1.5198,                 1.3521,                0.38767,                0.29124,                0.27637,                0.15202,                0.01254,                 1.3786,                 1.3073,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01316,                  1.451,                 1.3297,                0.37813,                0.33065,                0.29954,                0.16594,                0.01229,                 1.3109,                 1.2789,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01292,                 1.4064,                 1.3045,                0.38329,                0.33822,                0.31089,                 0.1785,                0.01224,                 1.2865,                 1.2778,              0.0031437,              0.0031437,              0.0031437
                      6,                 0.0127,                 1.3599,                 1.2882,                0.43165,                0.34339,                0.33865,                0.19559,                0.01199,                 1.2417,                 1.2556,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01256,                 1.3317,                 1.2758,                0.44706,                0.35873,                0.35726,                0.20687,                 0.0118,                 1.2132,                 1.2449,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01242,                 1.3105,                 1.2713,                0.45553,                0.35928,                0.35743,                0.20496,                0.01176,                 1.1979,                 1.2333,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01234,                 1.2869,                 1.2633,                 0.4316,                0.35679,                0.34906,                0.20237,                0.01175,                 1.2115,                 1.2368,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01228,                 1.2715,                  1.256,                0.45617,                0.38316,                0.37414,                0.21481,                0.01176,                 1.1827,                 1.2345,              0.0030498,              0.0030498,              0.0030498
