                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01655,                 2.0442,                 1.3515,                0.26996,                0.26049,                0.21205,                0.11305,                0.01562,                 1.6638,                  1.316,               0.034405,              0.0010663,              0.0010663
                      2,                0.01567,                  1.744,                 1.2906,                 0.2913,                0.29351,                0.24145,                 0.1362,                0.01504,                 1.5588,                 1.2721,               0.018792,              0.0021205,              0.0021205
                      3,                0.01537,                 1.6621,                 1.2738,                0.35255,                0.30226,                0.27492,                0.15603,                0.01473,                 1.4745,                 1.2598,              0.0031673,              0.0031621,              0.0031621
                      4,                0.01511,                 1.6054,                 1.2587,                0.37649,                0.32812,                0.30138,                0.17242,                0.01441,                 1.3735,                  1.237,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01497,                 1.5657,                 1.2502,                0.39459,                0.35298,                0.32736,                0.18676,                0.01425,                 1.3716,                 1.2327,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01472,                 1.5266,                 1.2359,                 0.3947,                0.35296,                0.32473,                0.18624,                0.01436,                 1.3652,                 1.2308,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01459,                  1.498,                 1.2301,                0.40357,                 0.3657,                0.34255,                0.19968,                0.01403,                 1.3384,                 1.2185,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01447,                 1.4653,                 1.2201,                0.44078,                0.36528,                0.35109,                 0.2035,                0.01401,                 1.3291,                 1.2159,              0.0030874,              0.0030874,              0.0030874
                      9,                 0.0143,                 1.4409,                 1.2118,                0.45417,                 0.3671,                0.35605,                0.20423,                0.01395,                 1.3098,                 1.2087,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01428,                 1.4362,                 1.2143,                0.43827,                0.39186,                0.37512,                0.22054,                 0.0138,                 1.2783,                    1.2,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01419,                 1.4051,                 1.2083,                0.44517,                0.38377,                0.37419,                0.21909,                0.01373,                 1.2867,                 1.1991,               0.003031,               0.003031,               0.003031
                     12,                0.01419,                 1.4014,                 1.2059,                  0.479,                0.38202,                 0.3848,                0.22844,                 0.0136,                 1.2618,                 1.1923,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01403,                 1.3822,                 1.1996,                0.48038,                0.38481,                0.38718,                0.23074,                0.01368,                  1.253,                 1.1932,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01405,                 1.3761,                 1.1989,                0.45773,                0.39226,                 0.3839,                0.22806,                0.01365,                 1.2429,                 1.1913,              0.0029747,              0.0029747,              0.0029747
                     15,                  0.014,                 1.3684,                 1.1965,                0.47545,                 0.4017,                0.39755,                0.23645,                0.01351,                 1.2351,                 1.1901,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01391,                 1.3562,                 1.1918,                 0.4892,                0.39969,                0.40314,                0.23926,                0.01343,                  1.222,                 1.1866,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01389,                 1.3479,                 1.1912,                0.48674,                0.40699,                0.40592,                0.24263,                0.01333,                 1.2126,                 1.1793,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01394,                 1.3399,                 1.1927,                 0.4996,                0.41231,                0.41483,                0.24591,                0.01335,                 1.2148,                 1.1787,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01389,                 1.3382,                 1.1898,                0.46738,                0.40638,                0.40174,                0.23748,                0.01354,                 1.2425,                 1.1895,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01379,                 1.3217,                 1.1853,                0.48936,                0.41714,                0.42031,                0.25057,                0.01324,                 1.1946,                  1.173,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01379,                 1.3249,                 1.1822,                0.47857,                0.40838,                 0.4014,                0.23745,                0.01335,                 1.2151,                 1.1788,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01371,                 1.3235,                 1.1843,                0.48638,                0.41094,                0.41842,                0.25224,                0.01328,                 1.2073,                 1.1779,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01371,                 1.3155,                 1.1801,                0.50119,                0.42492,                 0.4254,                 0.2531,                0.01318,                 1.1946,                 1.1737,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01372,                 1.3122,                 1.1832,                0.50174,                0.42583,                0.42944,                0.25526,                 0.0132,                 1.1886,                 1.1717,               0.002787,               0.002787,               0.002787
                     25,                0.01369,                 1.3015,                 1.1801,                0.50711,                0.42753,                0.42797,                0.25652,                0.01312,                 1.1865,                 1.1679,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01364,                  1.301,                 1.1758,                0.50316,                0.42407,                0.42988,                0.25925,                0.01319,                 1.1851,                 1.1728,              0.0027494,              0.0027494,              0.0027494
                     27,                0.01363,                 1.2945,                  1.175,                0.51623,                0.43295,                0.43968,                0.26354,                0.01312,                 1.1683,                 1.1691,              0.0027307,              0.0027307,              0.0027307
