                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01321,                 1.8624,                 1.2349,                0.42014,                0.27645,                0.25281,                0.14577,                0.01197,                 1.4414,                 1.1806,                0.03441,               0.001066,               0.001066
                      2,                0.01248,                 1.5133,                 1.1816,                0.36911,                0.32536,                 0.2962,                  0.168,                0.01199,                 1.3623,                 1.1721,               0.018797,              0.0021202,              0.0021202
                      3,                0.01234,                 1.4535,                  1.176,                0.38293,                0.33011,                0.31147,                0.17733,                0.01169,                 1.3034,                   1.15,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01212,                  1.387,                  1.167,                0.42665,                 0.3473,                0.33933,                0.19954,                0.01135,                 1.2513,                 1.1409,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01197,                 1.3439,                 1.1532,                0.42103,                 0.3524,                0.34244,                0.20418,                0.01131,                  1.244,                 1.1306,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01183,                 1.3061,                 1.1472,                0.46604,                0.36176,                0.36713,                0.22091,                0.01127,                 1.2035,                 1.1215,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01173,                 1.2814,                  1.141,                0.46189,                0.37783,                0.38305,                0.22725,                0.01119,                 1.1683,                 1.1284,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01164,                 1.2587,                 1.1399,                0.48479,                0.39087,                0.39723,                0.23346,                0.01113,                 1.1397,                 1.1199,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01158,                 1.2429,                 1.1348,                0.48853,                 0.3764,                0.38351,                0.22598,                0.01106,                 1.1458,                 1.1121,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01158,                   1.23,                 1.1328,                0.46794,                0.38028,                0.38768,                 0.2302,                0.01111,                 1.1541,                 1.1261,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01153,                 1.2193,                 1.1268,                0.45961,                0.39907,                0.38767,                0.23037,                0.01113,                 1.1584,                 1.1214,               0.003031,               0.003031,               0.003031
                     12,                0.01148,                 1.2083,                 1.1269,                0.50177,                0.39846,                0.41103,                0.24736,                0.01088,                 1.1204,                 1.1112,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01143,                  1.202,                 1.1246,                0.49357,                0.40387,                0.41499,                0.25028,                0.01081,                 1.1059,                 1.1073,              0.0029935,              0.0029935,              0.0029935
                     14,                 0.0113,                 1.1839,                 1.1162,                0.49311,                0.41138,                0.42104,                0.25294,                0.01085,                 1.1074,                 1.1043,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01134,                 1.1779,                 1.1215,                0.50998,                0.42556,                0.43307,                0.25701,                0.01091,                  1.089,                 1.1098,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01134,                 1.1684,                 1.1199,                0.51342,                0.41682,                0.43006,                0.25749,                0.01067,                 1.0677,                 1.0961,              0.0029372,              0.0029372,              0.0029372
                     17,                 0.0113,                 1.1572,                 1.1181,                0.50907,                0.43019,                0.43979,                0.26516,                0.01059,                 1.0671,                 1.0979,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01122,                 1.1518,                 1.1128,                0.49585,                0.42239,                0.42992,                0.26037,                0.01061,                 1.0745,                 1.0897,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01123,                 1.1499,                  1.118,                0.52313,                0.42337,                0.43996,                0.26615,                0.01067,                 1.0633,                 1.1004,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01119,                 1.1327,                 1.1111,                0.51521,                0.42914,                0.44159,                0.26788,                0.01057,                 1.0601,                 1.0932,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01116,                 1.1347,                 1.1146,                0.52603,                0.42191,                0.44106,                 0.2643,                0.01065,                 1.0607,                 1.0982,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01114,                 1.1297,                  1.111,                0.52914,                0.43227,                0.44568,                0.27033,                0.01062,                 1.0463,                 1.0961,              0.0028245,              0.0028245,              0.0028245
                     23,                 0.0111,                 1.1232,                 1.1104,                0.52227,                0.44136,                0.45094,                0.27351,                0.01055,                 1.0381,                 1.0932,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01111,                 1.1182,                 1.1091,                  0.527,                0.44005,                 0.4507,                0.27391,                0.01058,                 1.0398,                 1.0897,               0.002787,               0.002787,               0.002787
                     25,                0.01114,                 1.1177,                 1.1102,                0.53571,                0.44576,                0.45794,                0.27852,                0.01051,                 1.0322,                 1.0906,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01113,                 1.1084,                 1.1091,                0.54215,                 0.4284,                0.45465,                0.27842,                0.01047,                 1.0325,                 1.0868,              0.0027494,              0.0027494,              0.0027494
                     27,                0.01103,                 1.1044,                 1.1077,                 0.5423,                0.44639,                0.46253,                0.28264,                0.01044,                 1.0214,                 1.0881,              0.0027307,              0.0027307,              0.0027307
                     28,                0.01109,                 1.1076,                 1.1057,                0.53501,                0.43892,                0.45667,                0.28005,                0.01045,                  1.025,                 1.0855,              0.0027119,              0.0027119,              0.0027119
                     29,                0.01109,                 1.1054,                 1.1082,                0.54755,                0.43944,                0.45996,                 0.2802,                0.01045,                 1.0217,                 1.0897,              0.0026931,              0.0026931,              0.0026931
