                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01321,                 1.8574,                 1.2318,                0.40814,                0.28099,                0.24799,                0.14074,                0.01219,                 1.5059,                 1.1909,                0.03441,               0.001066,               0.001066
                      2,                0.01248,                  1.507,                 1.1793,                0.36203,                0.30026,                0.27821,                0.15706,                0.01226,                  1.405,                  1.181,               0.018797,              0.0021202,              0.0021202
                      3,                 0.0123,                 1.4405,                 1.1712,                0.43588,                0.33459,                0.33063,                0.18918,                0.01162,                 1.2763,                 1.1488,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01211,                 1.3812,                 1.1634,                0.41542,                0.35661,                0.33407,                0.19717,                0.01145,                 1.2611,                 1.1384,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01197,                 1.3383,                 1.1491,                0.40931,                0.36929,                0.34902,                0.20686,                0.01125,                  1.225,                 1.1259,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01181,                  1.293,                 1.1431,                0.46471,                0.37605,                0.38081,                0.22598,                 0.0112,                 1.1695,                 1.1217,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01171,                 1.2697,                 1.1381,                0.48939,                0.38145,                0.39337,                 0.2328,                0.01112,                  1.159,                 1.1219,              0.0031061,              0.0031061,              0.0031061
                      8,                 0.0116,                  1.245,                 1.1351,                0.49942,                0.39145,                0.40063,                0.23665,                0.01106,                 1.1311,                 1.1119,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01156,                 1.2304,                 1.1306,                0.45743,                0.38009,                0.37791,                0.22353,                0.01111,                 1.1578,                 1.1164,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01156,                 1.2176,                 1.1287,                0.46847,                0.40155,                0.40247,                0.23857,                0.01101,                 1.1229,                 1.1147,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01147,                 1.2008,                 1.1206,                0.49258,                0.40009,                0.40523,                 0.2439,                0.01094,                 1.1261,                 1.1082,               0.003031,               0.003031,               0.003031
                     12,                0.01146,                 1.1942,                  1.122,                0.50576,                0.40113,                0.42198,                0.25291,                0.01082,                 1.0997,                 1.1089,              0.0030123,              0.0030123,              0.0030123
                     13,                 0.0114,                 1.1884,                 1.1196,                0.50572,                0.40979,                0.41817,                0.25125,                0.01086,                 1.1024,                 1.1018,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01129,                 1.1704,                 1.1133,                0.49995,                 0.4201,                0.43027,                0.25924,                0.01075,                 1.0952,                 1.0963,              0.0029747,              0.0029747,              0.0029747
                     15,                 0.0113,                 1.1644,                 1.1158,                0.51628,                0.41941,                0.43778,                0.26498,                0.01069,                 1.0702,                 1.0956,              0.0029559,              0.0029559,              0.0029559
                     16,                 0.0113,                  1.155,                 1.1136,                0.52443,                 0.4189,                 0.4306,                0.25989,                0.01079,                 1.0825,                 1.1019,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01127,                 1.1437,                 1.1125,                0.52451,                0.42492,                  0.449,                0.27314,                0.01063,                 1.0573,                 1.0955,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01117,                 1.1375,                 1.1083,                0.50104,                 0.4319,                0.43917,                0.26677,                0.01056,                 1.0588,                  1.088,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01119,                  1.134,                 1.1108,                0.53357,                0.42703,                0.44554,                0.26932,                0.01068,                 1.0543,                 1.0955,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01118,                 1.1254,                 1.1067,                0.52206,                0.43326,                0.44682,                 0.2719,                0.01057,                 1.0526,                 1.0898,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01111,                 1.1203,                 1.1074,                0.52962,                0.43128,                0.44838,                0.27081,                0.01066,                 1.0484,                 1.0968,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01116,                 1.1238,                 1.1084,                0.53504,                0.43548,                0.44958,                0.27249,                0.01057,                 1.0497,                 1.0904,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01108,                 1.1137,                 1.1052,                0.54195,                0.44297,                0.46006,                0.27774,                0.01055,                 1.0351,                 1.0905,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01108,                 1.1056,                 1.1033,                0.53435,                0.43647,                0.45567,                0.27454,                0.01051,                 1.0301,                 1.0815,               0.002787,               0.002787,               0.002787
                     25,                0.01112,                 1.1075,                 1.1046,                0.54711,                0.44648,                0.46384,                0.28062,                 0.0105,                 1.0281,                 1.0902,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01113,                 1.0967,                 1.1055,                0.55332,                0.44002,                0.46458,                0.28369,                0.01043,                 1.0223,                 1.0846,              0.0027494,              0.0027494,              0.0027494
                     27,                0.01102,                 1.0951,                 1.1027,                0.54658,                0.44584,                0.46716,                0.28468,                0.01037,                 1.0186,                 1.0827,              0.0027307,              0.0027307,              0.0027307
                     28,                0.01107,                 1.0969,                 1.1012,                0.54861,                0.44538,                0.46192,                0.28101,                0.01044,                 1.0176,                 1.0839,              0.0027119,              0.0027119,              0.0027119
                     29,                0.01107,                 1.0937,                  1.102,                  0.556,                0.44766,                0.47054,                0.28659,                0.01041,                 1.0126,                 1.0793,              0.0026931,              0.0026931,              0.0026931
                     30,                  0.011,                 1.0863,                 1.0969,                0.55943,                0.44878,                0.47113,                  0.286,                0.01048,                 1.0143,                 1.0863,              0.0026743,              0.0026743,              0.0026743
                     31,                  0.011,                  1.083,                 1.1039,                0.56125,                0.44318,                0.46985,                0.28356,                0.01045,                 1.0155,                 1.0839,              0.0026556,              0.0026556,              0.0026556
                     32,                  0.011,                 1.0813,                 1.0992,                0.55812,                0.44858,                 0.4715,                0.28751,                0.01041,                 1.0162,                 1.0832,              0.0026368,              0.0026368,              0.0026368
                     33,                0.01102,                 1.0874,                 1.1001,                0.56768,                0.45455,                0.48059,                 0.2908,                0.01037,                 1.0029,                 1.0798,               0.002618,               0.002618,               0.002618
                     34,                  0.011,                 1.0796,                 1.1008,                0.57784,                0.44388,                0.47922,                0.29101,                0.01039,                 1.0011,                 1.0823,              0.0025993,              0.0025993,              0.0025993
                     35,                0.01099,                 1.0748,                 1.1017,                0.55446,                0.45845,                0.47684,                0.29064,                0.01034,                 1.0025,                 1.0737,              0.0025805,              0.0025805,              0.0025805
                     36,                0.01091,                 1.0639,                  1.097,                0.57169,                0.45542,                0.48253,                0.29388,                0.01038,                0.99473,                 1.0807,              0.0025617,              0.0025617,              0.0025617
                     37,                0.01097,                 1.0677,                 1.0974,                0.57017,                0.45563,                0.48172,                0.29493,                0.01034,                0.99607,                 1.0767,              0.0025429,              0.0025429,              0.0025429
                     38,                0.01088,                 1.0583,                 1.0939,                0.56823,                0.45841,                0.48192,                0.29534,                 0.0103,                0.98554,                 1.0753,              0.0025242,              0.0025242,              0.0025242
                     39,                0.01092,                  1.059,                 1.0932,                0.57704,                0.45872,                 0.4869,                0.29665,                0.01034,                0.99166,                 1.0752,              0.0025054,              0.0025054,              0.0025054
                     40,                0.01087,                 1.0492,                 1.0903,                0.57261,                0.45795,                0.48494,                0.29774,                0.01027,                0.98672,                 1.0728,              0.0024866,              0.0024866,              0.0024866
                     41,                0.01084,                 1.0493,                 1.0912,                0.57569,                0.45958,                 0.4839,                0.29575,                0.01033,                0.98896,                 1.0766,              0.0024678,              0.0024678,              0.0024678
                     42,                0.01092,                 1.0542,                 1.0921,                0.56976,                0.46612,                0.48799,                0.29747,                 0.0103,                 0.9851,                 1.0756,              0.0024491,              0.0024491,              0.0024491
                     43,                0.01083,                 1.0454,                 1.0901,                0.57587,                0.46129,                0.49171,                0.30047,                0.01026,                0.97846,                 1.0722,              0.0024303,              0.0024303,              0.0024303
                     44,                0.01085,                 1.0481,                 1.0926,                0.59111,                 0.4585,                0.49212,                 0.3014,                0.01027,                 0.9792,                  1.073,              0.0024115,              0.0024115,              0.0024115
                     45,                0.01084,                 1.0415,                 1.0921,                0.58123,                0.46133,                0.49333,                0.30175,                0.01028,                0.97934,                 1.0724,              0.0023927,              0.0023927,              0.0023927
                     46,                0.01085,                 1.0435,                 1.0901,                0.57716,                0.46935,                 0.4945,                0.30232,                0.01026,                0.97839,                  1.074,               0.002374,               0.002374,               0.002374
                     47,                0.01089,                 1.0449,                 1.0914,                0.58717,                0.46019,                 0.4951,                0.30323,                0.01024,                0.97204,                 1.0749,              0.0023552,              0.0023552,              0.0023552
                     48,                0.01083,                 1.0376,                 1.0891,                0.58947,                0.45866,                0.49612,                0.30404,                0.01024,                0.97513,                 1.0727,              0.0023364,              0.0023364,              0.0023364
                     49,                0.01077,                 1.0286,                 1.0875,                0.58883,                0.46501,                0.49845,                0.30426,                0.01024,                 0.9741,                 1.0718,              0.0023177,              0.0023177,              0.0023177
                     50,                0.01082,                  1.037,                 1.0891,                0.57867,                0.46773,                0.49653,                0.30351,                0.01022,                 0.9684,                 1.0712,              0.0022989,              0.0022989,              0.0022989
                     51,                 0.0109,                 1.0407,                 1.0923,                 0.5986,                0.46545,                0.49959,                0.30578,                0.01025,                0.96855,                 1.0724,              0.0022801,              0.0022801,              0.0022801
                     52,                0.01079,                 1.0229,                 1.0852,                0.58694,                0.46263,                 0.4975,                0.30577,                0.01018,                0.96435,                 1.0682,              0.0022613,              0.0022613,              0.0022613
                     53,                0.01087,                  1.039,                 1.0907,                0.58438,                0.46653,                 0.4946,                0.30334,                0.01021,                0.96876,                 1.0718,              0.0022426,              0.0022426,              0.0022426
                     54,                 0.0108,                 1.0318,                 1.0878,                0.59088,                0.46576,                0.49833,                 0.3048,                0.01018,                0.96525,                 1.0677,              0.0022238,              0.0022238,              0.0022238
                     55,                0.01081,                 1.0258,                 1.0853,                0.58755,                0.47008,                0.49761,                0.30567,                0.01016,                 0.9639,                 1.0664,               0.002205,               0.002205,               0.002205
                     56,                0.01076,                 1.0197,                  1.085,                0.58943,                0.47021,                0.50445,                0.31051,                0.01014,                0.95866,                 1.0662,              0.0021862,              0.0021862,              0.0021862
