                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01321,                  1.841,                 1.2321,                 0.3682,                0.28996,                0.25565,                0.14581,                0.01205,                 1.4505,                 1.1809,                0.03441,               0.001066,               0.001066
                      2,                0.01244,                 1.4885,                 1.1793,                 0.3742,                0.32004,                0.29407,                0.16247,                0.01206,                 1.3655,                 1.1738,               0.018797,              0.0021202,              0.0021202
                      3,                0.01228,                 1.4287,                 1.1722,                0.40181,                0.34547,                0.31922,                0.18183,                0.01171,                 1.3113,                 1.1482,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01208,                  1.373,                 1.1622,                 0.4354,                0.35376,                0.34768,                0.20492,                0.01126,                 1.2375,                 1.1376,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01195,                 1.3324,                   1.15,                0.42546,                0.36866,                 0.3585,                0.21177,                0.01127,                   1.21,                 1.1287,              0.0031437,              0.0031437,              0.0031437
                      6,                 0.0118,                 1.2889,                 1.1431,                0.45895,                0.37483,                0.37708,                0.22455,                0.01121,                 1.1859,                 1.1181,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01167,                 1.2613,                 1.1363,                0.47472,                0.39517,                0.39312,                0.23281,                0.01102,                 1.1435,                 1.1139,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01156,                 1.2389,                 1.1333,                0.48213,                0.39324,                0.39603,                0.23153,                0.01111,                 1.1468,                 1.1179,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01152,                 1.2226,                 1.1284,                0.47613,                0.39542,                0.39584,                0.23361,                0.01106,                 1.1351,                 1.1114,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01153,                 1.2112,                 1.1272,                0.47611,                0.40117,                0.39824,                0.23496,                0.01111,                 1.1212,                 1.1233,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01143,                 1.1952,                 1.1197,                 0.4914,                0.41665,                0.41709,                0.25132,                0.01086,                 1.1106,                 1.1037,               0.003031,               0.003031,               0.003031
                     12,                0.01142,                 1.1874,                 1.1208,                0.50045,                 0.4111,                0.42207,                0.25344,                0.01079,                 1.1006,                 1.0991,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01138,                 1.1831,                 1.1189,                0.50737,                0.40385,                0.41846,                 0.2532,                0.01085,                 1.0946,                 1.1071,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01128,                 1.1663,                 1.1134,                0.51207,                 0.4183,                0.43156,                0.26087,                 0.0108,                 1.1022,                 1.0988,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01129,                 1.1584,                 1.1164,                0.52031,                0.43276,                0.44499,                0.26878,                0.01063,                 1.0641,                 1.0937,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01126,                 1.1471,                 1.1126,                0.51961,                0.42171,                0.42919,                 0.2585,                0.01071,                 1.0721,                 1.0981,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01124,                 1.1389,                 1.1116,                0.53676,                0.42914,                0.44752,                0.27039,                0.01057,                 1.0666,                 1.0898,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01116,                 1.1339,                 1.1062,                 0.5057,                0.43176,                0.43869,                0.26561,                 0.0105,                 1.0568,                 1.0841,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01118,                 1.1316,                 1.1109,                 0.5404,                0.42536,                0.44547,                0.26867,                0.01062,                 1.0552,                 1.0908,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01114,                 1.1201,                  1.106,                0.51194,                0.43182,                0.44371,                0.26923,                0.01063,                 1.0556,                 1.0903,              0.0028621,              0.0028621,              0.0028621
