                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01472,                 2.1525,                 1.3394,                0.34093,                0.21899,                0.19252,                 0.1077,                0.01311,                 1.6102,                 1.2432,                0.03441,               0.001066,               0.001066
                      2,                0.01301,                 1.6397,                 1.2226,                0.31815,                0.28197,                0.26103,                0.14678,                0.01256,                 1.4521,                 1.2107,               0.018797,              0.0021202,              0.0021202
                      3,                0.01265,                 1.5345,                 1.2026,                 0.3614,                0.30554,                0.28487,                0.16179,                  0.012,                 1.3701,                 1.1757,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01243,                 1.4601,                 1.1913,                0.37762,                0.31033,                0.30017,                0.17694,                0.01173,                  1.359,                 1.1685,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01226,                 1.4109,                 1.1744,                0.38972,                0.33516,                0.31959,                 0.1904,                0.01166,                 1.2924,                 1.1493,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01205,                 1.3578,                 1.1644,                0.41783,                0.34808,                0.33838,                0.20122,                0.01152,                 1.2591,                 1.1422,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01194,                 1.3288,                  1.157,                0.44518,                0.36838,                0.36618,                0.21504,                0.01137,                 1.1958,                  1.136,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01182,                 1.3031,                  1.153,                 0.4735,                0.37753,                0.37711,                0.21872,                0.01127,                 1.1783,                 1.1285,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01176,                 1.2821,                 1.1466,                0.43632,                0.37222,                0.36011,                0.20997,                0.01143,                 1.1885,                 1.1291,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01175,                 1.2685,                 1.1445,                0.46202,                0.37615,                0.37883,                0.22146,                0.01123,                 1.1623,                 1.1328,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01167,                 1.2543,                 1.1363,                0.44074,                0.38653,                0.37218,                0.22181,                0.01112,                 1.1839,                 1.1218,               0.003031,               0.003031,               0.003031
                     12,                0.01163,                 1.2418,                 1.1362,                0.49257,                0.38812,                0.39742,                0.23697,                0.01107,                 1.1369,                 1.1147,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01159,                 1.2364,                 1.1338,                0.50311,                0.38174,                0.39614,                0.23588,                0.01114,                 1.1387,                 1.1161,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01147,                  1.213,                 1.1266,                0.47851,                0.40436,                0.40884,                0.24278,                0.01106,                 1.1306,                 1.1145,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01146,                  1.205,                 1.1286,                0.49674,                0.41011,                0.41263,                0.24657,                0.01093,                  1.107,                 1.1133,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01141,                 1.1922,                 1.1246,                0.49623,                0.40226,                0.40725,                0.24324,                0.01091,                 1.1052,                 1.1062,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01143,                 1.1885,                  1.126,                0.50398,                0.41439,                0.42361,                0.25363,                0.01079,                 1.0905,                 1.1026,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01131,                 1.1763,                 1.1188,                0.49154,                0.41404,                0.42201,                0.25392,                0.01076,                 1.0923,                 1.0993,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01134,                 1.1756,                 1.1227,                0.51094,                0.41558,                0.42407,                0.25329,                0.01089,                 1.0934,                 1.1047,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01129,                 1.1648,                 1.1173,                0.52085,                0.41239,                0.42475,                0.25416,                0.01077,                 1.0859,                 1.1021,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01129,                 1.1585,                 1.1207,                0.51666,                0.41952,                0.43219,                0.25689,                0.01075,                 1.0788,                 1.1005,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01127,                 1.1567,                 1.1182,                0.51401,                0.42662,                0.43284,                 0.2609,                0.01069,                  1.065,                 1.0992,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01121,                 1.1468,                 1.1156,                0.51933,                0.42152,                0.43588,                0.26029,                0.01068,                  1.068,                 1.0957,              0.0028058,              0.0028058,              0.0028058
