                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01378,                 1.8171,                 1.1056,                0.35236,                0.28784,                0.25629,                0.14343,                0.01277,                 1.5598,                 1.0912,                0.03441,               0.001066,               0.001066
                      2,                0.01349,                 1.5629,                 1.0862,                0.39117,                0.33032,                0.30282,                0.16819,                0.01262,                   1.43,                  1.092,               0.018797,              0.0021202,              0.0021202
                      3,                0.01342,                 1.5289,                 1.0865,                0.35341,                0.31091,                0.28479,                 0.1543,                0.01296,                 1.4542,                  1.084,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01321,                  1.469,                 1.0791,                0.41712,                0.34052,                 0.3228,                 0.1832,                0.01221,                 1.3942,                 1.0659,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01314,                 1.4302,                 1.0736,                0.44695,                0.35299,                0.35386,                 0.2039,                0.01206,                 1.3202,                 1.0577,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01298,                 1.3921,                 1.0688,                0.46926,                0.36205,                0.36794,                0.21028,                0.01215,                 1.3123,                 1.0556,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01279,                 1.3557,                 1.0629,                0.48621,                0.37769,                0.37644,                0.21543,                0.01171,                 1.2574,                 1.0506,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01264,                 1.3403,                 1.0594,                0.48661,                0.39108,                 0.3836,                0.21706,                0.01179,                 1.2447,                 1.0514,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01266,                 1.3294,                 1.0587,                0.45321,                0.38524,                0.36635,                0.20596,                0.01202,                 1.2646,                 1.0554,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01262,                 1.3121,                 1.0561,                0.46064,                0.38996,                0.38217,                0.21855,                0.01181,                 1.2488,                 1.0448,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01255,                 1.2976,                 1.0511,                0.44149,                0.39668,                0.37555,                0.21568,                0.01181,                 1.2652,                 1.0476,               0.003031,               0.003031,               0.003031
                     12,                0.01257,                 1.2959,                 1.0541,                 0.4785,                0.39919,                0.39671,                0.23108,                0.01157,                 1.2194,                 1.0357,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01248,                 1.2851,                 1.0497,                0.47253,                0.39903,                0.39327,                0.22892,                0.01164,                 1.2178,                  1.044,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01239,                 1.2743,                 1.0476,                 0.4656,                0.41208,                0.39749,                0.22754,                0.01156,                 1.2227,                 1.0385,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01233,                 1.2603,                 1.0478,                0.50991,                0.42289,                0.42672,                0.24867,                0.01133,                 1.1665,                 1.0329,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01235,                 1.2536,                 1.0473,                0.49535,                0.41217,                0.41135,                0.23907,                0.01136,                 1.1871,                 1.0376,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01235,                 1.2463,                 1.0479,                0.50446,                0.42271,                0.42032,                0.24412,                0.01136,                 1.1786,                  1.032,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01222,                 1.2389,                 1.0435,                0.49542,                0.41809,                0.41612,                0.24392,                 0.0113,                 1.1714,                 1.0274,              0.0028996,              0.0028996,              0.0028996
                     19,                 0.0122,                 1.2366,                 1.0439,                0.49569,                0.42175,                0.42094,                0.24543,                0.01136,                 1.1652,                 1.0353,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01228,                 1.2308,                 1.0442,                0.50947,                0.42191,                0.42552,                0.24831,                0.01133,                 1.1587,                 1.0343,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01216,                 1.2234,                 1.0426,                0.50519,                0.41865,                0.41925,                0.24268,                0.01135,                 1.1708,                 1.0351,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01215,                 1.2225,                  1.042,                0.50543,                0.42763,                0.42872,                0.25204,                0.01127,                 1.1624,                 1.0319,              0.0028245,              0.0028245,              0.0028245
                     23,                 0.0121,                 1.2157,                 1.0399,                0.51719,                0.43241,                0.43413,                0.25215,                0.01119,                 1.1422,                 1.0296,              0.0028058,              0.0028058,              0.0028058
