                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0236,                 2.7802,                 1.5848,                0.15837,                 0.1566,                 0.1232,                0.06293,                0.01894,                 2.0234,                 1.3603,                0.03441,               0.001066,               0.001066
                      2,                0.01834,                 1.9966,                 1.2959,                0.33446,                0.18832,                0.16312,                0.08588,                0.01737,                 1.8071,                 1.2523,               0.018797,              0.0021202,              0.0021202
                      3,                0.01721,                 1.8108,                 1.2471,                0.29959,                0.22577,                 0.2137,                 0.1171,                0.01626,                 1.6438,                  1.231,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01661,                 1.7038,                 1.2204,                0.28387,                0.25873,                0.23084,                0.13011,                0.01556,                 1.5398,                 1.1959,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01624,                 1.6151,                 1.1976,                0.35104,                0.29396,                0.27235,                0.15591,                  0.015,                 1.4243,                  1.164,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01584,                 1.5485,                 1.1835,                0.36831,                0.29227,                0.27704,                0.15642,                0.01496,                 1.4154,                 1.1653,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01556,                 1.5012,                 1.1724,                0.38736,                0.31175,                0.30264,                 0.1732,                0.01477,                 1.3698,                 1.1616,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01532,                 1.4596,                 1.1656,                0.41684,                0.32186,                0.31417,                0.17942,                0.01442,                 1.3138,                 1.1395,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01519,                 1.4336,                  1.158,                0.42511,                 0.3289,                0.32699,                0.18832,                0.01456,                  1.303,                 1.1385,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01513,                 1.4103,                 1.1545,                0.43177,                0.34096,                0.33856,                0.19284,                0.01442,                 1.2819,                 1.1491,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01501,                 1.3856,                 1.1458,                0.40784,                 0.3498,                0.33894,                0.19638,                 0.0142,                 1.2873,                 1.1335,               0.003031,               0.003031,               0.003031
                     12,                0.01488,                 1.3672,                 1.1427,                0.42743,                0.35667,                  0.348,                0.20297,                0.01401,                 1.2388,                 1.1282,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01478,                 1.3543,                 1.1385,                0.44375,                0.35366,                0.35407,                0.20778,                0.01388,                 1.2283,                 1.1198,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01463,                 1.3331,                 1.1316,                0.45377,                0.36683,                0.36484,                0.21428,                0.01385,                 1.2124,                 1.1163,              0.0029747,              0.0029747,              0.0029747
