                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01244,                 1.6922,                  1.157,                0.37104,                0.28576,                0.27278,                0.15939,                0.01176,                 1.3856,                 1.1366,                0.03441,               0.001066,               0.001066
                      2,                0.01215,                 1.4358,                 1.1414,                0.40523,                 0.3322,                0.31683,                 0.1799,                0.01194,                 1.3218,                 1.1491,               0.018797,              0.0021202,              0.0021202
                      3,                0.01206,                 1.3927,                 1.1421,                 0.4024,                0.34146,                0.32647,                0.18417,                0.01176,                 1.2824,                 1.1332,              0.0031721,              0.0031618,              0.0031618
                      4,                0.01187,                 1.3275,                 1.1348,                0.44136,                0.35558,                0.35169,                0.20756,                0.01122,                 1.2036,                  1.113,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01177,                 1.2947,                 1.1234,                0.44558,                0.36958,                0.36679,                0.21729,                0.01115,                 1.1837,                 1.1046,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01164,                 1.2555,                 1.1188,                0.46813,                0.38279,                0.38402,                0.22798,                0.01112,                 1.1564,                  1.106,              0.0031249,              0.0031249,              0.0031249
                      7,                 0.0115,                 1.2257,                 1.1114,                0.48225,                0.39305,                0.40146,                0.24011,                 0.0109,                 1.1254,                 1.0958,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01143,                 1.2115,                 1.1118,                  0.494,                0.39674,                0.40554,                0.23818,                0.01098,                 1.1127,                 1.0991,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01139,                 1.1943,                 1.1084,                0.48746,                0.39378,                0.39989,                0.23719,                0.01094,                 1.1152,                   1.09,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01138,                  1.182,                 1.1059,                0.47592,                0.40268,                0.40355,                0.23933,                0.01099,                 1.1036,                 1.1036,              0.0030498,              0.0030498,              0.0030498
                     11,                0.01131,                 1.1708,                 1.0999,                0.46115,                0.41489,                0.41065,                0.24734,                0.01078,                 1.1126,                 1.0839,               0.003031,               0.003031,               0.003031
                     12,                0.01131,                 1.1664,                  1.101,                0.50227,                0.41571,                0.42576,                0.25734,                0.01072,                 1.0818,                 1.0867,              0.0030123,              0.0030123,              0.0030123
                     13,                0.01125,                 1.1572,                 1.0985,                0.50181,                0.41247,                0.42393,                0.25768,                0.01067,                 1.0673,                 1.0832,              0.0029935,              0.0029935,              0.0029935
                     14,                0.01115,                 1.1432,                  1.093,                0.49702,                0.42884,                0.43297,                0.26191,                0.01073,                 1.0797,                 1.0828,              0.0029747,              0.0029747,              0.0029747
                     15,                0.01113,                 1.1315,                 1.0948,                0.51855,                0.43812,                0.44878,                0.27143,                0.01054,                 1.0462,                 1.0782,              0.0029559,              0.0029559,              0.0029559
                     16,                0.01114,                 1.1242,                 1.0929,                0.53042,                0.43526,                0.44816,                0.26987,                0.01056,                 1.0453,                 1.0779,              0.0029372,              0.0029372,              0.0029372
                     17,                0.01113,                 1.1194,                 1.0934,                0.52906,                0.42251,                0.44751,                0.27269,                0.01052,                 1.0534,                 1.0806,              0.0029184,              0.0029184,              0.0029184
                     18,                0.01103,                 1.1106,                 1.0875,                0.51072,                0.43342,                0.44674,                0.27142,                0.01047,                  1.045,                 1.0709,              0.0028996,              0.0028996,              0.0028996
                     19,                0.01107,                 1.1125,                 1.0931,                0.53331,                0.42315,                  0.449,                0.27184,                0.01058,                 1.0408,                 1.0808,              0.0028809,              0.0028809,              0.0028809
                     20,                0.01104,                 1.1016,                 1.0878,                0.51074,                0.43373,                0.44639,                0.27164,                0.01054,                 1.0458,                 1.0807,              0.0028621,              0.0028621,              0.0028621
                     21,                0.01102,                 1.0994,                 1.0908,                 0.5337,                0.43301,                0.45262,                0.27431,                0.01057,                 1.0317,                   1.08,              0.0028433,              0.0028433,              0.0028433
                     22,                0.01099,                 1.0954,                 1.0882,                0.51548,                0.44184,                 0.4529,                0.27736,                0.01046,                 1.0251,                 1.0743,              0.0028245,              0.0028245,              0.0028245
                     23,                0.01095,                 1.0881,                 1.0868,                0.54704,                0.44823,                0.46578,                0.28199,                0.01043,                 1.0189,                 1.0727,              0.0028058,              0.0028058,              0.0028058
                     24,                0.01093,                 1.0836,                 1.0823,                0.53741,                0.44227,                0.45972,                0.27889,                0.01048,                 1.0162,                 1.0684,               0.002787,               0.002787,               0.002787
                     25,                  0.011,                 1.0862,                 1.0861,                0.53995,                0.45873,                0.46918,                 0.2844,                0.01039,                 1.0096,                 1.0703,              0.0027682,              0.0027682,              0.0027682
                     26,                0.01099,                 1.0739,                 1.0856,                0.54558,                0.44432,                0.46446,                0.28377,                0.01037,                 1.0074,                 1.0681,              0.0027494,              0.0027494,              0.0027494
                     27,                0.01091,                 1.0732,                 1.0852,                0.54964,                0.44851,                0.47113,                0.28871,                 0.0103,                 1.0018,                 1.0706,              0.0027307,              0.0027307,              0.0027307
                     28,                0.01094,                 1.0762,                  1.083,                0.55279,                0.44854,                0.46969,                0.28798,                0.01036,                 1.0015,                 1.0668,              0.0027119,              0.0027119,              0.0027119
                     29,                0.01093,                 1.0724,                 1.0843,                0.55176,                0.45425,                0.47193,                0.28613,                0.01039,                 1.0021,                 1.0696,              0.0026931,              0.0026931,              0.0026931
                     30,                0.01088,                  1.065,                 1.0802,                 0.5542,                0.45307,                 0.4726,                0.28754,                 0.0104,                 1.0023,                 1.0694,              0.0026743,              0.0026743,              0.0026743
                     31,                0.01089,                 1.0627,                 1.0866,                 0.5658,                0.45134,                0.47864,                0.28934,                0.01043,                 1.0016,                 1.0707,              0.0026556,              0.0026556,              0.0026556
                     32,                0.01089,                 1.0611,                 1.0812,                0.55313,                0.45582,                0.48001,                0.29381,                0.01034,                0.99611,                  1.067,              0.0026368,              0.0026368,              0.0026368
