                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0231,                 3.2872,                 1.9274,                0.23677,                0.14179,                0.11054,                0.05722,                0.01942,                 2.4041,                 1.6333,               0.034405,              0.0010663,              0.0010663
                      2,                0.01937,                 2.5275,                 1.6037,                0.26257,                0.16955,                0.14702,                0.08215,                0.01815,                 2.2498,                 1.5495,               0.018792,              0.0021205,              0.0021205
                      3,                 0.0183,                 2.2929,                 1.5279,                0.24901,                0.21018,                0.17769,                0.09864,                0.01711,                 1.9808,                 1.4713,              0.0031673,              0.0031621,              0.0031621
                      4,                0.01769,                 2.1706,                 1.4803,                0.28818,                0.23425,                0.21479,                 0.1243,                0.01606,                 1.7944,                 1.3973,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01723,                 2.0516,                 1.4467,                0.30521,                0.24291,                0.21961,                0.12681,                0.01597,                 1.7406,                 1.3856,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01694,                 1.9752,                 1.4233,                0.34507,                0.27464,                0.25315,                0.14754,                0.01568,                 1.6936,                 1.3672,              0.0031249,              0.0031249,              0.0031249
                      7,                 0.0166,                 1.9153,                 1.4023,                0.34767,                0.28569,                0.26599,                0.15346,                0.01547,                 1.6393,                 1.3475,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01638,                 1.8492,                 1.3825,                0.36427,                0.29324,                0.27517,                0.15778,                0.01527,                 1.5958,                 1.3397,              0.0030874,              0.0030874,              0.0030874
                      9,                 0.0162,                 1.8119,                 1.3688,                0.38121,                 0.2914,                0.28587,                0.16662,                0.01531,                 1.5883,                 1.3257,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01608,                 1.7868,                 1.3648,                 0.3955,                0.29849,                0.28911,                0.16903,                0.01517,                 1.5753,                 1.3143,              0.0030498,              0.0030498,              0.0030498
