                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02335,                 3.3106,                 1.9084,                0.46076,                0.12873,                0.11396,                0.05944,                0.01945,                 2.4585,                 1.5998,               0.034405,              0.0010663,              0.0010663
                      2,                0.01934,                 2.5148,                 1.5653,                0.23174,                0.16695,                0.14171,                 0.0782,                0.01805,                 2.2433,                 1.4937,               0.018792,              0.0021205,              0.0021205
                      3,                0.01823,                 2.2753,                 1.4874,                0.26778,                0.20011,                0.18007,                0.09869,                0.01729,                 2.0932,                 1.4635,              0.0031673,              0.0031621,              0.0031621
                      4,                0.01766,                 2.1483,                 1.4443,                0.31681,                0.23878,                0.22063,                0.12587,                0.01632,                  1.801,                  1.385,              0.0031437,              0.0031437,              0.0031437
                      5,                0.01732,                 2.0522,                 1.4227,                0.37212,                0.23398,                0.21605,                0.12347,                0.01629,                 1.7944,                 1.3752,              0.0031437,              0.0031437,              0.0031437
                      6,                0.01688,                 1.9594,                 1.3913,                0.33573,                0.27447,                0.25158,                0.14378,                0.01575,                 1.6818,                  1.343,              0.0031249,              0.0031249,              0.0031249
                      7,                0.01662,                  1.908,                 1.3761,                0.36201,                 0.2897,                 0.2724,                0.15764,                0.01552,                 1.6394,                 1.3268,              0.0031061,              0.0031061,              0.0031061
                      8,                0.01646,                 1.8542,                 1.3613,                0.35799,                0.28483,                 0.2698,                0.15577,                0.01538,                 1.6062,                 1.3157,              0.0030874,              0.0030874,              0.0030874
                      9,                0.01623,                 1.8095,                  1.345,                0.38427,                0.29719,                0.28725,                0.16416,                0.01514,                 1.5645,                 1.2946,              0.0030686,              0.0030686,              0.0030686
                     10,                0.01608,                  1.775,                 1.3385,                0.39852,                0.31313,                0.29964,                0.17479,                0.01508,                 1.5355,                 1.2889,              0.0030498,              0.0030498,              0.0030498
